Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,6.563,6.04
2,LIBOR,HROZA,CZE,6.234,6.28
3,STANISLAV,KOKORIN,RUS,6.125,7.32
4,EVGENII,VAITSEKHOVSKII,RUS,6.406,fall
5,DANYIL,BOLDYREV,UKR,6.454,6.43
6,LEONARDO,GONTERO,ITA,6.547,6.50
7,SERGEI,SINITCYN,RUS,6.562,6.78
8,LUKASZ,SWIRK,POL,7.328,10.64
9,YAROSLAV,GONTARYK,UKR,6.937,6.42
10,ARSENII,SHEVCHENKO,RUS,6.719,6.439
11,DMITRII,TIMOFEEV,RUS,6.625,6.56
12,REZA,ALIPOUR SHENAZANDIFARD,IRI,6.625,6.82
13,ARTEM,SAVELYEV,RUS,7.328,7.42
14,"WENG KHIT, ADRIEL",CHOO,SGP,6.578,7.45
15,MARCIN,DZIENSKI,POL,6.078,7.70
16,JEDRZEJ,KOMOSINSKI,POL,6.719,fall
17,ALEKSANDR,SHIKOV,RUS,7.406,
18,VIACHESLAV,VEDENCHUK,RUS,7.812,
19,SUNGJOON,CHAE,KOR,7.860,
20,VOLODYMYR,ZINCHENKO,UKR,8.750,
21,SEAN,MCCOLL,CAN,9.297,
22,YOUNGWOOK,HER,KOR,9.906,
23,PYEONGJU,HWANG,KOR,10.265,
24,JAKOB,SCHUBERT,AUT,12.360,
