Rank,Name,,Country,Qualification,Final
1,IULIIA,KAPLINA,RUS,8.875,9.31
2,ALINA,GAIDAMAKINA,RUS,8.719,fall
3,YULIYA,LEVOCHKINA,RUS,9.062,9.04
4,MARIIA,KRASAVINA,RUS,8.453,10.54
5,ALEKSANDRA,MIROSLAW,POL,8.828,8.67
6,FARNAZ,ESMAEILZADEH,IRI,9.609,9.73
7,ANOUCK,JAUBERT,FRA,9.219,10.12
8,KLAUDIA,BUCZEK,POL,8.812,11.79
9,MARGOT,HEITZ,FRA,9.672,
10,EDYTA,ROPEK,POL,9.922,
11,MONIKA,PROKOPIUK-KAWECKA,POL,10.031,
12,ALLA,MARENYCH,UKR,10.188,
13,KATHARINA,SAURWEIN,AUT,17.422,
14,WOONWHA,JEONG,KOR,24.469,
