Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANNA,STÖHR,AUT,2t5 5b18,4t4 4b4,4t9 4b7
2,ALEX,PUCCIO,USA,5t6 5b6,4t6 4b6,3t5 4b5
3,SHAUNA,COXSEY,GBR,4t7 5b7,4t5 4b5,2t5 3b6
4,KATHARINA,SAURWEIN,AUT,3t6 4b12,3t3 3b3,2t10 4b13
5,DINARA,FAKHRITDINOVA,RUS,3t5 3b5,3t3 3b3,1t1 4b11
6,MÉLANIE,SANDOZ,FRA,4t10 4b8,3t3 3b3,1t2 3b12
7,PETRA,KLINGLER,SUI,4t8 5b8,3t3 3b3,1t5 4b10
8,YUKA,KOBAYASHI,JPN,2t4 4b7,3t4 3b3,
9,AKIYO,NOGUCHI,JPN,5t14 5b14,3t5 3b4,
10,MINA,MARKOVIC,SLO,2t2 4b6,3t8 3b8,
11,MONIKA,RETSCHY,GER,3t4 5b8,2t2 3b3,
12,AYA,ONOE,JPN,3t5 3b5,2t2 2b2,
13,JULIANE,WURM,GER,4t8 5b8,2t3 3b4,
14,IEVGENIIA,KAZBEKOVA,UKR,3t9 3b9,2t3 2b3,
15,MELISSA,LE NEVE,FRA,4t11 4b11,2t4 3b3,
16,JENNY,LAVARDA,ITA,4t9 4b9,2t7 3b8,
17,YANA,CHERESHNEVA,RUS,3t4 3b4,1t1 3b12,
18,ANNA,GALLYAMOVA,RUS,4t9 5b8,1t2 2b5,
19,EKATERINA,KIPRIIANOVA,RUS,3t8 5b6,0t 1b3,
20,BERIT,SCHWAIGER,AUT,3t9 5b16,0t 1b5,
21,LEAH,CRANE,GBR,3t10 3b5,,
21,PATRICIA,HOLZMANN,GER,2t7 4b9,,
23,ALMA,BESTVATER,GER,1t1 4b5,,
23,GILL,PEET,GBR,3t10 3b7,,
25,JANA,MÜLLER,GER,2t2 2b2,,
25,OLGA,SHALAGINA,UKR,1t1 4b6,,
27,CECILE,AVEZOU,FRA,2t3 2b2,,
27,KASIA,PIETRAS,USA,1t1 4b9,,
29,ANDREA,EBNER,ITA,2t4 2b2,,
29,FRIEDERIKE,PETRI,GER,1t3 2b2,,
31,SYLWIA,BUCZEK,POL,1t1 2b2,,
31,DIANE,MERRICK,GBR,1t4 4b9,,
33,ANNE-LAURE,CHEVRIER,FRA,1t4 3b8,,
33,VICTORIA,KLEMM,AUT,1t1 2b8,,
35,DENISE,BERTRAM,GER,1t1 1b1,,
35,ALEXANDRA,LADURNER,ITA,1t5 4b8,,
35,RISA,OTA,JPN,1t1 1b1,,
38,JELISA,DUNBAR,CAN,1t5 3b9,,
39,VALERI,KREMER,ISR,1t3 3b15,,
39,VERA,ZIJLSTRA,NED,0t 4b5,,
41,FANNY,GIBERT,FRA,1t6 3b17,,
41,MICHAELA,TRACY,GBR,0t 4b11,,
43,NATALIE,BÄRTSCHI,SUI,0t 3b10,,
43,ANNALISA,DE MARCO,ITA,0t 3b5,,
45,MARIETA,AKALSKI,CAN,0t 3b9,,
45,OLGA,KULISH,UKR,0t 3b9,,
45,MEAGAN,MARTIN,USA,0t 2b5,,
45,SILVIE,RAJFOVA,CZE,0t 3b9,,
49,AFRA,HÖNIG,GER,0t 2b7,,
50,MARGAUX,PUCHEUX,FRA,0t 1b2,,
51,MAGALI,HAYEN,BEL,0t 2b3,,
51,LENA,HERRMANN,GER,0t 1b3,,
51,THOMASINA,PIDGEON,CAN,0t 2b3,,
54,MONA,KELLNER,GER,0t 1b5,,
