Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [9.75],top,45
2,JAKOB,SCHUBERT,AUT,top  1. | top  1. [9.75],top,43+
3,HYUNBIN,MIN,KOR,top  1. | top  1. [9.75],top,37+
4,DMITRII,FAKIRIANOV,RUS,top  1. | top  1. [9.75],top,35+
5,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [9.75],top,31
6,GAUTIER,SUPPER,FRA,top  1. | top  1. [9.75],top,30+
7,MANUEL,ROMAIN,FRA,top  1. | top  1. [9.75],top,27
8,STEFANO,GHISOLFI,ITA,top  1. | top  1. [9.75],top,23+
9,DOMEN,SKOFIC,SLO,top  1. | top  1. [9.75],top,22
10,THOMAS,BALLET,FRA,top  1. | top  1. [9.75],41+,
11,MARIO,LECHNER,AUT,top  1. | top  1. [9.75],39+,
12,ALEXANDER,KALINA,RUS,top  1. | top  1. [9.75],37,
13,THOMAS,TAUPORN,GER,top  1. | top  1. [9.75],34,
14,SEMEN,CHESNOKOV,RUS,36+  19. | 37   25. [22.08],31+,
15,LUKAS,KÖB,AUT,33+  23. | 39+  21. [22.91],31+,
16,KLEMEN,BECAN,SLO,top  1. | top  1. [9.75],31,
16,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [9.75],31,
18,ARMAN,TER-MINASYAN,RUS,top  1. | top  1. [9.75],30+,
18,LOÏC,TIMMERMANS,BEL,top  1. | top  1. [9.75],30+,
18,FRANCESCO,VETTORATA,ITA,top  1. | top  1. [9.75],30+,
21,JABEE,KIM,KOR,33+  23. | 38+  22. [23.72],30+,
22,EVGENII,ZAZULIN,RUS,36   21. | 40   20. [20.49],26+,
23,OR,WECHSLER,ISR,36+  19. | 38+  22. [20.95],26+,
24,QINGHUA,WANG,CHN,33+  23. | 37+  24. [24.49],26+,
25,CHRISTOPH,HANKE,GER,34   22. | top  1. [14.83],24+,
26,ANDREY,SHAGIN,RUS,33+  23. | 36+  26. [25.98],24+,
27,ARSENIY,KUPCHIK,RUS,33+  23. | 36   29. [26.93],,
28,GLEB,VOLKOV,RUS,31   29. | 36+  26. [28.22],,
29,YURY,NOVITSKIY,RUS,30+  31. | 36+  26. [28.93],,
30,VICTOR,MUSIHIN,RUS,33   28. | 33   31. [29.46],,
31,VSEVOLOD,ILINYKH,RUS,31   29. | 34+  30. [29.75],,
32,DMITRIY,BOGOMOLOV,RUS,23+  32. | 32+  32. [32.00],,
