Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [6.71],top,44
2,SACHI,AMMA,JPN,top  1. | top  1. [6.71],top,39+
3,SEAN,MCCOLL,CAN,top  1. | top  1. [6.71],50+,39+
4,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [6.71],top,38
5,MANUEL,ROMAIN,FRA,top  1. | top  1. [6.71],50,33+
6,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [6.71],top,30+
7,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [6.71],top,30+
8,HYUNBIN,MIN,KOR,40+  14. | top  1. [11.62],50+,30+
9,DOMEN,SKOFIC,SLO,top  1. | top  1. [6.71],50,30+
10,THOMAS,BALLET,FRA,45   11. | top  1. [9.95],49+,
11,GAUTIER,SUPPER,FRA,top  1. | top  1. [6.71],48+,
12,AKITO,MATSUSHIMA,JPN,37   21. | top  1. [14.39],43,
13,KLEMEN,BECAN,SLO,45+  10. | 40+  21. [14.49],42+,
14,FRANCESCO,VETTORATA,ITA,44   12. | top  1. [10.39],35+,
15,JURE,RAZTRESEN,SLO,40+  14. | top  1. [11.62],32+,
16,STEFANO,GHISOLFI,ITA,40   17. | top  1. [12.37],32,
17,TOMAS,RAVANAL,CHI,41+  13. | 33   30. [20.40],32,
18,CHRISTOPH,HANKE,GER,37+  19. | 36   25. [22.52],26+,
19,LUKAS,KÖB,AUT,37   21. | 34+  28. [25.60],26+,
20,FRANZ,KRAKENBERGER,SUI,34   27. | 37+  22. [24.37],23+,
21,MARCELLO,BOMBARDI,ITA,37   21. | 36+  24. [23.49],23,
22,LOÏC,TIMMERMANS,BEL,37+  19. | top  1. [13.25],17+,
23,MARIO,LECHNER,AUT,39+  18. | top  1. [12.73],12,
24,MIKHAIL,CHERNIKOV,RUS,37   21. | 41   20. [21.45],12,
25,EVGENII,ZAZULIN,RUS,37   21. | 36   25. [24.45],9+,
26,SEUNGWOON,CHO,KOR,40+  14. | 41+  18. [16.66],9,
27,HANWOOL,KIM,KOR,29+  39. | 41+  18. [27.03],,
28,DAISUKE,KASAHARA,JPN,32+  31. | 37   23. [27.55],,
29,MARTIN,TEKLES,GER,33+  28. | 34+  28. [28.75],,
30,MARCO ANTONIO,JUBES ANGARITA,ESP,36   26. | 33   30. [28.84],,
31,JABEE,KIM,KOR,29+  39. | 36   25. [32.05],,
32,ELKO,SCHELLINGERHOUT,NED,32+  31. | 33   30. [32.50],,
33,SEBASTIAN,HALENKE,GER,32   36. | 33   30. [33.94],,
34,NAOTO,HAKAMADA,JPN,33+  28. | 31+  35. [34.06],,
34,MINORU,NAKANO,JPN,33+  28. | 31+  35. [34.06],,
36,JONGWON,CHON,KOR,30   38. | 33   30. [34.87],,
37,JAVIER,CANO BLAZQUEZ,ESP,32+  31. | 31+  35. [36.33],,
37,NICOLA,DE MATTIA,ITA,32+  31. | 31+  35. [36.33],,
37,EMMANUEL,LOPEZ,FRA,32+  31. | 31+  35. [36.33],,
40,OR,WECHSLER,ISR,31   37. | 31+  35. [38.47],,
41,RUBEN,FIRNENBURG,GER,28+  41. | 31+  35. [40.74],,
41,DIMITRI,VOGT,SUI,28+  41. | 31+  35. [40.74],,
43,KEVIN,HUSER,SUI,27+  43. | 31+  35. [42.19],,
43,TEUN,KEUSTERS,NED,27+  43. | 31+  35. [42.19],,
45,DAAN,GROSKAMP,NED,26+  48. | 31+  35. [43.82],,
46,LUCAS,GAONA,CHI,27+  43. | 31   46. [45.49],,
46,WANNE,LIBOT,BEL,27+  43. | 31   46. [45.49],,
48,FACUNDO,LANGBEHN,CHI,27   47. | 26   49. [47.99],,
49,LUKAS,GEUKENS,BEL,21+  50. | 27   48. [48.99],,
50,BOB,SCHUBERT,NED,25   49. | 24+  50. [49.50],,
51,JURGEN,LIS,BEL,21   51. | 21+  51. [51.00],,
