Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,46   9. | top  1. [4.74],45,top
2,MINA,MARKOVIC,SLO,48   5. | top  1. [3.54],44+,50
3,MOMOKA,ODA,JPN,48+  3. | top  1. [2.96],44+,43+
4,DINARA,FAKHRITDINOVA,RUS,49   2. | 41   9. [4.24],42+,43+
5,AKIYO,NOGUCHI,JPN,45   10. | 42+  6. [7.75],42+,43+
6,ANAK,VERHOEVEN,BEL,17   36. | 39+  11. [21.51],42+,38+
7,HÉLÈNE,JANICOT,FRA,46+  8. | 44   5. [6.32],42+,36+
8,MAGDALENA,RÖCK,AUT,top  1. | top  1. [1.58],42+,30+
9,JENNY,LAVARDA,ITA,37+  13. | 39+  11. [13.23],38,
10,BARBARA,BACHER,AUT,37+  13. | 33+  18. [16.31],38,
11,KATHARINA,POSCH,AUT,47   6. | 41+  7. [6.98],37+,
12,MATHILDE,BRUMAGNE,BEL,47   6. | 40+  10. [8.06],37+,
13,SALOMÉ,ROMAIN,FRA,38   12. | 41+  7. [9.49],36+,
14,REBEKKA,STOTZ,SUI,48+  3. | 10   38. [11.53],36,
15,YUKA,KOBAYASHI,JPN,39+  11. | 39+  11. [11.73],29+,
16,NIKKI,VAN BERGEN,NED,37+  13. | 39+  11. [13.23],29+,
17,SOL,SA,KOR,36+  17. | 33+  18. [18.49],28+,
18,CLAUDIA,GHISOLFI,ITA,32+  25. | 31+  23. [24.24],27+,
19,MANUELA,SIGRIST,SUI,37   16. | 34+  17. [16.49],22+,
20,TINA JOHNSEN,HAFSAAS,NOR,36+  17. | 35+  16. [16.97],22+,
21,TINA,SUSTERSIC,SLO,34   23. | 31   25. [24.24],22+,
22,EVGENIIA,MALAMID,RUS,34+  21. | 39   15. [17.96],19+,
23,KATHERINE,CHOONG,SUI,36+  17. | 32   22. [19.90],19+,
24,CHRISTINA,STÜTZ,AUT,34+  21. | 33+  18. [20.21],19+,
25,MIHO,NONAKA,JPN,32   26. | 31+  23. [24.95],19+,
26,PATRICIA,HOLZMANN,GER,28+  30. | 33   21. [25.31],17+,
27,HANNAH,BAEHR,GER,36   20. | 24   32. [25.50],,
28,SOHO,LANGBEHN,CHI,34   23. | 24+  29. [26.55],,
29,ANNE-SOPHIE,KOLLER,SUI,31+  28. | 29+  27. [28.00],,
30,DENISE,BERTRAM,GER,28+  30. | 30+  26. [28.16],,
31,FEDERICA,MINGOLLA,ITA,32   26. | 24+  29. [28.20],,
32,CHLOE,CAULIER,BEL,31+  28. | 24+  29. [29.24],,
33,SAKIKO,OSAWA,JPN,17+  35. | 29+  27. [31.02],,
34,IRATI,ANDA VILLANUEVA,ESP,28   32. | 24   32. [32.25],,
35,MONA,KELLNER,GER,25+  33. | 18+  35. [34.23],,
36,HANNARAI,SONG,KOR,17   36. | 23   34. [35.47],,
36,CHRISTY,SPURRELL,CAN,21+  34. | 17   37. [35.47],,
38,TABITHA,BUMA,NED,17   36. | 18+  35. [36.24],,
