Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [7.98],40+,39+
2,SEAN,MCCOLL,CAN,top  1. | top  1. [7.98],39,34+
3,GAUTIER,SUPPER,FRA,top  1. | top  1. [7.98],37,33+
4,JAKOB,SCHUBERT,AUT,top  1. | top  1. [7.98],37+,30+
5,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [7.98],40+,30
6,SACHI,AMMA,JPN,top  1. | top  1. [7.98],40+,28+
7,HYUNBIN,MIN,KOR,37   21. | top  1. [12.70],42+,24+
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [7.98],40+,20
9,MANUEL,ROMAIN,FRA,top  1. | top  1. [7.98],36+,
10,STEFANO,GHISOLFI,ITA,top  1. | top  1. [7.98],36,
11,DOMEN,SKOFIC,SLO,top  1. | top  1. [7.98],34+,
12,FRANCESCO,VETTORATA,ITA,38   20. | top  1. [12.25],33+,
13,THOMAS,BALLET,FRA,top  1. | top  1. [7.98],32+,
14,URBAN,PRIMOZIC,SLO,top  1. | 45+  15. [11.29],32+,
15,THOMAS,TAUPORN,GER,36+  23. | 40+  24. [24.48],32+,
16,MARIO,LECHNER,AUT,top  1. | top  1. [7.98],31+,
17,ELAN,JONASMCRAE,CAN,37   21. | 42+  20. [20.99],30.5+,
18,JABEE,KIM,KOR,top  1. | 39   30. [16.10],30+,
19,LOÏC,TIMMERMANS,BEL,39+  17. | 41+  22. [19.56],30+,
20,FLAVIEN,GUERIMAND,FRA,39   18. | 40+  24. [21.72],24,
21,NAOKI,SHIMATANI,JPN,39   18. | 42+  20. [19.47],23+,
22,BERNHARD,RÖCK,AUT,35+  25. | 43+  18. [21.72],23+,
23,TATSUMI,NITTA,JPN,top  1. | 43+  18. [12.54],23,
24,TOMOA,NARASAKI,JPN,35   27. | 44+  16. [21.30],23,
25,NAOTO,HAKAMADA,JPN,35+  25. | 41+  22. [23.95],22,
26,THOMAS,JOANNES,FRA,top  1. | 44+  16. [11.84],16+,
27,CLEMENT,VERNAISON,FRA,35   27. | 39+  28. [28.00],,
28,MARCELLO,BOMBARDI,ITA,33   30. | 39+  28. [29.24],,
29,ELKO,SCHELLINGERHOUT,NED,31+  32. | 40+  24. [29.66],,
30,LUDOVIC,LEFEVRE,FRA,36+  23. | 27+  38. [29.88],,
31,SEBASTIAN,HALENKE,GER,32   31. | 39   30. [30.75],,
32,YIFTACH,KUSHNIR,ISR,17+  39. | 40+  24. [31.54],,
33,CHARLI,BLEIN,FRA,34+  29. | 32   37. [32.76],,
34,BENOIT,HEINTZ,FRA,31+  32. | 38+  32. [33.23],,
35,OR,WECHSLER,ISR,31+  32. | 35+  34. [34.25],,
36,FRANZ,KRAKENBERGER,SUI,31+  32. | 34+  35. [34.75],,
37,LUKAS,KÖB,AUT,31+  32. | 34   36. [35.24],,
38,CHRISTOPH,HANKE,GER,29+  38. | 37   33. [35.41],,
39,EMMANUEL,LOPEZ,FRA,31+  32. | 24   39. [36.68],,
40,MARTIN,KLEMSA,CZE,17   40. | 23   40. [40.25],,
41,TOMAS,BINTER,CZE,17   40. | 17   41. [40.75],,
