Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [3.46],52+,47+
2,MINA,MARKOVIC,SLO,top  1. | top  1. [3.46],top,45+
3,MOMOKA,ODA,JPN,top  1. | top  1. [3.46],55,44
4,DINARA,FAKHRITDINOVA,RUS,top  1. | top  1. [3.46],55+,41+
5,ANAK,VERHOEVEN,BEL,46+  9. | top  1. [5.34],48+,36
6,MAJA,STREMFELJ,SLO,46   11. | 44   10. [10.75],42,36
7,AKIYO,NOGUCHI,JPN,46+  9. | 47+  6. [7.55],43+,34+
8,MAGDALENA,RÖCK,AUT,top  1. | 45+  7. [5.48],51+,11+
9,KATHARINA,POSCH,AUT,47   8. | 43+  12. [10.39],40+,
10,SALOMÉ,ROMAIN,FRA,top  1. | 43+  12. [7.35],38+,
11,NIKKI,VAN BERGEN,NED,45+  12. | 44+  9. [10.61],37+,
12,TINA,SUSTERSIC,SLO,42+  15. | 39+  17. [16.93],37+,
13,JESSICA,PILZ,AUT,45+  12. | 45+  7. [9.68],37,
14,HÉLÈNE,JANICOT,FRA,top  1. | 44   10. [6.48],36+,
15,AYA,ONOE,JPN,45   14. | 43+  12. [13.75],36+,
16,YUKA,KOBAYASHI,JPN,42+  15. | 43+  12. [14.47],36+,
17,MATHILDE,BRUMAGNE,BEL,28   31. | 39   21. [25.51],35,
18,BARBARA,BACHER,AUT,38+  21. | 39+  17. [20.17],34+,
19,KATHARINA,SAURWEIN,AUT,41+  17. | 36+  22. [19.56],32,
20,ANDREA,KÜMIN,SUI,38+  21. | 35+  24. [22.98],32,
21,KATJA,DEBEVEC,SLO,36+  24. | 42+  16. [19.80],31+,
22,CLAUDIA,GHISOLFI,ITA,40+  18. | 30+  31. [23.95],31+,
23,CHRISTINA,STÜTZ,AUT,38+  21. | 39+  17. [20.17],30,
24,MANUELA,SIGRIST,SUI,39+  20. | 34+  26. [23.02],26+,
25,MANON,HILY,FRA,40+  18. | 39+  17. [18.50],25+,
26,TINA JOHNSEN,HAFSAAS,NOR,36+  24. | 36+  22. [23.48],17,
27,MIHO,NONAKA,JPN,33+  26. | 34+  26. [26.25],,
28,ANNE-SOPHIE,KOLLER,SUI,29   29. | 35   25. [26.93],,
29,NETTA,FREDMAN,ISR,31+  27. | 31   30. [28.46],,
30,FEDERICA,MINGOLLA,ITA,28+  30. | 33+  28. [28.98],,
31,JARA,SPÄTE,SUI,30+  28. | 30   32. [29.93],,
32,IEVGENIIA,KAZBEKOVA,UKR,27   34. | 33   29. [31.40],,
33,OLENA,SHURUBOR,UKR,27+  32. | 25+  33. [33.00],,
33,TEREZA,SVOBODOVA,CZE,27+  32. | 25+  33. [33.00],,
