Rank,Name,,Country,Qualification,Semi-Final,Final
1,SACHI,AMMA,JPN,top  1. | top  1. [5.92],34+,44+
2,SEAN,MCCOLL,CAN,top  1. | top  1. [5.92],36+,43+
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [5.92],36+,41+
4,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [5.92],33+,41+
5,URBAN,PRIMOZIC,SLO,32+  17. | 40   10. [13.04],34+,40+
6,MANUEL,ROMAIN,FRA,top  1. | top  1. [5.92],33+,38+
7,GAUTIER,SUPPER,FRA,top  1. | top  1. [5.92],33,38+
8,NAOKI,SHIMATANI,JPN,top  1. | 37+  12. [9.54],33,29
9,STEFANO,GHISOLFI,ITA,top  1. | 39+  11. [8.77],32+,
10,NAOTO,HAKAMADA,JPN,top  1. | 37+  12. [9.54],32+,
11,DOMEN,SKOFIC,SLO,top  1. | top  1. [5.92],31+,
12,MARIO,LECHNER,AUT,33+  14. | 37+  12. [13.96],30+,
13,SHINTA,OZAWA,JPN,top  1. | 36   16. [10.58],27+,
14,JIACUO,SUOLANG,CHN,33+  14. | 24   21. [17.75],27+,
15,AKITO,MATSUSHIMA,JPN,top  1. | top  1. [5.92],26,
16,MARCO ANTONIO,JUBES ANGARITA,ESP,33+  14. | 35+  17. [15.97],22+,
17,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [5.92],20+,
18,QINGHUA,WANG,CHN,29+  18. | 31+  19. [18.75],20+,
19,ZIDA,MA,CHN,21   21. | 27+  20. [20.49],20,
20,HAIBIN,QU,CHN,27   20. | 33+  18. [18.97],15,
21,GAURAV,KUMAR,IND,19+  22. | 17+  22. [22.00],13+,
22,DAVOUD,REKABI,IRI,29+  18. | 37   15. [16.66],10,
