Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [5.10],top,38+
2,JAIN,KIM,KOR,top  1. | top  1. [5.10],49,38+
3,MAGDALENA,RÖCK,AUT,top  1. | top  1. [5.10],51+,34+
4,DINARA,FAKHRITDINOVA,RUS,top  1. | top  1. [5.10],42+,32+
5,MOMOKA,ODA,JPN,top  1. | top  1. [5.10],49,27+
6,NIKKI,VAN BERGEN,NED,top  1. | 39+  8. [7.65],42+,27
7,KATHARINA,POSCH,AUT,top  1. | top  1. [5.10],42+,26+
8,RISA,OTA,JPN,top  1. | 39+  8. [7.65],42+,26+
9,AKIYO,NOGUCHI,JPN,top  1. | top  1. [5.10],41+,
10,HÉLÈNE,JANICOT,FRA,top  1. | 37+  11. [8.46],41+,
11,BARBARA,BACHER,AUT,top  1. | 35+  13. [9.37],41+,
12,YANA,CHERESHNEVA,RUS,top  1. | 39+  8. [7.65],39+,
13,YUKA,KOBAYASHI,JPN,42+  14. | 35+  13. [13.75],34+,
14,LAMU,RENQING,CHN,37   16. | 33+  15. [15.49],34+,
15,KATHARINA,SAURWEIN,AUT,45   13. | 36+  12. [12.49],33+,
16,MOE,YOSHIMURA,JPN,37+  15. | 31+  16. [15.49],31,
17,WANGMU,RENZENG,CHN,31+  18. | 29+  17. [17.49],20,
18,RONG,JIANG,CHN,30+  19. | 23   19. [19.00],18+,
19,XUHUA,PAN,CHN,33   17. | 27+  18. [17.49],17+,
