Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,JAKOB,SCHUBERT,AUT,39   5. | top  1. [4.47],35.5+,32+,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
2,SEAN,MCCOLL,CAN,36   12. | top  1. [7.07],33+,31+,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
3,GAUTIER,SUPPER,FRA,top  1. | 36+  9. [5.00],37+,29,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
4,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [3.16],top,28,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
5,HYUNBIN,MIN,KOR,38+  6. | top  1. [5.10],35.5,27+,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
6,DOMEN,SKOFIC,SLO,36+  11. | top  1. [6.63],37,7+,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
7,STEFANO,GHISOLFI,ITA,37+  8. | 32+  14. [10.91],36+,7+,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
8,KEIICHIRO,KORENAGA,JPN,38+  6. | 36+  9. [8.06],36+,6,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
9,ADAM,ONDRA,CZE,top  1. | 30   19. [7.16],33+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
10,MAGNUS,MIDTBOE,NOR,37   10. | 37   8. [8.94],33+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
11,AKITO,MATSUSHIMA,JPN,36   12. | 36+  9. [11.18],33+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
12,MIKHAIL,CHERNIKOV,RUS,31+  19. | top  1. [8.83],32+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
13,JIHWAN,PARK,KOR,35+  14. | 32   15. [14.99],32+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
14,HIROTO,SHIMIZU,JPN,33+  16. | 35+  12. [14.28],31+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
15,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [3.16],24+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
16,MANUEL,ROMAIN,FRA,37+  8. | 30   19. [13.20],24+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
17,HANWOOL,KIM,KOR,33+  16. | 34+  13. [14.87],24+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
18,ZIDA,MA,CHN,30+  21. | 30   19. [20.99],24+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
19,QINGHUA,WANG,CHN,28   25. | 29+  23. [24.48],24+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
20,MARIO,LECHNER,AUT,33+  16. | 30+  17. [17.25],23+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
21,HONGIL,KIM,KOR,30+  21. | 30+  17. [19.40],21+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
22,ELAN,JONASMCRAE,CAN,23+  27. | 32   15. [20.65],21+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
23,HAIBIN,QU,CHN,35+  14. | 27   27. [19.79],17+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
24,SHINYEONG,YUN,KOR,29+  23. | 30   19. [21.95],17+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
25,JABEE,KIM,KOR,31+  19. | 27+  26. [22.52],12+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
26,LOÏC,TIMMERMANS,BEL,29+  23. | 29+  23. [23.50],12+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
27,JIACUO,SUOLANG,CHN,28   25. | 28+  25. [25.25],,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
28,KA-CHUN,YAU,HKG,23+  27. | 20+  29. [28.24],,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
29,CHANGFENG,QU,CHN,16+  29. | 26+  28. [28.50],,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
1,JAIN,KIM,KOR,top  1. | top  1. [6.48],39,46+,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
