Rank,Name,,Country,Qualification,Semi-Final
1,SACHI,AMMA,JPN,36+  1. | top  1. [2.24],46+
2,ROMAIN,DESGRANGES,FRA,34+  7. | 32+  10. [10.25],43+
3,JAKOB,SCHUBERT,AUT,36+  1. | top  1. [2.24],42+
4,RAMÓN,JULIAN PUIGBLANQUE,ESP,36+  1. | 36+  4. [3.35],41+
5,GAUTIER,SUPPER,FRA,32+  11. | 35+  6. [9.01],41
6,SEAN,MCCOLL,CAN,35   6. | 36+  4. [5.20],40
7,MANUEL,ROMAIN,FRA,34+  7. | 32+  10. [10.25],40
8,ADAM,ONDRA,CZE,36   5. | top  1. [3.16],39+
9,HYUNBIN,MIN,KOR,33   10. | 32+  10. [11.83],39+
10,MAGNUS,MIDTBOE,NOR,32+  11. | 30+  19. [16.96],39+
10,FRANCESCO,VETTORATA,ITA,32+  11. | 30+  19. [16.96],39+
12,THOMAS,BALLET,FRA,30+  16. | 32+  10. [15.43],38+
13,DMITRII,FAKIRIANOV,RUS,32+  11. | 32+  10. [13.23],37
14,DOMEN,SKOFIC,SLO,36+  1. | 32+  10. [5.92],36+
15,AKITO,MATSUSHIMA,JPN,26+  22. | 33+  8. [14.28],36
16,STEFANO,GHISOLFI,ITA,26   27. | 35+  6. [13.49],35+
17,MARCO ANTONIO,JUBES ANGARITA,ESP,26+  22. | 28+  32. [27.71],35+
18,SEBASTIAN,HALENKE,GER,33+  9. | 30+  19. [14.39],34+
19,ANTON,MARDASHOV,UKR,26+  22. | 29+  30. [27.06],34+
20,JIHWAN,PARK,KOR,31+  15. | 33+  8. [11.29],31+
21,ALBAN,LEVIER,FRA,30+  16. | 30+  19. [19.77],31+
22,MARCELLO,BOMBARDI,ITA,27+  20. | 30+  19. [21.71],31+
23,CHARLI,BLEIN,FRA,26+  22. | 30+  19. [23.49],31+
24,KEVIN,ARC,FRA,27+  20. | 30   28. [24.17],31+
25,STEPHANE,HANSSENS,BEL,30+  16. | 27   39. [25.75],31
26,FEDIR,SAMOILOV,UKR,22+  33. | 32+  10. [21.66],25
27,HANNES,PUMAN,SWE,16   60. | 32+  10. [29.34],
28,TATSUMI,NITTA,JPN,21+  35. | 30+  19. [31.26],
28,BERNHARD,RÖCK,AUT,21+  35. | 30+  19. [31.26],
30,KAMIL,FERENC,POL,26   27. | 27+  33. [31.53],
31,HANWOOL,KIM,KOR,10   71. | 32+  10. [31.86],
32,MAX,RUDIGIER,AUT,26+  22. | 26+  40. [32.50],
33,CARLO,TRAVERSI,USA,24+  30. | 27+  33. [32.63],
34,MARIO,LECHNER,AUT,21+  35. | 30   28. [34.80],
35,ELAN,JONASMCRAE,CAN,20+  52. | 30+  19. [35.40],
36,THOMAS,JOANNES,FRA,21+  35. | 29+  30. [36.00],
37,MAËL,BONZOM,FRA,29   19. | 17+  67. [36.21],
38,HUGO,PARMENTIER,FRA,21+  35. | 27+  33. [38.84],
38,LOÏC,TIMMERMANS,BEL,21+  35. | 27+  33. [38.84],
40,ANDRÉ,NERES,POR,22+  33. | 26   49. [40.72],
41,TOMAS,BINTER,CZE,23   31. | 25+  51. [41.05],
42,URBAN,PRIMOZIC,SLO,21   51. | 27+  33. [42.55],
43,MARTIN,BERGANT,SLO,23   31. | 25   57. [42.56],
44,FEDERICO,ANDREOLI,ITA,21+  35. | 26+  40. [43.24],
44,MIKHAIL,CHERNIKOV,RUS,21+  35. | 26+  40. [43.24],
44,SEUNGWOON,CHO,KOR,21+  35. | 26+  40. [43.24],
44,VICTOR,ESTELLER OCAÑA,ESP,21+  35. | 26+  40. [43.24],
44,MINORU,NAKANO,JPN,21+  35. | 26+  40. [43.24],
44,ARMAN,TER-MINASYAN,RUS,21+  35. | 26+  40. [43.24],
50,CHRISTOPH,HANKE,GER,26   27. | 15   72. [45.21],
51,BENOIT,HEINTZ,FRA,21+  35. | 25+  51. [47.68],
51,EMMANUEL,LOPEZ,FRA,21+  35. | 25+  51. [47.68],
53,REMY,BERGASSE,FRA,20+  52. | 26+  40. [48.97],
53,STEFANO,CARNATI,ITA,20+  52. | 26+  40. [48.97],
55,LUKAS,KÖB,AUT,10   71. | 27+  33. [50.73],
56,YIFTACH,KUSHNIR,ISR,21+  35. | 22+  62. [51.54],
56,KAYA,OTAKA,JPN,21+  35. | 22+  62. [51.54],
58,MIKHAIL,KOCHETKOV,RUS,20+  52. | 25+  51. [54.00],
59,ESTEBAN,EGUEZ,ECU,16   60. | 25+  51. [57.36],
60,JAKOB HEBER,NORUM,NOR,14+  64. | 25+  51. [58.51],
61,MARTIN,JECH,CZE,20+  52. | 22   64. [59.06],
62,HUGO,MEIGNAN,FRA,16+  58. | 23   59. [59.25],
63,CLEMENT,VERNAISON,FRA,10   71. | 26   49. [59.91],
64,HONGIL,KIM,KOR,16   60. | 23   59. [60.75],
65,FREDRIK,SERLACHIUS,SWE,20+  52. | 17+  67. [61.32],
66,ANDRES,PAZMINO,ECU,12   66. | 25   57. [61.60],
67,SHINICHIRO,NOMURA,JPN,16+  58. | 18   65. [61.90],
68,FILIP,BABICZ,ITA,10+  68. | 23   59. [64.34],
69,JAVIER,CANO BLAZQUEZ,ESP,16   60. | 17+  67. [65.14],
70,ANDREY,SHAGIN,RUS,13+  65. | 17+  67. [66.97],
71,THILO JELDRIK,SCHRÖTER,NOR,10   71. | 18   65. [68.91],
72,MARTIN,IDEGREN,SWE,10+  68. | 17+  67. [69.00],
73,STEFAN,BEDNAR,SVK,11+  67. | 15   72. [69.94],
74,MATTHEW,WELLINGTON,CAN,10+  68. | 15   72. [70.97],
