Rank,Name,,Country,Qualification,Semi-Final,Final
1,SACHI,AMMA,JPN,37+  1. | 36+  2. [1.73],28,28+
2,JAKOB,SCHUBERT,AUT,28+  8. | 33   5. [6.63],40+,24+
3,DOMEN,SKOFIC,SLO,26+  16. | 32   8. [12.17],29,23+
4,THOMAS,BALLET,FRA,27+  9. | 28   12. [12.69],32+,19+
5,ROMAIN,DESGRANGES,FRA,27+  9. | 28   12. [12.69],39+,16+
6,RAMÓN,JULIAN PUIGBLANQUE,ESP,37+  1. | 34+  3. [2.12],32+,16+
7,MAGNUS,MIDTBOE,NOR,27+  9. | 33   5. [7.95],28+,16+
8,URBAN,PRIMOZIC,SLO,26   22. | 25+  23. [25.10],28+,13+
9,SEAN,MCCOLL,CAN,32+  4. | 37   1. [2.00],28,
10,DMITRII,FAKIRIANOV,RUS,34+  3. | 28   12. [6.48],28,
11,AKITO,MATSUSHIMA,JPN,29   6. | 28   12. [9.54],28,
12,MANUEL,ROMAIN,FRA,29   6. | 33+  4. [5.10],27+,
13,SEBASTIAN,HALENKE,GER,27+  9. | 27   19. [14.78],27+,
14,ALBAN,LEVIER,FRA,25   25. | 28   12. [19.80],27+,
15,JIHWAN,PARK,KOR,26+  16. | 25+  23. [22.76],27+,
16,HYUNBIN,MIN,KOR,27+  9. | 31   9. [10.17],26,
17,HANNES,PUMAN,SWE,27   15. | 25+  23. [20.49],26,
18,GAUTIER,SUPPER,FRA,27+  9. | 32+  7. [8.97],24+,
19,TATSUMI,NITTA,JPN,24.5+  32. | 27+  17. [23.85],24+,
20,FRANCESCO,VETTORATA,ITA,26+  16. | 29   11. [14.27],21+,
21,MARCELLO,BOMBARDI,ITA,26+  16. | 26   20. [19.71],21+,
22,THOMAS,JOANNES,FRA,26   22. | 25+  23. [25.10],21,
23,MINORU,NAKANO,JPN,25+  24. | 25+  23. [25.92],19,
24,JAVIER,CANO BLAZQUEZ,ESP,25   25. | 26   20. [24.25],15,
25,STEFANO,GHISOLFI,ITA,30+  5. | 14+  62. [18.44],13+,
26,SHINICHIRO,NOMURA,JPN,25   25. | 27+  17. [22.14],7+,
27,ADAM,ONDRA,CZE,3   76. | 29+  10. [27.57],,
28,MIKHAIL,CHERNIKOV,RUS,25   25. | 25+  23. [28.00],,
29,KAMIL,FERENC,POL,24+  34. | 26   20. [28.25],,
30,KEVIN,ARC,FRA,25   25. | 25   34. [31.30],,
31,ANTON,MARDASHOV,UKR,24+  34. | 25+  23. [32.62],,
31,ANDRÉ,NERES,POR,24+  34. | 25+  23. [32.62],,
31,BERNHARD,RÖCK,AUT,24+  34. | 25+  23. [32.62],,
34,KEVIN,AGLAE,FRA,26+  16. | 14.5+  60. [33.46],,
35,MARIO,LECHNER,AUT,24.5+  32. | 25   34. [33.73],,
36,CHARLI,BLEIN,FRA,24   43. | 25+  23. [36.66],,
37,NAOKI,SHIMATANI,JPN,26+  16. | 0 [37.50],,
38,MAËL,BONZOM,FRA,25   25. | 16   50. [37.60],,
38,EDWARD,HAMER,GBR,25   25. | 16   50. [37.60],,
40,HANWOOL,KIM,KOR,24+  34. | 24+  37. [37.75],,
41,MATTHIAS,SCHIESTL,AUT,24+  34. | 21   41. [39.71],,
42,LUKAS,KÖB,AUT,21   60. | 25+  23. [41.67],,
43,VICTOR,ESTELLER OCAÑA,ESP,24+  34. | 17+  45. [42.26],,
44,BENOIT,HEINTZ,FRA,24   43. | 23+  39. [43.54],,
44,KAYA,OTAKA,JPN,24   43. | 23+  39. [43.54],,
46,TOMAS,BINTER,CZE,24   43. | 21   41. [44.63],,
47,LOÏC,TIMMERMANS,BEL,21+  57. | 25   34. [45.06],,
48,STEFANO,CARNATI,ITA,22   55. | 24+  37. [45.62],,
49,SEUNGWOON,CHO,KOR,24+  34. | 15+  52. [45.92],,
50,CHRISTOPH,HANKE,GER,24   43. | 20   44. [45.96],,
51,MARTIN,BERGANT,SLO,24   43. | 17+  45. [47.50],,
51,HONGIL,KIM,KOR,24   43. | 17+  45. [47.50],,
51,MIKHAIL,KOCHETKOV,RUS,24   43. | 17+  45. [47.50],,
54,FILIP,BABICZ,ITA,24+  34. | 14+  62. [50.83],,
55,REMY,BERGASSE,FRA,24   43. | 15+  52. [51.61],,
56,ARMAN,TER-MINASYAN,RUS,20+  65. | 20+  43. [53.07],,
57,DIMITRI,VOGT,SUI,22+  54. | 15+  52. [54.74],,
58,FEDIR,SAMOILOV,UKR,22   55. | 15+  52. [55.50],,
59,HUGO,MEIGNAN,FRA,21+  57. | 15+  52. [56.74],,
60,ESTEBAN,EGUEZ,ECU,24   43. | 14+  62. [57.13],,
60,KIM,MARSCHNER,GER,24   43. | 14+  62. [57.13],,
62,CONNOR,BYRNE,GBR,14+  71. | 17+  45. [57.77],,
63,YIFTACH,KUSHNIR,ISR,21   60. | 15+  52. [58.66],,
64,KEVIN,HUSER,SUI,21+  57. | 14.5+  60. [59.24],,
65,EMMANUEL,LOPEZ,FRA,20   67. | 15+  52. [61.21],,
66,ELAN,JONASMCRAE,CAN,11   74. | 15+  52. [64.30],,
67,FEDERICO,ANDREOLI,ITA,21   60. | 14+  62. [64.93],,
67,OBED,HARDMEIER,SUI,21   60. | 14+  62. [64.93],,
67,FREDRIK,SERLACHIUS,SWE,21   60. | 14+  62. [64.93],,
70,CLEMENT,VERNAISON,FRA,20+  65. | 14+  62. [66.74],,
71,RUBEN,FIRNENBURG,GER,20   67. | 14+  62. [67.75],,
72,STEFAN,BEDNAR,SVK,19+  69. | 14+  62. [68.50],,
73,ANDRES,PAZMINO,ECU,19   70. | 14+  62. [68.99],,
74,ANDREY,SHAGIN,RUS,13+  72. | 14+  62. [70.21],,
75,MARTIN,JECH,CZE,11   74. | 14+  62. [71.18],,
76,MATTHEW,WELLINGTON,CAN,13+  72. | 12+  75. [73.74],,
