Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,40+  2. | 44+  1. [1.58],47,50+
2,MAGDALENA,RÖCK,AUT,40+  2. | 43+  2. [2.96],40+,45+
3,MINA,MARKOVIC,SLO,top  1. | 43+  2. [1.87],47,44+
4,ANAK,VERHOEVEN,BEL,33+  18. | 43+  2. [7.94],40,40
5,DINARA,FAKHRITDINOVA,RUS,36+  11. | 42+  6. [9.35],39+,36+
6,AKIYO,NOGUCHI,JPN,37+  7. | 43+  2. [5.45],39,36+
7,CHARLOTTE,DURIF,FRA,37+  7. | 42   9. [8.75],39,36+
8,RISA,OTA,JPN,38   6. | 41+  10. [7.94],40+,31+
9,SALOMÉ,ROMAIN,FRA,39+  4. | 32   25. [10.00],36+,
10,JESSICA,PILZ,AUT,37+  7. | 37+  14. [11.10],36+,
11,MOMOKA,ODA,JPN,36+  11. | 40+  12. [12.25],36+,
12,MAJA,STREMFELJ,SLO,28+  21. | 42+  6. [12.41],36+,
13,KATHARINA,POSCH,AUT,38+  5. | 37+  14. [8.51],36,
14,EVGENIIA,MALAMID,RUS,25+  29. | 32+  22. [26.27],36,
15,HÉLÈNE,JANICOT,FRA,28+  21. | 38+  13. [16.91],34,
16,BARBARA,BACHER,AUT,35+  17. | 33+  18. [18.21],30+,
17,MATHILDE,BECERRA,FRA,36+  11. | 42+  6. [9.35],27+,
18,JENNY,LAVARDA,ITA,37+  7. | 41+  10. [9.45],27+,
19,NIKKI,VAN BERGEN,NED,32+  19. | 32+  22. [20.90],27+,
20,YUKA,KOBAYASHI,JPN,36+  11. | 33+  18. [15.61],24+,
21,MANON,HILY,FRA,36   15. | 36+  16. [15.99],24+,
22,JULIA,CHANOURDIE,FRA,28+  21. | 36+  16. [19.05],24+,
23,KATJA,DEBEVEC,SLO,26+  25. | 32+  22. [24.22],24+,
24,ALINA,RING,SUI,36   15. | 29+  30. [21.56],21+,
25,CELINE,CUYPERS,BEL,26+  25. | 31   26. [25.75],21+,
26,NOLWEN,BERTHIER,FRA,29+  20. | 25+  33. [26.08],18+,
27,MATHILDE,BRUMAGNE,BEL,25   32. | 33+  18. [26.68],,
27,NETTA,FREDMAN,ISR,25   32. | 33+  18. [26.68],,
29,REBEKKA,STOTZ,SUI,26   27. | 30+  27. [27.50],,
30,CLAUDIA,GHISOLFI,ITA,25+  29. | 30   29. [29.50],,
31,ANDREA,KÜMIN,SUI,25+  29. | 26+  31. [30.74],,
32,CHRISTINE,SCHRANZ,AUT,25   32. | 30+  27. [31.68],,
33,ANNE-SOPHIE,KOLLER,SUI,27   24. | 20   42. [32.68],,
34,ANASTASIIA,SAMOILINA,RUS,26   27. | 20   42. [34.98],,
35,FEDERICA,MINGOLLA,ITA,25   32. | 25+  33. [35.23],,
36,MOLLY,THOMPSON-SMITH,GBR,25   32. | 23+  37. [36.75],,
37,TINA JOHNSEN,HAFSAAS,NOR,25   32. | 22+  38. [37.24],,
38,GALINA,TERENTEVA,RUS,25   32. | 21+  39. [37.97],,
39,DANA,GILEMKHANOVA,RUS,25   32. | 20+  41. [38.68],,
40,ELENA,BONAPACE,AUT,23+  44. | 25+  33. [38.90],,
41,KARINA,MIROSLAW,POL,24   43. | 24   36. [39.34],,
42,SOLÈNE,AMOROS,FRA,19+  48. | 26+  31. [39.88],,
43,SOFIA,CORREA,ECU,25   32. | 20   42. [40.30],,
43,MICHAELA,KIERSCH,USA,25   32. | 20   42. [40.30],,
45,DENISE,BERTRAM,GER,23+  44. | 20   42. [44.50],,
46,GOH,XIAO XIAN,SGP,10   56. | 21+  39. [47.03],,
47,ZURIÑE,ARRUE TOBAR,ESP,24+  42. | 16+  53. [47.40],,
48,KENZA,SLAMTI,FRA,19+  48. | 20   42. [47.41],,
49,KATRIN,AMANN,SWE,20   46. | 19   49. [47.98],,
50,ELISKA,VLCKOVA,CZE,20   46. | 18+  51. [48.94],,
51,JANA,VINCOURKOVA,CZE,19+  48. | 19+  48. [49.23],,
52,STELLA,PLANTIN,SWE,19+  48. | 19   49. [50.00],,
53,MARTA,PALOU CAROL,ESP,19+  48. | 18+  51. [51.00],,
54,SARAH,PASHLEY,GBR,19+  48. | 16   55. [52.70],,
55,MARTINA,BLANCHET,ITA,19   54. | 16+  53. [53.75],,
56,VERONIKA,SCHEUEROVA,CZE,10+  55. | 4+  56. [55.50],,
