Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [3.87],top,45+
2,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [3.87],top,45
3,SACHI,AMMA,JPN,top  1. | 39+  6. [5.48],57+,42+
4,DOMEN,SKOFIC,SLO,top  1. | 36+  8. [7.25],57+,42+
5,JAKOB,SCHUBERT,AUT,top  1. | top  1. [3.87],57+,40+
6,SEAN,MCCOLL,CAN,top  1. | top  1. [3.87],54+,40+
7,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [3.87],57+,29
8,GAUTIER,SUPPER,FRA,34+  10. | 38+  7. [8.77],54+,24+
9,MANUEL,ROMAIN,FRA,34   13. | 36+  8. [11.91],54+,
10,STEFANO,GHISOLFI,ITA,top  1. | 36+  8. [7.25],51+,
11,MAGNUS,MIDTBOE,NOR,31+  16. | 36+  8. [13.94],51+,
12,FRANCESCO,VETTORATA,ITA,top  1. | 36+  8. [7.25],50,
13,HYUNBIN,MIN,KOR,34+  10. | 35.5+  14. [12.63],45+,
14,URBAN,PRIMOZIC,SLO,31+  16. | 35+  16. [19.24],45+,
15,MARIO,LECHNER,AUT,31   22. | 35+  16. [21.21],45+,
16,SEBASTIAN,HALENKE,GER,30+  24. | 35+  16. [22.36],45+,
17,MIKHAIL,CHERNIKOV,RUS,31+  16. | 35+  16. [19.24],44+,
18,SERGEY,TERENTYEV,RUS,32   15. | 33+  28. [21.04],43+,
19,FEDIR,SAMOILOV,UKR,31+  16. | 35+  16. [19.24],42+,
20,MARCELLO,BOMBARDI,ITA,31   22. | 35+  16. [21.21],42+,
21,JIHWAN,PARK,KOR,28+  29. | 36+  8. [17.90],37+,
22,VALERIY,KRYUKOV,UKR,31+  16. | 35   25. [21.93],37,
23,CHRISTOPH,HANKE,GER,29   28. | 35+  16. [23.66],36+,
24,LUKAS,KÖB,AUT,34   13. | 30+  38. [22.80],32+,
25,KEIICHIRO,KORENAGA,JPN,31+  16. | 35+  16. [19.24],18,
26,DMITRII,FAKIRIANOV,RUS,34+  10. | 35+  16. [14.83],0,
27,THOMAS,TAUPORN,GER,30+  24. | 35   25. [25.50],,
28,NAOKI,SHIMATANI,JPN,30+  24. | 33+  28. [27.16],,
29,ELAN,JONASMCRAE,CAN,28+  29. | 33+  28. [30.00],,
30,JAN,HOJER,GER,29+  27. | 31   36. [31.39],,
31,THOMAS,BALLET,FRA,11   70. | 35.5+  14. [31.97],,
32,JAVIER,CANO BLAZQUEZ,ESP,26+  36. | 33+  28. [33.04],,
33,DAVID,BARRANS,GBR,28+  29. | 30+  38. [34.27],,
34,MAX,RUDIGIER,AUT,26+  36. | 32+  33. [35.21],,
35,KAYA,OTAKA,JPN,28   33. | 28.5+  40. [37.34],,
36,MIKHAIL,KOCHETKOV,RUS,28+  29. | 28   46. [37.66],,
37,ALBAN,LEVIER,FRA,14+  49. | 35   25. [37.99],,
38,MARCO ANTONIO,JUBES ANGARITA,ESP,20+  43. | 32+  33. [38.83],,
39,ANTON,MARDASHOV,UKR,26+  36. | 28.5+  40. [38.95],,
40,BRAD,WEAVER,USA,28   33. | 27+  48. [40.61],,
41,VICTOR,ESTELLER OCAÑA,ESP,24   39. | 28   46. [42.59],,
42,DAVOUD,REKABI,IRI,14+  49. | 32   35. [44.07],,
43,ANDRÉ,NERES,POR,20+  43. | 28+  43. [44.50],,
43,HAIBIN,QU,CHN,20+  43. | 28+  43. [44.50],,
45,EVGENII,ZAZULIN,RUS,14+  49. | 31   36. [45.01],,
46,TOMAS,BINTER,CZE,23   40. | 26+  50. [45.17],,
47,ARMAN,TER-MINASYAN,RUS,22+  41. | 26+  50. [45.73],,
48,JOSH,LARSON,USA,20+  43. | 27+  48. [46.72],,
49,TOMAS,RAVANAL,CHI,14+  49. | 28.5+  40. [47.70],,
50,RISHAT,KHAIBULLIN,KAZ,10   73. | 33   32. [48.33],,
51,ESTEBAN,EGUEZ,ECU,20+  43. | 24+  53. [49.07],,
52,ZIDA,MA,CHN,28   33. | 5   74. [50.16],,
53,JUAN SEBASTIAN,ARBOLEDA HENAO,COL,15+  48. | 23   55. [51.38],,
54,SANTIAGO,DE ALBA FLORES,MEX,21+  42. | 19+  64. [52.05],,
55,YIFTACH,KUSHNIR,ISR,14+  49. | 26+  50. [53.20],,
56,OR,WECHSLER,ISR,11+  65. | 28+  43. [54.30],,
57,MARTIN,JECH,CZE,14+  49. | 24+  53. [54.49],,
58,IÑAKI,ARANTZAMENDI IRUETA,ESP,14+  49. | 22+  56. [56.49],,
58,CONNOR,BYRNE,GBR,14+  49. | 22+  56. [56.49],,
58,JAN,JELIGA,CZE,14+  49. | 22+  56. [56.49],,
61,SAMUEL,FERNANDEZ,COL,14+  49. | 21   61. [58.19],,
62,JOSEPH,GIFFORD,USA,14+  49. | 20+  62. [58.66],,
63,DANIEL,RODENKO,ISR,13+  64. | 22+  56. [60.66],,
64,ANGHELO,BERNAL,COL,14+  49. | 18   66. [61.43],,
64,JOHN,BROSLER,USA,14+  49. | 18   66. [61.43],,
64,SEBASTIAN,PRIETO PERILLA,COL,14+  49. | 18   66. [61.43],,
67,CESAR,ORJUELA,COL,14   63. | 20   63. [63.00],,
68,LUKE,DAWSON,GBR,11+  65. | 21+  60. [63.40],,
69,SÉBASTIEN,BERTHE,BEL,11   70. | 19+  64. [67.43],,
70,LEONARDO,DE RIVERO HUAMAN,PER,11+  65. | 18   66. [67.50],,
70,SHIVALINGA M,MAHADEVA K,IND,11+  65. | 18   66. [67.50],,
72,GREGORY RAYMOND,BORMAN,RSA,11+  65. | 13+  72. [69.46],,
73,RECEP,GÜR,TUR,10+  72. | 14   71. [71.50],,
74,NIRAJ,KARKI,NEP,5   74. | 7   73. [73.50],,
