Rank,Name,,Country,Qualification,Final
1,DANYIL,BOLDYREV,UKR,5.990,5.60
2,STANISLAV,KOKORIN,RUS,6.140,5.92
3,REZA,ALIPOUR SHENAZANDIFARD,IRI,6.180,6.11
4,EVGENII,VAITSEKHOVSKII,RUS,6.470,6.18
5,MARCIN,DZIENSKI,POL,6.610,6.09
6,LEONARDO,GONTERO,ITA,6.410,6.17
7,BASSA,MAWEM,FRA,6.360,6.27
8,LIBOR,HROZA,CZE,6.100,7.43
9,ASPAR,ASPAR,INA,6.420,6.48
10,QUENTIN,NAMBOT,FRA,6.800,6.73
11,NIKITA,SUYUSHKIN,RUS,6.400,6.77
12,QIXIN,ZHONG,CHN,6.270,7.10
13,ARSENII,SHEVCHENKO,RUS,6.570,7.34
14,ALEKSANDR,SHIKOV,RUS,6.730,7.46
15,ISAAC,ESTEVEZ,ECU,6.780,7.92
16,DMITRII,TIMOFEEV,RUS,6.630,8.64
17,OLEXIY,ZAYCHENKO,UKR,7.040,
18,LINCAI,ZHONG,CHN,7.050,
19,AMIR,MAIMURATOV,KAZ,7.120,
20,YAROSLAV,GONTARYK,UKR,7.140,
21,ALESSANDRO,SANTONI,ITA,7.180,
22,ROBERT,STEWART-PATTERSON,CAN,7.430,
23,RISHAT,KHAIBULLIN,KAZ,7.550,
24,VOLODYMYR,ZINCHENKO,UKR,7.860,
25,JOSUE,MANOSALVAS,ECU,8.000,
26,SEAN,MCCOLL,CAN,8.380,
27,ALBAN,LEVIER,FRA,8.450,
28,THOMAS,TAUPORN,GER,8.580,
29,JUNGJU,KIM,KOR,8.770,
30,JAN,HOJER,GER,8.950,
31,PETR,BURIAN,CZE,9.180,
32,SHIVALINGA M,MAHADEVA K,IND,9.610,
33,ANGHELO,BERNAL,COL,9.920,
34,MARCO ANTONIO,JUBES ANGARITA,ESP,11.270,
35,DOMEN,SKOFIC,SLO,11.790,
36,MAGNUS,MIDTBOE,NOR,14.900,
37,LEONARDO,DE RIVERO HUAMAN,PER,16.520,
38,JOHN,BROSLER,USA,false start,
