Rank,Name,,Country,Qualification,Final
1,ALINA,GAIDAMAKINA,RUS,8.690,8.38
2,KLAUDIA,BUCZEK,POL,8.650,8.55
3,ALEKSANDRA,MIROSLAW,POL,8.870,9.00
4,EDYTA,ROPEK,POL,9.130,9.08
5,MARIIA,KRASAVINA,RUS,8.250,8.75
6,DARIA,KAN,RUS,9.270,9.13
7,ANNA,TSYGANOVA,RUS,8.560,9.93
8,IULIIA,KAPLINA,RUS,8.290,false start
9,KSENIYA,POLEKHINA,RUS,8.830,8.51
10,ALLA,MARENYCH,UKR,8.520,8.79
11,PATRYCJA,CHUDZIAK,POL,9.010,8.86
12,YULIYA,LEVOCHKINA,RUS,8.690,8.98
13,ALEXANDRA,ELMER,AUT,9.280,9.23
14,TAMARA,ULZHABAYEVA,KAZ,9.250,9.40
15,ANOUCK,JAUBERT,FRA,8.270,10.02
16,ELENA,TIMOFEEVA,RUS,8.950,fall
17,SUPITA,TITA,INA,9.410,
18,FARNAZ,ESMAEILZADEH,IRI,9.460,
19,MONIKA,PROKOPIUK-KAWECKA,POL,9.540,
20,MARGARYTA,ZAKHAROVA,UKR,10.140,
21,ANNA,KOLOKOVSKA,UKR,10.470,
22,CHARLOTTE,DURIF,FRA,10.570,
23,YANA,LUGOVENKO,UKR,10.610,
24,NICOLE,MEJIA,ECU,10.680,
25,ANNA,BROZEK,POL,10.690,
26,ANASTASIYA,ZAICHENKO,UKR,10.930,
27,PETRA,KLINGLER,SUI,11.030,
28,ANDREA,ROJAS,ECU,11.810,
29,DINARA,FAKHRITDINOVA,RUS,12.100,
30,MARGARITA,ROBLES,COL,13.480,
31,FLOR DE LUNA,PAZAN,COL,15.480,
32,PUNTARIKA,TUNYAVANICH,THA,16.490,
33,ANDREA,POKORNA,CZE,16.590,
34,MINA,MARKOVIC,SLO,18.410,
35,BARBARA,BACHER,AUT,19.400,
