Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAN,HOJER,GER,2t2 5b5,2t3 3b4,3t7 4b8
2,SEAN,MCCOLL,CAN,3t4 4b5,1t2 3b7,2t5 3b6
3,GUILLAUME,GLAIRON MONDET,FRA,4t5 5b6,1t1 3b4,0t 2b4
4,JONGWON,CHON,KOR,4t5 5b7,1t3 2b3,0t 2b4
5,TOMOA,NARASAKI,JPN,3t6 5b6,1t2 2b2,0t 1b1
6,STEFANO,GHISOLFI,ITA,1t2 5b7,1t1 3b9,0t 1b2
7,DMITRII,SHARAFUTDINOV,RUS,4t6 5b7,0t 3b5,
8,TSUKURU,HORI,JPN,4t6 5b10,0t 2b2,
9,ANDRZEJ,MECHERZYNSKI-WIKTOR,POL,3t3 5b5,0t 2b2,
10,ALEKSEY,RUBTSOV,RUS,3t4 4b4,0t 2b3,
11,ARTEM,PETRAKOV,RUS,1t1 4b5,0t 2b5,
12,HAIBIN,QU,CHN,1t1 3b4,0t 2b7,
13,JORG,VERHOEVEN,NED,3t8 5b10,0t 1b1,
14,DONGGUN,LEE,KOR,3t5 5b12,0t 1b2,
15,KEITA,SETO,JPN,2t5 4b7,0t 1b2,
16,NATHAN,PHILLIPS,GBR,1t1 4b6,0t 1b2,
17,MASAHIRO,HIGUCHI,JPN,3t3 4b11,0t 1b3,
18,JABEE,KIM,KOR,2t5 4b10,0t 1b3,
19,CHANGFENG,QU,CHN,1t1 3b6,0t 1b3,
20,JIHWAN,PARK,KOR,4t8 5b10,0t 0b,
21,ZIDA,MA,CHN,1t2 4b8,,
22,QINGHUA,WANG,CHN,1t2 3b7,,
23,JIACUO,SUOLANG,CHN,1t6 2b4,,
24,SIU-HEI,TANG,HKG,0t 3b6,,
25,NATHANIEL,SPENCER,USA,0t 1b2,,
