Rank,Name,,Country,Qualification,Semi-Final,Final
1,AKIYO,NOGUCHI,JPN,5t8 5b8,3t3 4b8,2t2 4b6
2,SHAUNA,COXSEY,GBR,4t5 4b5,4t7 4b6,2t5 3b5
3,ANNA,STÖHR,AUT,4t12 5b13,2t2 4b4,1t3 2b6
4,DINARA,FAKHRITDINOVA,RUS,2t3 3b6,3t7 4b9,1t4 1b1
5,JULIANE,WURM,GER,3t6 3b3,2t3 4b7,1t5 2b6
6,MIHO,NONAKA,JPN,3t5 3b4,2t3 4b5,0t 3b4
7,PETRA,KLINGLER,SUI,3t5 3b3,2t3 4b8,
8,KATHARINA,SAURWEIN,AUT,2t4 3b5,2t4 4b7,
9,SOL,SA,KOR,4t11 4b7,1t1 2b2,
10,MOMOKA,ODA,JPN,1t1 1b1,1t1 1b1,
11,VERA,ZIJLSTRA,NED,1t1 4b9,0t 4b10,
12,AYA,ONOE,JPN,2t3 3b3,0t 1b3,
13,RONG,JIANG,CHN,1t2 2b4,0t 1b3,
14,SEUNGHYUN,KIM,KOR,0t 3b6,0t 0b,
15,KAORI,HOSONO,JPN,0t 2b3,0t 0b,
16,WANGMU,RENZENG,CHN,0t 2b7,0t 0b,
17,YUKI,MATSUSHIMA,JPN,0t 1b1,0t 0b,
17,ABDUL ROCHMAN,SYARIFAH,INA,0t 1b1,0t 0b,
19,"CHI-HENG, SHARON",CHIU,HKG,0t 1b2,0t 0b,
20,MINSEON,KIM,KOR,1t6 1b6,,
21,HAIMI,CHO,KOR,0t 1b7,,
22,LAMU,RENQING,CHN,0t 0b,,
