Rank,Name,,Country,Qualification,Final
1,MARIIA,KRASAVINA,RUS,8.570,8.35
2,IULIIA,KAPLINA,RUS,8.670,fall
3,ANOUCK,JAUBERT,FRA,8.800,8.58
4,ALEKSANDRA,MIROSLAW,POL,8.970,fall
5,YULIYA,LEVOCHKINA,RUS,9.140,8.89
6,ALINA,GAIDAMAKINA,RUS,9.050,8.95
7,KLAUDIA,BUCZEK,POL,9.330,9.28
8,SUPITA,TITA,INA,9.250,9.61
9,MONIKA,PROKOPIUK-KAWECKA,POL,9.810,
10,EDYTA,ROPEK,POL,9.820,
11,PUJI,LESTARI,INA,10.770,
12,MULYANI,MUDJI,INA,11.100,
13,LAMU,RENQING,CHN,12.320,
14,WANGMU,RENZENG,CHN,12.330,
15,RISA,OTA,JPN,25.200,
16,PETRA,KLINGLER,SUI,fall,
