Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | 31   7. [5.92],54+,41+
2,SEAN,MCCOLL,CAN,top  1. | 33+  5. [5.00],53+,39+
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [2.74],top,39
4,ROMAIN,DESGRANGES,FRA,top  1. | 30+  8. [6.89],59+,39
5,GAUTIER,SUPPER,FRA,top  1. | 33   6. [5.48],53+,38+
6,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | 34+  3. [4.18],top,33+
7,DOMEN,SKOFIC,SLO,top  1. | 29+  13. [8.66],59+,32
8,STEFANO,GHISOLFI,ITA,41+  10. | top  1. [3.87],49,4+
9,SEBASTIAN,HALENKE,GER,top  1. | 24   24. [11.07],48+,
10,MAGNUS,MIDTBOE,NOR,18+  32. | 34+  3. [11.30],47+,
11,URBAN,PRIMOZIC,SLO,19+  21. | 29+  13. [18.57],46+,
12,THOMAS,BALLET,FRA,29   18. | 29+  13. [16.43],44+,
13,MARIO,LECHNER,AUT,36+  13. | 25   19. [16.82],42,
14,MARCELLO,BOMBARDI,ITA,37+  12. | 24+  21. [16.25],41+,
15,MANUEL,ROMAIN,FRA,19   26. | 30+  8. [16.45],41+,
16,FRANCESCO,VETTORATA,ITA,16   55. | 30+  8. [22.96],41+,
17,KEIICHIRO,KORENAGA,JPN,top  1. | 25   19. [9.87],40+,
18,MIKHAIL,CHERNIKOV,RUS,16   55. | 30+  8. [22.96],40+,
19,LOÏC,TIMMERMANS,BEL,19+  21. | 25+  18. [20.35],39+,
20,HANWOOL,KIM,KOR,16+  42. | 30   12. [24.00],38+,
21,MAX,RUDIGIER,AUT,36+  13. | 22+  26. [19.97],31+,
22,ELAN,JONASMCRAE,CAN,36+  13. | 19+  36. [23.47],30+,
23,GEORG,PARMA,AUT,19+  21. | 24   24. [23.74],29+,
24,ALFONS,DORNAUER,AUT,36+  13. | 21+  31. [21.37],29,
25,LUKAS,KÖB,AUT,41   11. | 21+  31. [18.61],28,
26,CHRISTOPH,HANKE,GER,19+  21. | 22   30. [26.27],27+,
27,THOMAS,JOANNES,FRA,16+  42. | 29+  13. [26.83],,
27,HYUNBIN,MIN,KOR,16+  42. | 29+  13. [26.83],,
29,ARMAN,TER-MINASYAN,RUS,26   19. | 19+  36. [26.87],,
30,JAVIER,CANO BLAZQUEZ,ESP,19   26. | 22+  26. [28.00],,
30,NAOKI,SHIMATANI,JPN,19   26. | 22+  26. [28.00],,
32,STEFANO,CARNATI,ITA,18+  32. | 24+  21. [28.34],,
32,BERNHARD,RÖCK,AUT,18+  32. | 24+  21. [28.34],,
34,DIMITRI,VOGT,SUI,34   17. | 16   48. [28.86],,
35,THILO JELDRIK,SCHRÖTER,NOR,23+  20. | 17+  43. [29.83],,
36,YIFTACH,KUSHNIR,ISR,19   26. | 18   42. [34.60],,
37,FILIP,BABICZ,ITA,18+  32. | 20+  33. [35.23],,
37,MARCO ANTONIO,JUBES ANGARITA,ESP,18+  32. | 20+  33. [35.23],,
39,REMY,BERGASSE,FRA,19   26. | 17+  43. [35.61],,
40,ANDREY,SHAGIN,RUS,19+  21. | 12   56. [35.89],,
41,JIHWAN,PARK,KOR,16+  42. | 22+  26. [36.33],,
42,FEDERICO,ANDREOLI,ITA,18+  32. | 19+  36. [37.24],,
42,SEUNGWOON,CHO,KOR,18+  32. | 19+  36. [37.24],,
44,ESTEBAN,EGUEZ,ECU,19   26. | 15+  51. [38.50],,
45,KEVIN,ARC,FRA,18+  32. | 19   41. [38.68],,
46,KEVIN,HUSER,SUI,18+  32. | 17+  43. [40.30],,
47,TOMAS,BINTER,CZE,16+  42. | 20+  33. [40.40],,
48,JAKOB HEBER,NORUM,NOR,18+  32. | 16+  47. [41.42],,
49,MARTIN,JECH,CZE,16+  42. | 19+  36. [42.71],,
50,MATTHIAS,SCHIESTL,AUT,16+  42. | 17+  43. [46.22],,
51,CONNOR,BYRNE,GBR,16+  42. | 16   48. [48.50],,
51,HONGIL,KIM,KOR,16+  42. | 16   48. [48.50],,
53,REMO,LEHMANN,SUI,16+  42. | 15+  51. [49.96],,
53,ANDRES,PAZMINO,ECU,16+  42. | 15+  51. [49.96],,
55,OBED,HARDMEIER,SUI,16+  42. | 12+  54. [51.15],,
55,MATTHEW,WELLINGTON,CAN,16+  42. | 12+  54. [51.15],,
