Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,45   8. | top  1. [6.00],39+,top
2,MINA,MARKOVIC,SLO,top  1. | top  1. [2.00],40+,47+
3,MAJA,STREMFELJ,SLO,46   3. | top  1. [4.24],35,44+
4,AKIYO,NOGUCHI,JPN,46   3. | top  1. [4.24],37+,40+
5,MAGDALENA,RÖCK,AUT,46   3. | top  1. [4.24],39,39+
6,ANAK,VERHOEVEN,BEL,46   3. | top  1. [4.24],39+,38+
7,HÉLÈNE,JANICOT,FRA,46+  2. | 39+  10. [4.80],35+,38
8,YUKA,KOBAYASHI,JPN,45   8. | 39   14. [11.22],37+,30+
9,CHARLOTTE,DURIF,FRA,41+  11. | 39+  10. [11.25],35,
10,AYA,ONOE,JPN,40   13. | 39+  10. [12.23],35,
11,AIKA,TAJIMA,JPN,35+  16. | 40+  8. [11.49],34+,
12,KATHARINA,POSCH,AUT,41   12. | 39+  10. [11.75],34+,
13,CHRISTINE,SCHRANZ,AUT,45+  7. | 40   9. [7.94],29+,
14,NETTA,FREDMAN,ISR,30+  19. | 32+  17. [18.75],29+,
15,DINARA,FAKHRITDINOVA,RUS,37   14. | 35   15. [14.75],28+,
16,TSUKASA,MIZUGUCHI,JPN,26   23. | 32+  17. [20.85],28+,
17,MOE,YOSHIMURA,JPN,19+  26. | 30+  22. [23.92],28,
18,BARBARA,BACHER,AUT,35   18. | 34+  16. [16.97],27,
19,NIKKI,VAN BERGEN,NED,37   14. | 32+  17. [16.38],26+,
20,ERINA,MIURA,JPN,27+  20. | 24+  24. [22.18],26,
21,MISATO,NISHIKORI,JPN,26   23. | 27   23. [23.25],25+,
22,RISA,OTA,JPN,45   8. | top  1. [6.00],25,
23,MIHO,NONAKA,JPN,35+  16. | 32+  17. [17.47],24+,
24,ASAMI,HARADA,JPN,27+  20. | 22+  25. [22.86],24+,
25,YUKI,HIROSHIGE,JPN,27   22. | 6+  27. [24.37],24+,
26,SAKIKO,OSAWA,JPN,9+  27. | 31+  21. [23.81],23,
27,YUKI,MATSUSHIMA,JPN,24   25. | 22+  25. [25.25],,
28,MELANIE,MESSER,USA,9   28. | 5+  28. [28.00],,
