Rank,Name,,Country,Qualification,Semi-Final,Final
1,RUSTAM,GELMANOV,RUS,4t6 5b5,4t5 4b4,4t8 4b8
2,GUILLAUME,GLAIRON MONDET,FRA,5t5 5b5,4t6 4b5,3t6 3b5
3,JEREMY,BONDER,FRA,4t7 5b6,4t6 4b5,2t4 2b2
4,JAN,HOJER,GER,4t6 5b6,4t6 4b6,1t1 2b3
5,ALBAN,LEVIER,FRA,4t8 5b9,4t8 4b4,1t2 2b3
6,STÉPHAN,JULIEN,FRA,4t8 5b7,4t9 4b8,1t3 2b4
7,SEAN,MCCOLL,CAN,3t5 5b8,3t5 4b6,
8,THOMAS,CALEYRON,FRA,5t9 5b7,3t7 4b7,
9,THOMAS,TAUPORN,GER,5t8 5b5,3t12 4b6,
10,JERNEJ,KRUDER,SLO,5t8 5b5,2t3 4b7,
10,GABRIELE,MORONI,ITA,4t15 4b14,2t3 4b7,
12,DAVID,BARRANS,GBR,4t7 5b5,2t3 4b9,
13,ANDRZEJ,MECHERZYNSKI-WIKTOR,POL,4t11 5b8,2t3 4b12,
14,NICKY,DE LEEUW,NED,5t15 5b13,2t3 3b3,
15,JONGWON,CHON,KOR,5t10 5b9,2t3 3b4,
16,JAMES,KASSAY,AUS,5t8 5b5,2t4 4b6,
17,JORG,VERHOEVEN,NED,4t15 5b15,2t5 4b10,
18,THOMAS,FARRELL,AUS,4t4 5b5,1t1 4b8,
19,KEVIN,HEINIGER,SUI,4t12 5b15,1t1 4b12,
20,MICKAEL,MAWEM,FRA,4t7 5b6,0t 3b4,
21,GHOLAMALI,BARATZADEH,IRI,3t6 4b8,,
21,DMITRII,SHARAFUTDINOV,RUS,3t4 5b6,,
23,TOMOAKI,TAKATA,JPN,3t5 5b5,,
23,VADIM,TIMONOV,RUS,3t6 4b10,,
25,ROLANDS,RUGENS,LAT,3t7 3b4,,
25,ELIAS,WEILER,AUT,3t5 5b7,,
27,ALFONS,DORNAUER,AUT,3t9 5b8,,
27,ALEX,KHAZANOV,ISR,3t8 4b9,,
29,CARLOS JOSE,CATARI RAMONES,ESP,3t9 5b15,,
29,TSUKURU,HORI,JPN,3t11 5b15,,
31,TOM,NEWMAN,GBR,2t2 4b4,,
31,NATHAN,PHILLIPS,GBR,2t2 5b6,,
33,MAX,RUDIGIER,AUT,2t3 4b4,,
33,ANDREA,ZANONE,ITA,2t3 5b11,,
35,DOMINIC,BURNS,IRL,2t3 4b7,,
35,KENNETH,ELVEGÅRD,NOR,2t4 5b9,,
37,YOSHIYUKI,OGATA,JPN,2t5 5b11,,
37,IGNACIO,SANCHEZ GONZÁLEZ,ESP,2t5 4b7,,
39,JONATAN,FLOR VAZQUEZ,ESP,2t6 5b12,,
39,JONATHAN,PARTRIDGE,GBR,1t2 2b3,,
41,BJØRN,ARNEL IISAGER,DEN,1t3 3b6,,
41,STEFAN,SCARPERI,ITA,1t1 4b6,,
43,KIPRAS,BALTRUNAS,LTU,1t1 3b4,,
43,JONATHAN,REDMOND,IRL,1t4 3b6,,
45,JUAN,O RAW,IRL,1t1 3b6,,
45,THILO JELDRIK,SCHRÖTER,NOR,1t5 3b9,,
47,JULIEN,FORGUE,FRA,0t 2b2,,
47,MASAHIRO,HIGUCHI,JPN,0t 2b2,,
47,PAWEL,PIETRZAK,POL,1t2 4b6,,
50,DARAGH,O CONNOR,IRL,1t2 3b12,,
51,REZA,KOLASANGIAN,IRI,1t3 4b11,,
51,ERIC,SETHNA,CAN,0t 2b6,,
51,STEPAN,STRANIK,CZE,0t 2b6,,
54,AYODELE,SOPEJU,CAN,1t4 3b8,,
55,JAN,CHVALA,CZE,1t5 4b19,,
55,NATHANIEL,SPENCER,USA,0t 1b4,,
57,AMIR,NOURI,IRI,0t 1b6,,
