Rank,Name,,Country,Qualification,Semi-Final,Final
1,AKIYO,NOGUCHI,JPN,5t5 5b5,4t10 4b7,3t4 4b7
2,MIHO,NONAKA,JPN,5t8 5b6,2t2 4b4,3t6 4b10
3,JULIANE,WURM,GER,4t6 5b6,2t3 3b4,3t7 4b7
4,FANNY,GIBERT,FRA,5t10 5b6,3t4 4b5,3t10 3b7
5,SHAUNA,COXSEY,GBR,5t5 5b5,3t4 4b5,3t13 4b11
6,ANNA,STÖHR,AUT,5t5 5b5,2t2 4b7,2t4 4b7
7,BERIT,SCHWAIGER,AUT,5t6 5b6,2t4 3b6,
8,ANNE-LAURE,CHEVRIER,FRA,3t5 5b8,2t4 2b4,
9,MARINE,THÉVENET,FRA,4t8 5b8,2t5 4b8,
10,SOL,SA,KOR,5t6 5b5,2t6 4b13,
11,MICHAELA,TRACY,GBR,5t9 5b8,2t7 4b10,
12,AYA,ONOE,JPN,3t7 4b8,2t9 2b5,
13,SABINE,BACHER,AUT,5t11 5b9,1t1 4b5,
14,PETRA,KLINGLER,SUI,4t5 5b5,1t1 1b1,
15,MEGAN,MASCARENAS,USA,5t9 5b5,1t2 3b8,
16,KATHARINA,SAURWEIN,AUT,5t7 5b6,1t3 3b8,
17,MÉLANIE,SANDOZ,FRA,5t9 5b6,1t4 2b6,
18,MONIKA,RETSCHY,GER,5t7 5b6,0t 2b7,
19,NATALIE,BÄRTSCHI,SUI,3t8 4b7,0t 1b3,
19,KAROLINE,SINNHUBER,AUT,4t14 5b15,0t 1b3,
21,VALERI,KREMER,ISR,3t15 4b12,,
21,HANNAH,MIDTBOE,NOR,5t13 5b11,,
23,CHLOE,CAULIER,BEL,4t4 4b4,,
23,MANON,CHAPET,FRA,2t3 4b6,,
25,MIURA,HAWKINS,USA,2t6 3b5,,
25,MANON,HILY,FRA,4t5 4b4,,
27,ANDREA,EBNER,ITA,2t8 4b10,,
27,ANNA,VOLLENWYDER,AUT,4t6 5b7,,
29,NOLWEN,BERTHIER,FRA,2t10 4b12,,
29,ANNALISA,DE MARCO,ITA,4t7 5b7,,
29,JULIA,PINGGERA,AUT,4t7 5b7,,
32,VERA,ZIJLSTRA,NED,1t1 4b8,,
33,YUKA,KOBAYASHI,JPN,1t1 3b3,,
33,JENNIFER,WOOD,GBR,3t4 4b9,,
35,KAORI,HOSONO,JPN,1t1 3b6,,
35,KATRINE,VANDET SALLING,DEN,3t11 4b10,,
37,DANIELA,EBLER,SWE,1t2 2b3,,
37,TERESA,TROYA GIL,ESP,2t5 4b9,,
39,STELLA,PLANTIN,SWE,1t3 4b13,,
39,MALGORZATA,RUDZINSKA,POL,1t4 2b2,,
41,DIANE,MERRICK,GBR,0t 5b13,,
41,THOMASINA,PIDGEON,CAN,0t 3b7,,
