Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,49+  4. | top  1. [3.16],45+,top
2,DOMEN,SKOFIC,SLO,44+  9. | 44   5. [6.71],45+,49
3,ROMAIN,DESGRANGES,FRA,46   8. | top  1. [4.47],48+,44+
4,RAMÓN,JULIAN PUIGBLANQUE,ESP,50   3. | top  1. [2.74],48+,44
5,SEAN,MCCOLL,CAN,top  1. | 43+  6. [3.12],46+,41+
6,STEFANO,GHISOLFI,ITA,48+  5. | 43+  6. [5.70],46+,32+
7,AKITO,MATSUSHIMA,JPN,41   11. | 39+  10. [12.19],39+,26+
8,GAUTIER,SUPPER,FRA,48   6. | 43   8. [6.93],47+,14+
9,ADAM,ONDRA,CZE,top  1. | top  1. [1.94],38+,
10,MAGNUS,MIDTBOE,NOR,38+  14. | 39+  10. [13.99],38+,
11,HYUNBIN,MIN,KOR,46+  7. | 39+  10. [9.72],37,
12,NAOKI,SHIMATANI,JPN,41+  10. | 39+  10. [11.62],37,
13,HANWOOL,KIM,KOR,34+  19. | 39+  10. [16.02],35,
14,ELAN,JONASMCRAE,CAN,29+  20. | 32+  23. [22.75],33,
15,JAVIER,CANO BLAZQUEZ,ESP,38+  14. | 39+  10. [13.99],31+,
16,JIHWAN,PARK,KOR,37+  16. | 34   20. [18.11],31,
17,MARIO,LECHNER,AUT,40   12. | 39+  10. [12.73],30+,
18,YUKI,HADA,JPN,36+  18. | 39+  10. [15.59],30+,
19,REI,SUGIMOTO,JPN,39+  13. | 33+  22. [16.91],30+,
20,JABEE,KIM,KOR,29+  20. | 32   24. [23.72],29,
21,HIROTO,SHIMIZU,JPN,29+  20. | 35   19. [20.68],28+,
22,OR,WECHSLER,ISR,29+  20. | 31+  27. [24.87],28+,
23,JONGWON,CHON,KOR,37   17. | 31+  27. [21.62],27,
24,LOÏC,TIMMERMANS,BEL,29+  20. | 42   9. [14.23],26+,
25,YUZURU,IIDA,JPN,29+  20. | 34   20. [21.48],18+,
26,SEUNGWOON,CHO,KOR,24   29. | 37+  18. [22.85],18+,
27,HONGIL,KIM,KOR,29   26. | 32   24. [25.50],,
28,SHINYEONG,YUN,KOR,21+  30. | 32   24. [27.39],,
29,MYEONGSU,KIM,KOR,28+  27. | 23+  30. [28.46],,
30,DONGGUN,LEE,KOR,25   28. | 23   31. [29.70],,
31,SHANE,MESSER,USA,18   33. | 26+  29. [30.94],,
32,SUNGCHAN,PEE,KOR,20+  32. | 23   31. [31.75],,
33,THATTANA,RAKSACHAT,THA,21   31. | 17   33. [32.23],,
34,WINAI,RUANGRIT,THA,15   34. | 17   33. [33.75],,
35,PRANIL MAN,SHRESTHA,NEP,11   35. | 11   36. [35.74],,
36,NIRAJ,KARKI,NEP,9+  36. | 11   36. [36.25],,
37,TERDPOL,ARTAUI,THA,7   38. | 14+  35. [36.47],,
38,PHANUPHONG,BUNPRAKOP,THA,8   37. | 10+  38. [37.50],,
