Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | 49+  4. [3.16],52,45+
2,ANAK,VERHOEVEN,BEL,42+  5. | 50   3. [3.87],57,43+
3,HÉLÈNE,JANICOT,FRA,41+  7. | 47+  6. [7.48],42,38+
4,MAGDALENA,RÖCK,AUT,top  1. | top  1. [1.94],52+,37.5+
5,KATHARINA,POSCH,AUT,top  1. | 47+  6. [4.18],44+,33+
6,JAIN,KIM,KOR,top  1. | top  1. [1.94],58+,32+
7,CHRISTINE,SCHRANZ,AUT,42   6. | 41+  10. [8.49],40,19+
8,AIKA,TAJIMA,JPN,41+  7. | 47+  6. [7.48],45+,6+
9,MAJA,STREMFELJ,SLO,38   13. | 39+  15. [14.75],38+,
10,YUKA,KOBAYASHI,JPN,38   13. | 41+  10. [13.19],36+,
11,DINARA,FAKHRITDINOVA,RUS,38   13. | 41+  10. [13.19],35+,
12,NIKKI,VAN BERGEN,NED,38+  10. | 38+  16. [13.47],34+,
13,AYA,ONOE,JPN,38+  10. | 42+  9. [9.95],34,
14,BARBARA,BACHER,AUT,38+  10. | 38+  16. [13.47],32+,
15,SOL,SA,KOR,38   13. | 41+  10. [13.19],31+,
16,RISA,OTA,JPN,41+  7. | 48   5. [6.32],28+,
17,NETTA,FREDMAN,ISR,37+  17. | 41+  10. [14.28],28+,
18,SOLAH,KIM,KOR,33+  20. | 24+  20. [20.49],20,
19,PUNTARIKA,TUNYAVANICH,THA,26   21. | 23+  23. [21.98],8+,
20,MIHYEON,HWANG,KOR,22+  23. | 19+  25. [24.48],8+,
21,SEUNGHYUN,KIM,KOR,22   25. | 20+  24. [24.74],8+,
22,ANASTASIIA,SAMOILINA,RUS,23   22. | 27+  19. [20.45],8,
23,PRATTHANA,RAKSACHAT,THA,21   27. | 24+  20. [23.81],8,
24,HAIMI,CHO,KOR,36+  18. | 36+  18. [18.00],5+,
25,MINSEON,KIM,KOR,35+  19. | 24+  20. [19.97],5+,
26,WATCHAREEWAN,TOMAS,THA,22+  23. | 19   27. [25.65],5+,
27,HYOJUNG,KIM,KOR,18+  28. | 19+  25. [27.19],,
28,PANKAEW,PLYPOOLSUP,THA,22   25. | 18+  30. [27.66],,
29,EUNKYUNG,NAM,KOR,18+  28. | 19   27. [28.50],,
30,JIYEON,JEON,KOR,12+  32. | 19   27. [29.93],,
31,MINJUNG,JUNG,KOR,18+  28. | 11+  31. [30.22],,
32,WOONWHA,JEONG,KOR,17   31. | 11+  31. [31.25],,
