Rank,Name,,Country,Qualification,Semi-Final,Final
1,STEFANO,GHISOLFI,ITA,33+  4. | 31.5+  9. [6.71],33+,36+
2,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | 34+  6. [3.74],34,36
3,ROMAIN,DESGRANGES,FRA,33+  4. | top  1. [3.67],40,34+
4,DOMEN,SKOFIC,SLO,28+  8. | top  1. [5.20],36,34+
5,SEAN,MCCOLL,CAN,top  1. | top  1. [2.45],top,33+
6,AKITO,MATSUSHIMA,JPN,28+  8. | top  1. [5.20],33+,22+
7,MARIO,LECHNER,AUT,26+  11. | 31.5   12. [11.99],25,20
8,GAUTIER,SUPPER,FRA,28+  8. | 34+  6. [7.94],33+,13
9,ZIDA,MA,CHN,25+  13. | 30   15. [14.47],25,
10,ELAN,JONASMCRAE,CAN,22+  16. | 31.5+  9. [13.04],24+,
11,CHANGFENG,QU,CHN,24   15. | 29+  17. [16.20],24+,
12,MAGNUS,MIDTBOE,NOR,30+  7. | 34+  6. [7.00],24,
13,JAVIER,CANO BLAZQUEZ,ESP,26+  11. | 31.5+  9. [10.72],24,
14,QINGHUA,WANG,CHN,22+  16. | 29+  17. [17.25],23+,
15,SHINICHIRO,NOMURA,JPN,25+  13. | 30+  14. [13.75],23,
16,OR,WECHSLER,ISR,22+  16. | 30   15. [16.23],22,
17,JAKOB,SCHUBERT,AUT,31+  6. | top  1. [4.24],18,
18,LOÏC,TIMMERMANS,BEL,19+  20. | 31.5   12. [15.81],18,
19,ADAM,ONDRA,CZE,top  1. | 28+  19. [6.16],17+,
20,MARTIN,JECH,CZE,20   19. | 24   20. [19.49],17+,
21,SHANE,MESSER,USA,16   21. | 16   21. [21.00],17+,
