Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | 42+  2. [2.45],35+,31+
2,ANAK,VERHOEVEN,BEL,36   6. | 42+  2. [5.29],35,24+
3,HÉLÈNE,JANICOT,FRA,36+  4. | top  1. [2.12],30+,20+
4,MAGDALENA,RÖCK,AUT,36+  4. | 37   9. [6.36],35+,17+
5,KATHARINA,POSCH,AUT,36   6. | 42+  2. [5.29],35,17+
6,YUKA,KOBAYASHI,JPN,36   6. | 35+  11. [8.77],31+,17+
7,AYA,ONOE,JPN,32+  11. | 37+  7. [9.49],26+,15+
8,MAJA,STREMFELJ,SLO,32+  11. | 34+  12. [12.00],36+,13
9,CHRISTINE,SCHRANZ,AUT,31+  14. | 34   13. [13.49],22+,
10,JAIN,KIM,KOR,top  1. | 42+  2. [2.45],21+,
11,NIKKI,VAN BERGEN,NED,33+  9. | 36   10. [9.75],20+,
12,BARBARA,BACHER,AUT,30+  15. | 30+  14. [14.49],20+,
13,DINARA,FAKHRITDINOVA,RUS,37+  3. | 37+  7. [4.74],20,
14,CHARLOTTE,DURIF,FRA,33+  9. | 42+  2. [6.16],20,
15,NETTA,FREDMAN,ISR,32+  11. | 22+  15. [13.42],19+,
16,DI,NIU,CHN,24+  16. | 18+  16. [16.00],18+,
