Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [2.45],top,47+
2,JESSICA,PILZ,AUT,top  1. | 35+  5. [6.63],41+,47+
3,ANAK,VERHOEVEN,BEL,top  1. | top  1. [2.45],39,46+
4,MATHILDE,BECERRA,FRA,top  1. | 32+  21. [9.70],39,45+
5,RISA,OTA,JPN,36+  8. | 35+  5. [9.67],41+,44+
6,DINARA,FAKHRITDINOVA,RUS,36   10. | 35+  5. [10.75],41,43+
7,DELANEY,MILLER,USA,35+  12. | 35+  5. [11.49],41+,8
8,MINA,MARKOVIC,SLO,top  1. | 38+  3. [3.46],43.5,1
9,TJASA,KALAN,SLO,top  1. | 35+  5. [6.63],38+,
10,MAGDALENA,RÖCK,AUT,30+  14. | 35+  5. [12.41],38+,
11,HÉLÈNE,JANICOT,FRA,top  1. | 37+  4. [4.00],38,
12,KATHARINA,POSCH,AUT,36+  8. | 35+  5. [9.67],35+,
13,ALIZÉE,DUFRAISSE,FRA,36   10. | 35+  5. [10.75],35+,
14,YUKA,KOBAYASHI,JPN,29+  15. | 35+  5. [13.06],35+,
15,CHRISTINE,SCHRANZ,AUT,27+  18. | 35+  5. [14.27],35+,
16,JULIA,CHANOURDIE,FRA,27+  18. | 34+  18. [18.75],35+,
17,JULIA,FISER,AUT,19   39. | 35+  5. [20.98],35+,
18,HANNAH,SCHUBERT,AUT,10+  49. | 35+  5. [23.33],35+,
19,NIKKI,VAN BERGEN,NED,27   20. | 31+  27. [24.90],35+,
20,KATHERINE,CHOONG,SUI,24+  23. | 32+  21. [25.19],35+,
21,JENNY,LAVARDA,ITA,23.5+  33. | 34+  18. [25.42],35+,
22,GALINA,TERENTEVA,RUS,25+  22. | 32+  21. [22.74],34,
23,AYA,ONOE,JPN,33   13. | 35+  5. [11.96],33,
24,SALOMÉ,ROMAIN,FRA,29+  15. | 32+  21. [19.09],32+,
25,CLAUDIA,GHISOLFI,ITA,28+  17. | 24+  40. [26.08],29,
26,LÉA,MARIGO,FRA,19   39. | 34+  18. [27.57],27+,
27,ANNE-SOPHIE,KOLLER,SUI,26+  21. | 28+  36. [27.69],,
28,HELOÏSE,DOUMONT,BEL,24+  23. | 31+  27. [28.93],,
28,NETTA,FREDMAN,ISR,24+  23. | 31+  27. [28.93],,
28,ASJA,GOLLO,ITA,24+  23. | 31+  27. [28.93],,
28,LAMU,RENQING,CHN,24+  23. | 31+  27. [28.93],,
32,EVGENIIA,MALAMID,RUS,23+  36. | 32+  21. [29.09],,
33,BARBARA,BACHER,AUT,24+  23. | 28+  36. [31.39],,
34,KAJSA,ROSEN,SWE,24   32. | 31+  27. [31.50],,
35,ANDREA,EBNER,ITA,24+  23. | 26   39. [32.45],,
36,IEVGENIIA,KAZBEKOVA,UKR,23.5+  33. | 31+  27. [32.47],,
36,IVA,ONDRA,CZE,23.5+  33. | 31+  27. [32.47],,
38,MINSEON,KIM,KOR,14   46. | 32+  21. [32.88],,
39,NOLWEN,BERTHIER,FRA,24+  23. | 23+  41. [33.67],,
39,HAIMI,CHO,KOR,24+  23. | 23+  41. [33.67],,
41,JIWON,BAE,KOR,19+  37. | 23+  41. [39.69],,
42,MARTINA,BLANCHET,ITA,9+  51. | 31+  27. [39.76],,
43,GABRIELA,VRABLIKOVA,CZE,19+  37. | 20+  44. [41.76],,
44,KOKORO,TAKATA,JPN,12+  47. | 27+  38. [42.49],,
45,KATRIN,AMANN,SWE,17+  42. | 20+  44. [44.72],,
45,IRATI,ANDA VILLANUEVA,ESP,17+  42. | 20+  44. [44.72],,
45,MAJA,BOZICH,CRO,17+  42. | 20+  44. [44.72],,
48,LUCINDA ANN,TURNBULL,AUS,19   39. | 10.5+  51. [45.17],,
49,SEUNGHYUN,KIM,KOR,17   45. | 20+  44. [45.74],,
50,CELINE,CUYPERS,BEL,10+  49. | 20+  44. [47.98],,
51,TEREZA,SVOBODOVA,CZE,12+  47. | 11+  50. [48.73],,
