Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,36+  5. | top  1. [4.58],55+,55
2,JANJA,GARNBRET,SLO,top  1. | top  1. [2.96],top,54+
3,JESSICA,PILZ,AUT,top  1. | top  1. [2.96],55+,52+
4,HÉLÈNE,JANICOT,FRA,34+  8. | top  1. [5.45],48+,51+
5,YUKA,KOBAYASHI,JPN,32+  12. | 46   12. [14.20],45+,38
6,TJASA,KALAN,SLO,36+  5. | 47   7. [6.93],47+,35
7,CHRISTINE,SCHRANZ,AUT,32+  12. | 44   15. [15.50],48+,16+
8,ANAK,VERHOEVEN,BEL,top  1. | top  1. [2.96],55+,15
9,KAJSA,ROSEN,SWE,32+  12. | 44   15. [15.50],45+,
10,JULIA,CHANOURDIE,FRA,31+  21. | 46   12. [17.85],45+,
11,DELANEY,MILLER,USA,32+  12. | 41   24. [19.49],45,
12,JAIN,KIM,KOR,top  1. | 46   12. [5.70],44+,
13,RISA,OTA,JPN,33   11. | top  1. [6.20],44+,
14,KATHARINA,POSCH,AUT,32+  12. | 47   7. [11.14],44+,
15,SALOMÉ,ROMAIN,FRA,31+  21. | 47   7. [14.00],44+,
16,MATHILDE,BECERRA,FRA,32   20. | 46+  10. [14.49],44+,
17,CLAUDIA,GHISOLFI,ITA,33+  10. | 35+  29. [17.18],44+,
18,IEVGENIIA,KAZBEKOVA,UKR,31+  21. | 42+  21. [23.22],44+,
19,HANNAH,SCHUBERT,AUT,32+  12. | 43   19. [17.39],39+,
20,DINARA,FAKHRITDINOVA,RUS,32+  12. | 38   26. [20.07],34,
21,JENNY,LAVARDA,ITA,34+  8. | 41   24. [14.43],28+,
22,REBEKKA,STOTZ,SUI,30   32. | 43+  17. [23.66],28+,
23,NIKKI,VAN BERGEN,NED,36+  5. | 46+  10. [7.94],27+,
24,MAGDALENA,RÖCK,AUT,31+  21. | 43+  17. [20.71],27+,
25,ASJA,GOLLO,ITA,32+  12. | 34   33. [22.62],27+,
26,KATHERINE,CHOONG,SUI,29+  33. | 43   19. [25.37],27+,
27,EVGENIIA,MALAMID,RUS,31+  21. | 36+  28. [26.19],,
28,ALIZÉE,DUFRAISSE,FRA,31+  21. | 35+  29. [26.88],,
29,BARBARA,BACHER,AUT,27+  34. | 42+  21. [27.55],,
30,IVA,ONDRA,CZE,31+  21. | 35   31. [27.56],,
31,JULIA,FISER,AUT,31+  21. | 34+  32. [28.00],,
32,NOLWEN,BERTHIER,FRA,26   40. | 42+  21. [29.85],,
33,NETTA,FREDMAN,ISR,30+  29. | 32+  34. [31.94],,
34,ANNE-SOPHIE,KOLLER,SUI,26   40. | 37+  27. [33.07],,
35,TINA JOHNSEN,HAFSAAS,NOR,30+  29. | 31+  36. [33.99],,
36,LÉA,MARIGO,FRA,30+  29. | 29+  42. [35.71],,
37,DENISE,BERTRAM,GER,27+  34. | 31+  36. [36.45],,
38,CHIARA MARIA,CLOSTERMANN,GER,26+  37. | 32   35. [36.47],,
39,ANDREA,EBNER,ITA,27   36. | 31+  36. [37.23],,
40,KATRIN,AMANN,SWE,26+  37. | 31+  36. [38.25],,
41,MARTINA,BLANCHET,ITA,24+  42. | 31+  36. [40.21],,
42,GABRIELA,VRABLIKOVA,CZE,26+  37. | 27+  44. [40.89],,
43,AYANE,SAKAI,JPN,10+  45. | 31+  36. [42.08],,
44,STELLA,PLANTIN,SWE,14   44. | 29+  42. [43.24],,
45,ELISKA,VLCKOVA,CZE,15   43. | 25+  45. [43.99],,
46,YUKARI,NAKAMURA,JPN,10+  45. | 11+  46. [46.00],,
47,DANIELA,KOTRBOVA,CZE,10+  45. | 9+  47. [46.50],,
