Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [3.46],35,35+
2,JESSICA,PILZ,AUT,top  1. | 42+  5. [6.48],35,35+
3,JANJA,GARNBRET,SLO,top  1. | top  1. [3.46],top,34+
4,JAIN,KIM,KOR,top  1. | top  1. [3.46],37+,34+
5,ANAK,VERHOEVEN,BEL,top  1. | 37   15. [9.49],36+,33+
6,HÉLÈNE,JANICOT,FRA,26+  19. | 39+  13. [16.84],33+,23+
7,MATHILDE,BECERRA,FRA,top  1. | 41+  10. [7.94],33+,22+
8,CHRISTINE,SCHRANZ,AUT,38+  12. | 42+  5. [9.35],31+,22
9,JULIA,CHANOURDIE,FRA,top  1. | 36+  16. [10.54],31+,
10,RISA,OTA,JPN,36+  15. | 40   12. [13.42],31,
11,MAGDALENA,RÖCK,AUT,top  1. | 42+  5. [6.48],30+,
12,YUKA,KOBAYASHI,JPN,38+  12. | 41+  10. [11.46],30+,
13,AKIYO,NOGUCHI,JPN,37+  14. | 39+  13. [13.75],30+,
14,HANNAH,SCHUBERT,AUT,top  1. | 42+  5. [6.48],29,
15,KATHARINA,POSCH,AUT,top  1. | 42+  5. [6.48],28+,
16,ALIZÉE,DUFRAISSE,FRA,28   18. | 36+  16. [18.25],28+,
17,REBEKA,KAMIN,SLO,26+  19. | 29+  30. [25.31],28+,
18,TJASA,SLEMENSEK,SLO,25+  27. | 33+  24. [26.72],27+,
19,NIKKI,VAN BERGEN,NED,26+  19. | 36+  16. [19.71],26+,
20,IVA,ONDRA,CZE,25+  27. | 36+  16. [22.76],26+,
21,JOHANNA,HOLFELD,GER,25+  27. | 33+  24. [26.72],24+,
22,JULIA,FISER,AUT,30+  17. | 36+  16. [17.73],21+,
23,JENNY,LAVARDA,ITA,35   16. | 36+  16. [17.20],19,
24,MICHELLE,HULLIGER,SUI,26+  19. | 29+  30. [25.31],16+,
25,VERONIKA,MEKE,SLO,26   24. | 32+  28. [26.46],16+,
26,TJASA,KALAN,SLO,top  1. | 43+  4. [4.90],2,
27,SALOMÉ,ROMAIN,FRA,24+  31. | 35+  23. [27.55],,
28,NETTA,FREDMAN,ISR,25   30. | 33+  24. [27.66],,
29,BARBARA,BACHER,AUT,26+  19. | 24+  37. [28.25],,
30,ASJA,GOLLO,ITA,26   24. | 26+  34. [29.37],,
30,LENA,HERRMANN,GER,26   24. | 26+  34. [29.37],,
32,CLAUDIA,GHISOLFI,ITA,21.5   40. | 36   22. [29.66],,
33,LÉA,MARIGO,FRA,23+  36. | 33+  24. [30.51],,
34,EVGENIIA,MALAMID,RUS,24+  31. | 31+  29. [30.94],,
35,MOLLY,THOMPSON-SMITH,GBR,24+  31. | 29   32. [32.50],,
36,HELOÏSE,DOUMONT,BEL,24+  31. | 27   33. [33.00],,
37,CHIARA MARIA,CLOSTERMANN,GER,24+  31. | 24+  37. [35.41],,
38,GABRIELA,VRABLIKOVA,CZE,23+  36. | 20   40. [38.21],,
39,JULIJA,KRUDER,SLO,15+  41. | 25   36. [38.42],,
40,KAJA,SKVARC BOZIC,SLO,22+  39. | 24+  37. [38.50],,
41,SOLVEIG,KORHERR,GER,23   38. | 19+  41. [39.47],,
42,ELISKA,VLCKOVA,CZE,14+  42. | 18+  42. [42.00],,
43,MARIA,GEORGIEVA,BUL,14   43. | 16+  43. [43.00],,
