Rank,Name,,Country,Qualification,Semi-Final,Final
1,DOMEN,SKOFIC,SLO,top  1. | top  1. [4.77],top,top
2,JAKOB,SCHUBERT,AUT,top  1. | top  1. [4.77],40,50+
3,RAMÓN,JULIAN PUIGBLANQUE,ESP,44+  7. | top  1. [6.75],48+,49+
4,GAUTIER,SUPPER,FRA,top  1. | top  1. [4.77],47+,48+
5,STEFANO,GHISOLFI,ITA,41   10. | top  1. [8.46],top,42
6,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [4.77],40,41
7,MASAHIRO,HIGUCHI,JPN,40   21. | top  1. [11.96],39+,37+
8,MAX,RUDIGIER,AUT,40+  13. | 43+  13. [14.92],40,29+
9,FRANCESCO,VETTORATA,ITA,40+  13. | top  1. [10.36],39,
10,SEBASTIAN,HALENKE,GER,top  1. | top  1. [4.77],38,
10,ADAM,ONDRA,CZE,top  1. | top  1. [4.77],38,
12,URBAN,PRIMOZIC,SLO,41+  8. | top  1. [7.43],36+,
13,THOMAS,JOANNES,FRA,41   10. | 42+  15. [13.06],36+,
14,MINORU,NAKANO,JPN,40+  13. | 37+  25. [20.51],36+,
15,LOÏC,TIMMERMANS,BEL,41   10. | 42+  15. [13.06],35+,
16,CHRISTOPH,HANKE,GER,39   25. | 43+  13. [18.55],35+,
17,CHARLI,BLEIN,FRA,40   21. | 41+  17. [19.90],35+,
18,STEPHANE,HANSSENS,BEL,40+  13. | 33+  36. [25.37],35+,
19,MAËL,BONZOM,FRA,40+  13. | 39   23. [19.48],32+,
20,JAVIER,CANO BLAZQUEZ,ESP,40+  13. | 39+  21. [18.83],29,
21,MARCELLO,BOMBARDI,ITA,39   25. | 39+  21. [23.41],28,
22,MARIO,LECHNER,AUT,40+  13. | top  1. [10.36],27+,
23,ANTOINE,KAUFFMANN,BEL,35   34. | 41+  17. [25.10],27+,
24,ELAN,JONASMCRAE,CAN,40+  13. | 41+  17. [17.23],27,
25,MIKHAIL,CHERNIKOV,RUS,39+  24. | 41   20. [21.91],27,
26,THOMAS,BALLET,FRA,41+  8. | 36+  28. [15.70],26,
27,DIMITRI,VOGT,SUI,38   30. | 36+  28. [29.74],,
28,KAMIL,FERENC,POL,38+  27. | 35+  31. [30.17],,
28,TOMOAKI,TAKATA,JPN,38+  27. | 35+  31. [30.17],,
30,WILLIAM,BOSI,GBR,37+  32. | 36+  28. [30.70],,
31,SHINICHIRO,NOMURA,JPN,33+  37. | 37+  25. [30.72],,
32,SIMON,LORENZI,BEL,40   21. | 32   44. [31.29],,
33,HANNES,PUMAN,SWE,38+  27. | 33+  36. [33.05],,
34,NICOLAS,COLLIN,BEL,29+  51. | 38   24. [35.16],,
35,JAMES,POPE,GBR,30+  44. | 37   27. [35.24],,
36,DAVID,BARRANS,GBR,37+  32. | 33+  36. [35.60],,
36,LUKAS,KÖB,AUT,32+  38. | 35+  31. [35.60],,
38,NAOTO,HAKAMADA,JPN,32+  38. | 34   35. [36.95],,
38,KAI,HARADA,JPN,35   34. | 33+  36. [36.95],,
40,SÉBASTIEN,BERTHE,BEL,38   30. | 30+  48. [38.26],,
41,SASCHA,LEHMANN,SUI,30+  44. | 35+  31. [38.67],,
42,MARTIN,TEKLES,GER,35   34. | 32   44. [39.47],,
43,HUGO,PARMENTIER,FRA,32   41. | 33+  36. [40.23],,
44,MATTHIAS,SCHIESTL,AUT,30+  44. | 33+  36. [42.36],,
45,KEVIN,HUSER,SUI,32+  38. | 31+  46. [42.59],,
46,BERNHARD,RÖCK,AUT,31+  43. | 33   43. [43.00],,
47,OBED,HARDMEIER,SUI,30   49. | 33+  36. [43.94],,
48,RUBEN,FIRNENBURG,GER,32   41. | 29+  49. [45.09],,
49,PIOTR,SCHAB,POL,30+  44. | 31+  46. [46.25],,
50,NATHAN,SMITH,CAN,30+  44. | 23+  56. [50.98],,
51,MORITZ,WALDLEBEN,SUI,27+  53. | 27+  50. [53.18],,
52,MARTIN,JECH,CZE,27+  53. | 27   52. [53.96],,
53,STEFAN,BEDNAR,SVK,27+  53. | 26   54. [54.99],,
54,NIGEL,ARMINO,NED,27+  53. | 23+  56. [56.25],,
55,LUKE,DAWSON,GBR,26+  61. | 27+  50. [56.40],,
56,YIFTACH,KUSHNIR,ISR,30   49. | 20+  66. [57.37],,
57,MARK,BRAND,NED,29+  51. | 21   64. [57.63],,
58,LEO KETIL,BØE,NOR,27+  53. | 22+  58. [57.72],,
58,SVEN,LEMPEREUR,BEL,27+  53. | 22+  58. [57.72],,
58,JURGEN,LIS,BEL,27+  53. | 22+  58. [57.72],,
61,NICOLAS,VANCAYZEELE,BEL,26+  61. | 25+  55. [58.86],,
62,NICOLAS,GIRALDO,COL,26   66. | 26+  53. [59.37],,
63,DON,VAN LAERE,NED,26+  61. | 22+  58. [61.22],,
64,MARTIN,KLEMSA,CZE,26+  61. | 22   62. [62.50],,
65,ÀLEX,HERNÁNDEZ CASTILLA,ESP,27   60. | 20+  66. [63.17],,
66,NOÉ,BERGER,LUX,25   68. | 21+  63. [65.45],,
66,JOOHWAN,YOON,KOR,26+  61. | 20   68. [65.45],,
68,SERGIO,VERDASCO URIZAL,ESP,26   66. | 21   64. [65.49],,
