Rank,Name,,Country,Qualification,Semi-Final,Final
1,GAUTIER,SUPPER,FRA,38+  7. | top  1. [6.75],52,43+
2,ADAM,ONDRA,CZE,top  1. | top  1. [4.42],49+,40+
3,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [4.42],55+,39+
4,JAKOB,SCHUBERT,AUT,38   8. | top  1. [7.21],49+,36+
5,STEFANO,GHISOLFI,ITA,40+  6. | top  1. [6.24],49+,35+
6,FRANCESCO,VETTORATA,ITA,35   9. | top  1. [7.65],49+,34+
7,DOMEN,SKOFIC,SLO,top  1. | top  1. [4.42],52+,29+
8,SEBASTIAN,HALENKE,GER,top  1. | top  1. [4.42],51,23
9,MAGNUS,MIDTBOE,NOR,top  1. | 36   14. [6.48],46+,
10,RAMÓN,JULIAN PUIGBLANQUE,ESP,33+  10. | top  1. [8.26],46+,
11,URBAN,PRIMOZIC,SLO,32   15. | top  1. [10.04],46+,
12,LOÏC,TIMMERMANS,BEL,32   15. | 33   17. [16.23],46+,
13,SEAN,MCCOLL,CAN,32+  13. | top  1. [9.37],46,
14,THOMAS,JOANNES,FRA,31+  17. | 32   20. [18.71],45+,
15,MAX,RUDIGIER,AUT,31   19. | top  1. [11.68],44+,
16,CHRISTOPH,HANKE,GER,31   19. | 32+  18. [19.71],43+,
17,THOMAS,BALLET,FRA,33   12. | 35+  15. [13.64],43,
18,MIKHAIL,CHERNIKOV,RUS,32+  13. | 32+  18. [15.80],43,
19,MARCELLO,BOMBARDI,ITA,31   19. | 36+  13. [16.52],41+,
20,MARIO,LECHNER,AUT,33+  10. | 30   22. [15.20],31+,
21,MARTIN,MOBRÅTEN,NOR,29   26. | 25   24. [25.50],29+,
22,STEPHANE,HANSSENS,BEL,31+  17. | 25   24. [20.92],25+,
23,BERNHARD,RÖCK,AUT,22+  29. | 35+  15. [21.92],25+,
24,LUKAS,KÖB,AUT,31   19. | 26   23. [21.98],25,
25,HANNES,PUMAN,SWE,31   19. | 25   24. [22.91],25,
26,TOMOAKI,TAKATA,JPN,27   27. | 31   21. [23.81],14,
27,NAOTO,HAKAMADA,JPN,30   25. | 24+  27. [26.69],,
28,OR,WECHSLER,ISR,30+  24. | 22+  33. [28.14],,
29,ELAN,JONASMCRAE,CAN,26+  28. | 23   31. [29.70],,
30,MAGNUS,HÖGSTRÖM,SWE,22+  29. | 24+  27. [29.72],,
31,TOMAS,BINTER,CZE,22+  29. | 21+  34. [34.32],,
31,STIAN,CHRISTOPHERSEN,NOR,22+  29. | 21+  34. [34.32],,
31,YIFTACH,KUSHNIR,ISR,22+  29. | 21+  34. [34.32],,
34,MARTIN,JECH,CZE,17   39. | 23   31. [36.16],,
35,JAKOB HEBER,NORUM,NOR,19+  34. | 21+  34. [36.21],,
35,FREDRIK,SERLACHIUS,SWE,19+  34. | 21+  34. [36.21],,
37,JON PÅL,HAMRE,NOR,17+  36. | 21+  34. [37.50],,
38,JAVIER,CANO BLAZQUEZ,ESP,13+  49. | 24+  27. [37.56],,
38,KEVIN,HUSER,SUI,13+  49. | 24+  27. [37.56],,
40,JAN EIVIND,DANIELSEN,NOR,17   39. | 21+  34. [39.71],,
41,KENNETH,ELVEGÅRD,NOR,17+  36. | 18+  45. [41.03],,
42,REMO,LEHMANN,SUI,15+  45. | 21+  34. [41.81],,
43,CHRISTER,RAUGLAND,NOR,17   39. | 19+  43. [42.24],,
44,NATHAN,SMITH,CAN,17   39. | 19   44. [42.73],,
45,TARJEI,HAMRE,NOR,13   51. | 21+  34. [44.02],,
46,MARTINUS HALS,SKAR,NOR,17+  36. | 11+  56. [45.52],,
47,ROLF -MARTIN,BJØRNGAARD,NOR,15+  45. | 18+  45. [45.75],,
48,JARLE,KALLAND,NOR,15+  45. | 17+  47. [46.74],,
49,ENDRE SANDØ,EVENSEN,NOR,17   39. | 12+  53. [47.34],,
49,EINAR,SULHEIM,NOR,17   39. | 12+  53. [47.34],,
51,HENNING,WANG,NOR,14   48. | 17   49. [48.50],,
52,BRAGE,BIRKELUND OLSEN,NOR,7+  55. | 17+  47. [51.34],,
53,MAGNUS KRANE,OVESEN,NOR,11+  52. | 16   51. [51.50],,
54,ERLEND,NUNDAL,NOR,7+  55. | 16+  50. [52.68],,
55,JARRED,JORDAN,AUS,8   54. | 14   52. [52.99],,
56,BROR MORTEN,RANUM,NOR,11   53. | 12+  53. [53.50],,
