Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [5.24],top,57+
2,JESSICA,PILZ,AUT,top  1. | top  1. [5.24],42+,57+
3,ANAK,VERHOEVEN,BEL,top  1. | top  1. [5.24],top,55+
4,JAIN,KIM,KOR,top  1. | top  1. [5.24],top,39
5,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [5.24],42+,37+
6,TJASA,KALAN,SLO,40   15. | top  1. [9.53],42,37+
7,RISA,OTA,JPN,41   12. | 47+  11. [12.96],41+,37+
8,YUKA,KOBAYASHI,JPN,39+  19. | 47+  11. [16.52],42+,36+
9,MATHILDE,BECERRA,FRA,top  1. | 47+  11. [8.37],41,
10,KAJSA,ROSEN,SWE,top  1. | top  1. [5.24],39+,
11,EVGENIIA,MALAMID,RUS,top  1. | 45+  18. [9.62],39+,
12,KATHARINA,POSCH,AUT,39   21. | top  1. [10.75],39+,
13,REBEKKA,STOTZ,SUI,40+  13. | 47+  11. [13.75],39+,
14,JULIA,CHANOURDIE,FRA,40   15. | top  1. [9.53],37+,
15,KATHERINE,CHOONG,SUI,33+  24. | 42+  21. [23.72],36+,
16,AYA,ONOE,JPN,40+  13. | 47+  11. [13.75],36,
17,ALIZÉE,DUFRAISSE,FRA,44+  10. | 47+  11. [11.83],35+,
18,CHRISTINE,SCHRANZ,AUT,43   11. | 42   25. [16.58],35,
19,MAGDALENA,RÖCK,AUT,top  1. | 47+  11. [8.37],29+,
20,JENNY,LAVARDA,ITA,39+  19. | top  1. [10.36],29+,
21,NETTA,FREDMAN,ISR,40   15. | 37   27. [21.11],29+,
22,TINA JOHNSEN,HAFSAAS,NOR,38   22. | 42+  21. [22.50],29,
23,ALINA,RING,SUI,38   22. | 42+  21. [22.50],27+,
24,DELANEY,MILLER,USA,40   15. | 45   20. [18.17],26+,
25,BARBARA,BACHER,AUT,31+  27. | 42+  21. [24.65],21+,
26,IVA,ONDRA,CZE,33+  24. | 45+  18. [21.51],20+,
27,DINARA,FAKHRITDINOVA,RUS,33+  24. | 40+  26. [25.50],,
28,MARIA DAVIES,SANDBU,NOR,31   28. | 36   28. [28.74],,
29,HELOÏSE,DOUMONT,BEL,31   28. | 34+  29. [29.25],,
30,MICHELLE,KIM THEISEN,DEN,31   28. | 33+  30. [29.75],,
31,STELLA,PLANTIN,SWE,31   28. | 33   31. [30.24],,
32,KATRIN,AMANN,SWE,30   32. | 31   32. [32.00],,
33,LISA-MARIE,KVANDAHL,NOR,25+  33. | 29+  33. [34.00],,
33,JULIA,MASSULLO,CAN,25+  33. | 29+  33. [34.00],,
35,ELINE,NÆSHEIM,NOR,25+  33. | 29   36. [34.99],,
36,ROXY,PERRY,AUS,19   37. | 29+  33. [35.47],,
37,RAGNHILD,ERIKSRUD,NOR,25   36. | 22   37. [36.50],,
38,JORUN,RENNAN,NOR,17   38. | 17   40. [38.99],,
39,IDA MARIE,HØIAAS,NOR,16   39. | 17+  39. [39.25],,
40,BIBIANA DAHLE,NESS,NOR,14+  41. | 20   38. [39.47],,
41,LØVMO,MIA KVÅLE,NOR,16   39. | 7   41. [40.24],,
