Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [5.20],41+,35
2,DOMEN,SKOFIC,SLO,top  1. | 35+  11. [8.49],44,31
3,SEAN,MCCOLL,CAN,top  1. | top  1. [5.20],41+,28+
4,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [5.20],46,26+
5,JAKOB,SCHUBERT,AUT,42   13. | top  1. [7.65],45+,22
6,SEBASTIAN,HALENKE,GER,top  1. | 36+  9. [7.55],33+,21
7,GAUTIER,SUPPER,FRA,top  1. | top  1. [5.20],32+,21
8,MINORU,NAKANO,JPN,top  1. | 35+  11. [8.49],33,10
9,NAOKI,SHIMATANI,JPN,38+  18. | 36+  9. [13.26],32+,
10,KEIICHIRO,KORENAGA,JPN,39+  15. | 35+  11. [13.64],32+,
11,FRANCESCO,VETTORATA,ITA,37   21. | top  1. [9.72],32,
12,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [5.20],31,
13,ELAN,JONASMCRAE,CAN,39+  15. | 34+  14. [14.99],31,
14,BERNHARD,RÖCK,AUT,top  1. | 27+  20. [11.09],29+,
15,MAX,RUDIGIER,AUT,top  1. | 19   28. [12.96],29+,
16,SHINICHIRO,NOMURA,JPN,35+  23. | 34+  14. [18.26],28+,
17,LOÏC,TIMMERMANS,BEL,42+  12. | 28+  17. [14.70],25+,
18,MARIO,LECHNER,AUT,40   14. | 28+  17. [15.87],25+,
19,HAIBIN,QU,CHN,38+  18. | 27+  20. [19.47],25+,
20,ZIDA,MA,CHN,36   22. | 22.5+  24. [22.98],25+,
21,CHRISTOPH,HANKE,GER,39   17. | 32   16. [16.49],25,
22,QINGHUA,WANG,CHN,37+  20. | 23+  22. [21.21],22+,
23,NAOTO,HAKAMADA,JPN,31+  24. | 28+  17. [21.21],22,
24,CHANGFENG,QU,CHN,31+  24. | 22+  25. [25.25],19+,
25,MARTIN,JECH,CZE,24   28. | 23+  22. [25.10],18+,
26,STEFANO,GHISOLFI,ITA,top  1. | top  1. [5.20],3+,
27,TOMOAKI,TAKATA,JPN,31+  24. | 22   27. [25.98],,
28,CHEUNG-CHI SHOJI,CHAN,HKG,30   27. | 22+  25. [26.24],,
29,ZHAXI,BIANBA,CHN,22+  29. | 14+  29. [29.00],,
