Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [2.65],41+,40+
2,ANAK,VERHOEVEN,BEL,top  1. | top  1. [2.65],26,34
3,JESSICA,PILZ,AUT,top  1. | top  1. [2.65],36,33+
4,HÉLÈNE,JANICOT,FRA,33+  6. | top  1. [5.12],33,33+
5,YUKA,KOBAYASHI,JPN,33+  6. | 41   9. [8.22],31+,33+
6,MINA,MARKOVIC,SLO,35+  4. | top  1. [3.74],28,33+
7,MAGDALENA,RÖCK,AUT,10+  20. | top  1. [8.37],28,33+
8,KATHARINA,POSCH,AUT,34+  5. | 45   7. [5.92],24+,33+
9,JENNY,LAVARDA,ITA,28+  13. | 40   10. [12.19],24+,
10,NETTA,FREDMAN,ISR,29+  10. | 40   10. [10.75],23+,
10,RISA,OTA,JPN,29+  10. | 40   10. [10.75],23+,
12,AYA,ONOE,JPN,29   12. | 30+  15. [13.42],23+,
13,DELANEY,MILLER,USA,33+  6. | 39   13. [9.87],21+,
14,TJASA,KALAN,SLO,33+  6. | 42+  8. [7.75],20+,
15,AIKA,TAJIMA,JPN,28+  13. | 32+  14. [13.75],19+,
16,MOE,YOSHIMURA,JPN,22+  16. | 20   18. [17.20],19+,
17,YUKI,HIROSHIGE,JPN,26   15. | 22+  16. [15.49],18,
18,NATSUKO,SHIMIZU,JPN,11+  19. | 21   17. [17.97],17+,
19,YUZHEN,BAIMA,CHN,17   17. | 20   18. [17.99],16+,
20,ZHUOMA,PUBU,CHN,17   17. | 19+  20. [18.71],15+,
