Rank,Name,,Country,Qualification,Semi-Final,Final
1,ROMAIN,DESGRANGES,FRA,top  1. | 40+  24. [14.58],top,44+
2,JAKOB,SCHUBERT,AUT,top  1. | top  1. [7.14],45+,44+
3,DMITRII,FAKIRIANOV,RUS,top  1. | top  1. [7.14],43,42
4,DOMEN,SKOFIC,SLO,top  1. | top  1. [7.14],45+,39+
5,ADAM,ONDRA,CZE,top  1. | top  1. [7.14],36+,39+
6,SEBASTIAN,HALENKE,GER,41+  17. | 45   12. [14.90],35+,34+
7,FRANCESCO,VETTORATA,ITA,40+  22. | 44   14. [18.52],41+,32+
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [7.14],46+,30+
9,STEFANO,GHISOLFI,ITA,top  1. | top  1. [7.14],34+,
10,MAX,RUDIGIER,AUT,top  1. | 41+  19. [12.87],34+,
11,THOMAS,JOANNES,FRA,top  1. | 40   27. [15.97],34+,
12,URBAN,PRIMOZIC,SLO,top  1. | top  1. [7.14],34,
13,HANWOOL,KIM,KOR,41+  17. | top  1. [10.54],33+,
14,KEIICHIRO,KORENAGA,JPN,top  1. | 38+  35. [17.49],33,
15,MIKHAIL,CHERNIKOV,RUS,41+  17. | 41   21. [20.17],31+,
16,SASCHA,LEHMANN,SUI,top  1. | top  1. [7.14],30+,
17,TOMAS,RAVANAL,CHI,top  1. | 43+  15. [11.29],30+,
18,MARTIN,BERGANT,SLO,38   36. | 42+  16. [24.74],28+,
19,CHRISTOPH,HANKE,GER,39   28. | 42+  16. [22.39],26+,
20,FEDIR,SAMOILOV,UKR,40+  22. | top  1. [12.12],25+,
21,ALBERTO,GOTTA,ITA,41   21. | 40   27. [25.10],25,
22,GAUTIER,SUPPER,FRA,top  1. | top  1. [7.14],24+,
23,SEAN,BAILEY,USA,top  1. | 41   21. [13.67],24+,
24,MARCELLO,BOMBARDI,ITA,40+  22. | 40+  24. [24.75],24+,
25,JIHWAN,PARK,KOR,41+  17. | 44+  13. [15.51],23+,
26,MARIO,LECHNER,AUT,top  1. | 41+  19. [12.87],16+,
27,ELAN,JONASMCRAE,CAN,36+  38. | 42+  16. [25.75],,
28,CHARLI,BLEIN,FRA,40+  22. | 40   27. [27.11],,
29,BERNHARD,RÖCK,AUT,38+  32. | 40+  24. [28.94],,
30,DAVID,FIRNENBURG,GER,39   28. | 40   27. [29.75],,
31,KAYA,OTAKA,JPN,35   44. | 41   21. [31.29],,
32,MARTIN,TEKLES,GER,40+  22. | 37+  39. [31.30],,
33,WILLIAM,BOSI,GBR,38+  32. | 40   27. [31.70],,
34,MAËL,BONZOM,FRA,37+  37. | 40   27. [33.32],,
35,MILAN,PRESKAR,SLO,36+  38. | 40   27. [34.21],,
36,STEFANO,CARNATI,ITA,39   28. | 37+  39. [34.35],,
37,LOÏC,TIMMERMANS,BEL,36+  38. | 39+  34. [36.41],,
38,ANATOLE,BOSIO,FRA,38+  32. | 37   42. [37.73],,
39,KEVIN,HUSER,SUI,36   41. | 38+  35. [38.65],,
40,FILIP,SCHENK,ITA,38+  32. | 35.5   46. [39.47],,
41,JAMES,POPE,GBR,40+  22. | 26   64. [39.60],,
42,RYO,INOUE,JPN,36   41. | 38   38. [39.71],,
43,JAVIER,CANO BLAZQUEZ,ESP,39   28. | 30   54. [39.91],,
44,GIORGIO,BENDAZZOLI,ITA,35   44. | 38+  35. [40.02],,
45,MICHAEL,PICCOLRUAZ,ITA,29+  48. | 35.5   46. [47.24],,
46,PIETRO,BIAGINI,ITA,27+  50. | 37   42. [47.91],,
47,ALESSANDRO,ZENI,ITA,27+  50. | 35.5+  44. [49.02],,
48,OR,WECHSLER,ISR,34+  46. | 29   55. [50.75],,
49,EVGENII,ZAZULIN,RUS,31+  47. | 29   55. [51.30],,
50,SÉBASTIEN,BERTHE,BEL,35+  43. | 27+  61. [51.63],,
51,CAMPBELL,HARRISON,AUS,21+  67. | 37+  39. [51.96],,
52,JANLUCA,KOSTNER,ITA,27+  50. | 30+  48. [52.22],,
53,DAVID,OBERPRANTACHER,ITA,23+  61. | 35.5+  44. [52.95],,
54,STEFAN,BEDNAR,SVK,28+  49. | 28+  58. [53.77],,
55,MARCO,MÜLLER,SUI,27   59. | 30+  48. [54.82],,
56,OBED,HARDMEIER,SUI,23+  61. | 30+  48. [56.40],,
56,REMO,LEHMANN,SUI,23+  61. | 30+  48. [56.40],,
56,KAZUTOSHI,OGATA,JPN,23+  61. | 30+  48. [56.40],,
59,CONNOR,BYRNE,GBR,27+  50. | 28+  58. [56.44],,
59,ANTOINE,KAUFFMANN,BEL,27+  50. | 28+  58. [56.44],,
61,CESAR,GROSSO,BRA,27+  50. | 27+  61. [57.86],,
62,MYKHAYIL,TKACHUK,UKR,21+  67. | 30+  48. [58.38],,
63,MARTIN,JECH,CZE,23+  61. | 29   55. [59.40],,
64,JOHANNES,HELD,AUT,27+  50. | 24+  66. [59.92],,
64,MORITZ,WALDLEBEN,SUI,27+  50. | 24+  66. [59.92],,
66,NATHAN,SMITH,CAN,27+  50. | 23+  68. [61.26],,
67,LORENZO,SINIBALDI,ITA,27   59. | 25+  65. [62.19],,
68,BITTOR,ESPARTA FRADE,ESP,23   66. | 27+  61. [63.97],,
69,TOMAS,PLEVKO,SVK,20+  69. | 23+  68. [69.25],,
70,ALISTAIR,EARLEY,AUS,18+  70. | 23+  68. [70.00],,
70,JAN,ZIMA,CZE,18+  70. | 23+  68. [70.00],,
72,OLIVER,MARX,RSA,18   72. | 19   72. [72.00],,
