Rank,Name,,Country,Qualification,Final
1,ANOUCK,JAUBERT,FRA,8.260,8.18
2,IULIIA,KAPLINA,RUS,7.950,fall
3,KLAUDIA,BUCZEK,POL,8.250,8.05
4,ALEKSANDRA,MIROSLAW,POL,8.410,8.15
5,AURELIA,SARISSON,FRA,8.930,8.66
6,ANNA,BROZEK,POL,8.760,9.29
7,ELENA,TIMOFEEVA,RUS,8.850,9.31
8,SVETLANA,MOTOVILOVA,RUS,9.290,fall
9,ALLA,MARENYCH,UKR,9.360,9.10
10,NINA,LACH,AUT,9.260,9.26
11,ALEXANDRA,ELMER,AUT,9.540,9.57
12,VICTOIRE,ANDRIER,FRA,9.280,9.69
13,ELISABETTA,DALLA BRIDA,ITA,9.640,10.28
14,EDYTA,ROPEK,POL,8.700,10.88
15,PATRYCJA,CHUDZIAK,POL,9.060,11.36
16,ANDREA,ROJAS,ECU,9.650,11.57
17,MONIKA,PROKOPIUK-KAWECKA,POL,9.880,
18,SILVIA,PORTA,ITA,9.940,
19,FARNAZ,ESMAEILZADEH,IRI,9.990,
20,GIORGIA,RANDI,ITA,10.500,
21,GIULIA,FOSSALI,ITA,10.520,
22,CHARLOTTE,DURIF,FRA,10.540,
23,TETIANA,KOLKOTINA,UKR,10.590,
24,MARTINA,ZANETTI,ITA,10.710,
25,ANASTASIA,SHYMKOVA,UKR,10.950,
26,ALISON,STEWART-PATTERSON,CAN,11.120,
27,ALESSANDRA,ZANETTI,ITA,12.060,
28,ANDREA,EBNER,ITA,13.110,
29,MARIA,GEORGIEVA,BUL,15.190,
