Rank,Name,,Country,Qualification,Semi-Final,Final
1,DOMEN,SKOFIC,SLO,top  1. | top  1. [7.35],43+,37+
2,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [7.35],40+,37
3,SEAN,MCCOLL,CAN,top  1. | top  1. [7.35],41+,35+
4,GAUTIER,SUPPER,FRA,top  1. | top  1. [7.35],37+,34
5,MASAHIRO,HIGUCHI,JPN,top  1. | 39+  8. [11.32],36+,24+
6,SASCHA,LEHMANN,SUI,33+  28. | 39+  8. [18.10],36+,24
7,URBAN,PRIMOZIC,SLO,top  1. | 34+  13. [14.70],36+,20+
8,JAKOB,SCHUBERT,AUT,top  1. | top  1. [7.35],40+,16
9,STEFANO,GHISOLFI,ITA,top  1. | 39+  8. [11.32],36,
10,MEICHI,NARASAKI,JPN,top  1. | 34+  13. [14.70],35,
11,HANWOOL,KIM,KOR,top  1. | 37+  12. [12.73],33,
12,FRANCESCO,VETTORATA,ITA,top  1. | 34+  13. [14.70],32.5,
13,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [7.35],32+,
14,SEAN,BAILEY,USA,top  1. | 39+  8. [11.32],32+,
15,THOMAS,JOANNES,FRA,top  1. | 34+  13. [14.70],32+,
16,HANNES,PUMAN,SWE,top  1. | 29+  29. [22.80],32+,
17,MARIO,LECHNER,AUT,top  1. | 34   20. [16.43],29,
18,CHARLI,BLEIN,FRA,top  1. | 29+  29. [22.80],28+,
19,DAVID,FIRNENBURG,GER,top  1. | 29+  29. [22.80],27+,
19,RUSTAM,GELMANOV,RUS,top  1. | 29+  29. [22.80],27+,
21,KAYA,OTAKA,JPN,33   42. | 34+  13. [25.92],26+,
22,KEVIN,HUSER,SUI,top  1. | 27+  52. [26.87],22+,
23,ANATOLE,BOSIO,FRA,top  1. | 29+  29. [22.80],19+,
24,ALBERTO,GOTTA,ITA,33+  28. | 34+  13. [23.49],19+,
25,MARTIN,TEKLES,GER,top  1. | 29+  29. [22.80],17,
26,SEBASTIAN,HALENKE,GER,top  1. | top  1. [7.35],15+,
27,LOÏC,TIMMERMANS,BEL,33+  28. | 32+  21. [26.92],,
28,RUBEN,FIRNENBURG,GER,top  1. | 27   56. [27.62],,
29,SEUNGWOON,CHO,KOR,33+  28. | 32   22. [28.17],,
29,JIHWAN,PARK,KOR,33+  28. | 32   22. [28.17],,
31,YANNICK,FLOHÉ,GER,top  1. | 26+  58. [28.58],,
32,ÀLEX,HERNÁNDEZ CASTILLA,ESP,top  1. | 22   66. [29.85],,
33,CHRISTOPH,HANKE,GER,33+  28. | 31+  25. [29.95],,
