Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [5.12],top,43
2,JESSICA,PILZ,AUT,top  1. | 40+  9. [9.08],44+,38+
3,MAGDALENA,RÖCK,AUT,top  1. | top  1. [5.12],41+,38+
4,JAIN,KIM,KOR,top  1. | top  1. [5.12],top,35+
5,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [5.12],36+,33+
6,MATHILDE,BECERRA,FRA,top  1. | top  1. [5.12],36+,32+
7,DINARA,FAKHRITDINOVA,RUS,41+  16. | 38+  20. [18.11],37,23
8,ANAK,VERHOEVEN,BEL,top  1. | top  1. [5.12],top,20+
9,KAJSA,ROSEN,SWE,top  1. | 40+  9. [9.08],38+,18+
10,RISA,OTA,JPN,top  1. | 40+  9. [9.08],36+,
11,KATHARINA,POSCH,AUT,top  1. | 40   14. [10.25],36+,
12,DELANEY,MILLER,USA,39   19. | 39+  15. [18.21],36+,
13,JULIA,CHANOURDIE,FRA,top  1. | 44+  7. [7.50],35,
14,IEVGENIIA,KAZBEKOVA,UKR,38+  21. | 39+  15. [19.34],35,
15,SALOMÉ,ROMAIN,FRA,top  1. | 40+  9. [9.08],30+,
16,ANNE-SOPHIE,KOLLER,SUI,42+  15. | 40+  9. [12.85],30+,
17,TJASA,KALAN,SLO,top  1. | 44+  7. [7.50],27+,
18,HANNAH,SCHUBERT,AUT,39   19. | 38+  20. [19.99],26+,
19,SEURAN,HAN,KOR,top  1. | 36+  24. [13.69],25.5+,
20,NOLWENN,ARC,FRA,35+  26. | 36+  24. [26.69],20,
21,ASJA,GOLLO,ITA,28   44. | 39+  15. [27.50],19+,
22,ALINA,RING,SUI,40   17. | 37+  22. [19.56],15+,
23,YUKA,KOBAYASHI,JPN,35+  26. | 39+  15. [22.01],15+,
24,REBEKA,KAMIN,SLO,37+  24. | 39+  15. [20.41],15,
25,CHRISTINE,SCHRANZ,AUT,38+  21. | 36+  24. [23.45],15,
26,CLAIRE,BUHRFEIND,USA,39+  18. | 36   27. [22.65],13+,
27,KATHERINE,CHOONG,SUI,28+  38. | 37+  22. [30.19],,
28,LÉA,MARIGO,FRA,37+  24. | 29+  37. [30.51],,
29,NOLWEN,BERTHIER,FRA,35+  26. | 32+  32. [30.67],,
29,AYA,KIKUZAWA,JPN,35+  26. | 32+  32. [30.67],,
31,JULIA,FISER,AUT,31   34. | 36   27. [31.13],,
32,MINSEON,KIM,KOR,38+  21. | 19+  49. [33.50],,
33,HELOÏSE,DOUMONT,BEL,35+  26. | 29   40. [33.76],,
34,GABRIELA,VRABLIKOVA,CZE,28+  38. | 36   27. [33.97],,
35,SOLÈNE,AMOROS,FRA,28+  38. | 35+  31. [35.43],,
36,CLAUDIA,GHISOLFI,ITA,33+  32. | 28+  41. [36.44],,
37,BARBARA,BACHER,AUT,28+  38. | 32+  32. [36.56],,
38,YUKARI,NAKAMURA,JPN,28+  38. | 31   35. [37.92],,
39,VERONIKA,MEKE,SLO,35+  26. | 19+  49. [38.12],,
40,CHIARA MARIA,CLOSTERMANN,GER,30+  35. | 28   43. [39.34],,
41,KOKORO,TAKATA,JPN,13+  55. | 36   27. [39.59],,
42,JENNY,LAVARDA,ITA,30+  35. | 27   44. [39.80],,
43,SOLVEIG,KORHERR,GER,28+  38. | 28+  41. [41.00],,
44,SILVIA,CASSOL,ITA,33   33. | 19+  49. [41.02],,
45,EVELYNE,FUX,SUI,28   44. | 29+  37. [41.12],,
46,REBECCA,FRANGOS,CAN,21+  50. | 31   35. [42.55],,
47,LISA,DE MARTINI,ITA,24+  48. | 29+  37. [42.93],,
48,CELINE,CUYPERS,BEL,30+  35. | 13+  55. [44.50],,
49,LENKA,SLEZAKOVA,CZE,26+  46. | 24+  45. [46.25],,
50,NATSUKO,SHIMIZU,JPN,21+  50. | 24+  45. [48.70],,
50,LUCINDA ANN,TURNBULL,AUS,21+  50. | 24+  45. [48.70],,
52,ILARIA,SCOLARIS,ITA,26   47. | 19+  49. [48.96],,
53,NEA,HERFORTH BAEHR,DEN,24+  48. | 19+  49. [49.73],,
54,MURIEL,RUÍZ DE LARRAMENDI ARANGOA,ESP,13   56. | 24+  45. [51.03],,
55,NANNA,SÖDERIN,SWE,20+  53. | 17   54. [53.50],,
56,ANNIE,CHOUINARD,CAN,14   54. | 11   56. [54.99],,
