Rank,Name,,Country,Qualification,Semi-Final,Final
1,DOMEN,SKOFIC,SLO,38+  3. | top  1. [3.97],52+,53+
2,JAKOB,SCHUBERT,AUT,top  1. | 39+  9. [3.67],45+,53+
3,GAUTIER,SUPPER,FRA,top  1. | top  1. [2.29],49+,50
4,ROMAIN,DESGRANGES,FRA,38+  3. | top  1. [3.97],51,49+
5,SEBASTIAN,HALENKE,GER,34+  9. | top  1. [6.48],49,49+
6,STEFANO,GHISOLFI,ITA,32   19. | 38   11. [15.17],45,45+
7,RAMÓN,JULIAN PUIGBLANQUE,ESP,34+  9. | 33+  21. [18.17],top,43+
8,HANWOOL,KIM,KOR,34+  9. | 34.5+  14. [13.19],45+,33
9,KEIICHIRO,KORENAGA,JPN,34+  9. | 33+  21. [18.17],44.5+,
10,LOÏC,TIMMERMANS,BEL,22+  34. | 34   18. [25.60],44.5+,
11,THOMAS,JOANNES,FRA,38+  3. | top  1. [3.97],44.5,
12,FRANCESCO,VETTORATA,ITA,32+  17. | top  1. [7.83],44.5,
13,MASAHIRO,HIGUCHI,JPN,17+  37. | 40+  7. [17.15],44+,
14,TOMAS,RAVANAL,CHI,32+  17. | 33+  21. [21.94],44+,
15,SASCHA,LEHMANN,SUI,18   36. | 34   18. [26.15],44+,
16,MAX,RUDIGIER,AUT,34+  9. | 33+  21. [18.17],44,
17,URBAN,PRIMOZIC,SLO,33+  16. | 40   8. [11.31],43+,
18,MIKHAIL,CHERNIKOV,RUS,34+  9. | 38+  10. [10.95],41+,
19,SERGEI,BYDTAEV,RUS,27+  30. | 34.5+  14. [21.20],40+,
20,MARCELLO,BOMBARDI,ITA,36+  7. | 34+  17. [10.91],39+,
21,MARTIN,TEKLES,GER,30+  22. | 33+  21. [24.87],39+,
22,MARIO,LECHNER,AUT,38+  3. | 33+  21. [11.12],36,
23,YUVAL,SHEMLA,ISR,34+  9. | 36+  13. [12.49],34,
24,EVGENII,ZAZULIN,RUS,25   33. | 34.5   16. [22.98],32+,
25,MAËL,BONZOM,FRA,32   19. | 38   11. [15.17],30+,
26,RUBEN,FIRNENBURG,GER,35+  8. | 32+  37. [17.44],30,
27,STEFANO,CARNATI,ITA,28+  26. | 33+  21. [27.50],,
27,CHRISTOPH,HANKE,GER,28+  26. | 33+  21. [27.50],,
27,MATHIAS,POSCH,AUT,28+  26. | 33+  21. [27.50],,
30,SÉBASTIEN,BERTHE,BEL,32   19. | 32   40. [28.28],,
31,MILAN,PRESKAR,SLO,27+  30. | 33+  21. [29.20],,
32,MARTIN,BERGANT,SLO,30+  22. | 32+  37. [29.24],,
33,HANNES,PUMAN,SWE,28+  26. | 33   35. [31.24],,
34,ALFONS,DORNAUER,AUT,30   24. | 31   43. [32.31],,
35,SEAN,BAILEY,USA,17+  37. | 33+  21. [33.99],,
36,ELAN,JONASMCRAE,CAN,13+  63. | 34   18. [34.87],,
37,JAVIER,CANO BLAZQUEZ,ESP,17   48. | 33+  21. [36.52],,
38,ALBERTO,GOTTA,ITA,29   25. | 26   57. [37.91],,
39,NATHAN,MICHEL,FRA,17+  37. | 33   35. [38.61],,
40,BERNHARD,RÖCK,AUT,15+  50. | 33+  21. [38.71],,
41,JAKUB,KONECNY,CZE,22+  34. | 29+  47. [40.69],,
42,ANATOLE,BOSIO,FRA,15   60. | 33+  21. [40.96],,
43,STEFAN,BEDNAR,SVK,17+  37. | 30.5   45. [43.47],,
44,MARTIN,JECH,CZE,27+  30. | 14+  63. [44.37],,
45,MATTHIAS,SCHIESTL,AUT,15+  50. | 32+  37. [45.51],,
46,ALISTAIR,EARLEY,AUS,17+  37. | 28+  50. [45.83],,
47,KRISTOFFER,LINDBÄCK,SWE,17+  37. | 27   51. [46.73],,
48,IÑAKI,ARANTZAMENDI IRUETA,ESP,15+  50. | 31+  41. [47.56],,
48,DIMITRI,VOGT,SUI,15+  50. | 31+  41. [47.56],,
50,MORITZ,WALDLEBEN,SUI,17+  37. | 26+  56. [48.50],,
51,THILO JELDRIK,SCHRÖTER,NOR,17+  37. | 26   57. [49.14],,
52,JIHWAN,PARK,KOR,17+  37. | 17+  62. [51.03],,
53,MARTIN,KUHNEL,USA,15+  50. | 29+  47. [51.15],,
54,NIKOLAI,MICHUROV,RUS,17   48. | 26.5   54. [51.41],,
55,CHARLI,BLEIN,FRA,17+  37. | 14+  63. [51.64],,
56,MYKHAYIL,TKACHUK,UKR,17+  37. | 12+  66. [52.65],,
57,ANTOINE,KAUFFMANN,BEL,13+  63. | 31   43. [52.76],,
58,CAMPBELL,HARRISON,AUS,15+  50. | 27   51. [53.24],,
58,NATHAN,SMITH,CAN,15+  50. | 27   51. [53.24],,
60,JOHANNES,HELD,AUT,15   60. | 29+  47. [54.11],,
61,BITTOR,ESPARTA FRADE,ESP,6   66. | 30+  46. [55.10],,
62,OLIVER,MARX,RSA,15+  50. | 18+  60. [57.42],,
62,JAN,ZIMA,CZE,15+  50. | 18+  60. [57.42],,
64,MARCO,MÜLLER,SUI,15   60. | 26.5   54. [57.66],,
65,MATTHEW,WELLINGTON,CAN,15+  50. | 14   65. [59.52],,
66,JAKUB,DVORAK,CZE,13+  63. | 25+  59. [61.45],,
