Rank,Name,,Country,Qualification,Semi-Final,Final
1,MAGDALENA,RÖCK,AUT,42+  12. | 39+  9. [11.11],57+,56+
2,MINA,MARKOVIC,SLO,47+  3. | 45   3. [3.24],59+,56
3,JAIN,KIM,KOR,47+  3. | 42+  4. [3.97],56+,56
4,ANAK,VERHOEVEN,BEL,top  1. | 46   1. [1.22],59+,54
5,JANJA,GARNBRET,SLO,48   2. | 46   1. [1.73],58+,50+
6,JULIA,CHANOURDIE,FRA,39+  21. | 40+  6. [12.75],54,45+
7,TJASA,KALAN,SLO,43   10. | 35   23. [15.87],51,45+
8,ANNE-SOPHIE,KOLLER,SUI,41+  15. | 38+  11. [14.36],54+,39
9,CHRISTINE,SCHRANZ,AUT,43+  7. | 38+  11. [10.00],50+,
10,NOLWENN,ARC,FRA,40   19. | 35   23. [21.63],50+,
11,HÉLÈNE,JANICOT,FRA,46+  5. | 40   8. [6.32],48+,
12,YUKA,KOBAYASHI,JPN,42+  12. | 39+  9. [11.11],48+,
13,SALOMÉ,ROMAIN,FRA,42+  12. | 30+  32. [21.33],47+,
14,IEVGENIIA,KAZBEKOVA,UKR,39+  21. | 37+  15. [20.00],43,
15,RISA,OTA,JPN,40   19. | 37   18. [18.99],42+,
16,REBEKA,KAMIN,SLO,41+  15. | 34+  26. [21.30],42+,
17,MATHILDE,BECERRA,FRA,43+  7. | 40+  6. [7.21],41+,
18,DINARA,FAKHRITDINOVA,RUS,41+  15. | 37+  15. [16.25],40+,
19,NETTA,FREDMAN,ISR,36+  30. | 35+  21. [25.61],40+,
20,ALINA,RING,SUI,43+  7. | 38+  11. [10.00],36+,
21,KATHARINA,POSCH,AUT,43   10. | 38+  11. [11.46],36+,
22,SOLÈNE,AMOROS,FRA,39+  21. | 33+  30. [27.61],36+,
23,BARBARA,BACHER,AUT,25+  35. | 35+  21. [28.20],36+,
24,KOKORO,TAKATA,JPN,24+  40. | 37   18. [27.87],33+,
25,LÉA,MARIGO,FRA,41+  15. | 37+  15. [16.25],31+,
26,KAJSA,ROSEN,SWE,45+  6. | 42+  4. [5.20],22,
27,DELANEY,MILLER,USA,24+  40. | 36+  20. [28.98],,
28,NOLWEN,BERTHIER,FRA,39+  21. | 30+  32. [29.58],,
28,CLAUDIA,GHISOLFI,ITA,39+  21. | 30+  32. [29.58],,
28,YUKI,HIROSHIGE,JPN,39+  21. | 30+  32. [29.58],,
31,VERONIKA,MEKE,SLO,25+  35. | 35   23. [29.80],,
32,ANDREA,EBNER,ITA,31+  32. | 34+  26. [29.90],,
33,SILVIA,CASSOL,ITA,39+  21. | 25+  43. [32.79],,
34,LAURA,STÖCKLER,AUT,25+  35. | 33+  30. [33.59],,
35,CHIARA MARIA,CLOSTERMANN,GER,26   34. | 30+  32. [34.50],,
36,SEURAN,HAN,KOR,39+  21. | 17   48. [35.00],,
37,LENKA,SLEZAKOVA,CZE,24   45. | 34+  26. [35.37],,
38,LISA,DE MARTINI,ITA,39+  21. | 16+  51. [36.06],,
39,KATHERINE,CHOONG,SUI,16+  48. | 34+  26. [36.71],,
40,ALANNAH,YIP,CAN,24+  40. | 30+  32. [38.34],,
41,NEA,HERFORTH BAEHR,DEN,25+  35. | 26+  42. [39.42],,
42,SOLVEIG,KORHERR,GER,36+  30. | 16+  51. [39.82],,
43,TINA JOHNSEN,HAFSAAS,NOR,24+  40. | 29+  39. [40.47],,
44,ROXY,PERRY,AUS,16   51. | 30+  32. [42.46],,
45,DENISE,BERTRAM,GER,31+  32. | 13+  56. [42.66],,
46,JULIA,FISER,AUT,25+  35. | 16+  51. [43.86],,
47,JULIA,TALBOT,USA,24+  40. | 18   46. [43.95],,
48,MOE,YOSHIMURA,JPN,16+  48. | 28+  41. [44.82],,
49,GABRIELA,VRABLIKOVA,CZE,24   45. | 19+  44. [45.00],,
50,LUCINDA ANN,TURNBULL,AUS,13   55. | 29   40. [46.90],,
51,MINSEON,KIM,KOR,16   51. | 19+  44. [47.87],,
52,EVELYNE,FUX,SUI,16+  48. | 17   48. [49.00],,
53,ALISON,STEWART-PATTERSON,CAN,19   47. | 15+  54. [50.38],,
54,CHRISTY,SPURRELL,CAN,13+  53. | 17   48. [51.20],,
55,JAYLENE,PRATT,CAN,11+  56. | 17+  47. [51.30],,
56,NINA,KAPITAIN,AUT,13+  53. | 14+  55. [54.24],,
