Rank,Name,,Country,Qualification,Semi-Final,Final
1,SEBASTIAN,HALENKE,GER,29+  18. | top  1. [10.37],top,37
2,DOMEN,SKOFIC,SLO,top  1. | top  1. [5.24],top,23+
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [5.24],top,20
4,STEFANO,GHISOLFI,ITA,top  1. | top  1. [5.24],top,20
5,DMITRII,FAKIRIANOV,RUS,30   17. | 39+  23. [20.20],top,20
6,URBAN,PRIMOZIC,SLO,top  1. | top  1. [5.24],44+,20
7,ROMAIN,DESGRANGES,FRA,top  1. | 44   12. [8.12],top,19+
8,YUKI,HADA,JPN,32+  11. | top  1. [7.42],44+,15+
9,SEAN,MCCOLL,CAN,top  1. | top  1. [5.24],44,
10,THOMAS,JOANNES,FRA,29   26. | 42   15. [19.94],38+,
11,FRANCESCO,VETTORATA,ITA,31+  12. | 35   39. [23.37],38+,
12,MAX,RUDIGIER,AUT,31+  12. | 41   17. [16.09],36+,
13,GAUTIER,SUPPER,FRA,29+  18. | 41   17. [19.94],36+,
14,MASAHIRO,HIGUCHI,JPN,31+  12. | 46   10. [11.83],36,
15,FEDIR,SAMOILOV,UKR,top  1. | top  1. [5.24],35+,
16,JURE,RAZTRESEN,SLO,29+  18. | 39+  23. [22.72],35+,
17,TOMOKI,MUSHA,JPN,31+  12. | 37+  30. [20.66],35,
18,MARIO,LECHNER,AUT,31+  12. | 43   13. [13.49],33,
19,MILAN,PRESKAR,SLO,29+  18. | 37+  30. [25.61],29+,
20,TAITO,NAKAGAMI,JPN,top  1. | top  1. [5.24],22+,
21,NAOKI,SHIMATANI,JPN,29+  18. | 42+  14. [17.35],21+,
22,HANNES,PUMAN,SWE,29+  18. | 39   26. [23.87],19,
23,SASCHA,LEHMANN,SUI,top  1. | 40+  21. [10.87],18+,
24,KEIICHIRO,KORENAGA,JPN,28   38. | 45+  11. [20.45],13,
25,KAYA,OTAKA,JPN,28+  28. | 41   17. [24.52],13,
26,SEAN,BAILEY,USA,top  1. | 41+  16. [9.38],1,
27,MARCELLO,BOMBARDI,ITA,28+  28. | 40+  21. [26.43],,
28,JAVIER,CANO BLAZQUEZ,ESP,29+  18. | 35+  33. [27.63],,
29,KAI,LIGHTNER,USA,28+  28. | 39+  23. [27.93],,
30,DIMITRI,VOGT,SUI,26+  42. | 41   17. [28.04],,
31,MATHIAS,POSCH,AUT,28+  28. | 36+  32. [32.25],,
32,NICOLAS,COLLIN,BEL,29+  18. | 30   48. [32.29],,
33,MAËL,BONZOM,FRA,29   26. | 34+  40. [32.96],,
34,ANATOLE,BOSIO,FRA,27+  39. | 38+  28. [33.26],,
35,MIKHAIL,CHERNIKOV,RUS,28+  28. | 35+  33. [33.97],,
35,LOÏC,TIMMERMANS,BEL,28+  28. | 35+  33. [33.97],,
37,RAMÓN,JULIAN PUIGBLANQUE,ESP,22   49. | 39   26. [36.03],,
38,ELAN,JONASMCRAE,CAN,28+  28. | 34+  40. [36.50],,
38,SIMON,LORENZI,BEL,28+  28. | 34+  40. [36.50],,
40,EVGENII,ZAZULIN,RUS,27+  39. | 35+  33. [37.45],,
41,JAMES,POPE,GBR,21+  50. | 38   29. [38.65],,
42,JERNEJ,KRUDER,SLO,28+  28. | 28+  52. [41.50],,
43,OBED,HARDMEIER,SUI,28+  28. | 19   60. [44.16],,
44,CHARLI,BLEIN,FRA,26+  42. | 31   47. [44.69],,
45,WILLIAM,BOSI,GBR,18   57. | 35+  33. [45.18],,
46,ANZE,PEHARC,SLO,22+  48. | 33+  43. [45.96],,
47,MARTIN,BERGANT,SLO,13   60. | 35+  33. [46.15],,
48,ARMAN,TER-MINASYAN,RUS,27   41. | 28+  52. [46.62],,
49,ALBERTO,GOTTA,ITA,21+  50. | 33+  43. [47.60],,
49,SERGEI,SKORODUMOV,RUS,21+  50. | 33+  43. [47.60],,
51,GREGOR,VEZONIK,SLO,25   44. | 28+  52. [48.29],,
52,YIFTACH,KUSHNIR,ISR,24+  45. | 26+  55. [50.02],,
53,RUBEN,FIRNENBURG,GER,20   56. | 31+  46. [50.75],,
54,ZAN,LOVENJAK SUDAR,SLO,21+  50. | 29+  50. [51.00],,
55,YUFEI,PAN,CHN,23+  47. | 24   56. [51.30],,
56,MARK,BRAND,NED,24+  45. | 18+  61. [52.68],,
57,TOMAS,PLEVKO,SVK,20+  55. | 29+  50. [52.70],,
58,MARTIN,TEKLES,GER,18   57. | 30   48. [52.81],,
59,TOMAS,BINTER,CZE,21   54. | 23   57. [55.48],,
60,MYKHAYIL,TKACHUK,UKR,17   59. | 19+  59. [59.00],,
61,DINGGUO,WANG,CHN,10   62. | 21   58. [59.97],,
62,JINYU,PAN,CHN,11+  61. | 17   63. [61.99],,
63,JAKUB,DVORAK,CZE,6   64. | 17+  62. [62.99],,
64,NATHAN,PRICE,USA,7   63. | 13   64. [63.50],,
