Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANAK,VERHOEVEN,BEL,top  1. | top  1. [4.00],44+,48+
2,AKIYO,NOGUCHI,JPN,top  1. | top  1. [4.00],35+,41
3,JANJA,GARNBRET,SLO,top  1. | top  1. [4.00],top,40+
4,MINA,MARKOVIC,SLO,top  1. | top  1. [4.00],43,40+
5,HANNAH,SCHUBERT,AUT,top  1. | 42+  8. [6.78],39+,31+
6,JAIN,KIM,KOR,top  1. | top  1. [4.00],37,31+
7,YUKA,KOBAYASHI,JPN,39+  9. | 41+  16. [14.28],31+,25+
8,MATHILDE,BECERRA,FRA,36+  19. | 34+  24. [23.22],33,21+
9,JULIA,CHANOURDIE,FRA,38+  16. | 42+  8. [13.98],29+,
10,KATHARINA,POSCH,AUT,36+  19. | 41+  16. [19.34],29+,
11,KATJA,DEBEVEC,SLO,36+  19. | 36+  19. [20.98],29+,
12,KAJSA,ROSEN,SWE,39+  9. | 42+  8. [11.75],29,
13,JESSICA,PILZ,AUT,39+  9. | 42+  8. [11.75],28+,
14,MOLLY,THOMPSON-SMITH,GBR,39+  9. | top  1. [6.93],26+,
15,AYA,ONOE,JPN,36+  19. | 42+  8. [15.91],26+,
15,RISA,OTA,JPN,36+  19. | 42+  8. [15.91],26+,
17,CHRISTINE,SCHRANZ,AUT,44+  8. | top  1. [5.66],26,
18,ANNE-SOPHIE,KOLLER,SUI,39+  9. | 42+  8. [11.75],26,
19,VITA,LUKAN,SLO,38+  16. | 41+  16. [17.00],26,
20,REBEKA,KAMIN,SLO,39+  9. | 36+  19. [15.49],24+,
21,SALOMÉ,ROMAIN,FRA,31+  30. | 36+  19. [25.10],24,
22,MICHELLE,HULLIGER,SUI,34+  28. | 35+  22. [25.32],23+,
23,JENNY,LAVARDA,ITA,38+  16. | 21   40. [26.24],23+,
24,TJASA,KALAN,SLO,top  1. | 42+  8. [6.78],23,
25,ANDREA,EBNER,ITA,36+  19. | 32   31. [26.32],22.5+,
26,MIA,KRAMPL,SLO,39+  9. | 32+  29. [18.81],20+,
27,NETTA,FREDMAN,ISR,31+  30. | 34+  24. [27.78],,
28,YUKI,HIROSHIGE,JPN,30+  34. | 35+  22. [28.26],,
29,TINA JOHNSEN,HAFSAAS,NOR,30+  34. | 34   26. [30.67],,
29,HÉLÈNE,JANICOT,FRA,30+  34. | 34   26. [30.67],,
29,LAURA,STÖCKLER,AUT,36   26. | 23+  35. [30.67],,
32,NOLWENN,ARC,FRA,30+  34. | 33+  28. [31.53],,
33,EVELYNE,FUX,SUI,31+  30. | 30+  33. [32.48],,
34,KAJA,SKVARC BOZIC,SLO,36+  19. | 13   48. [32.66],,
35,TJASA,SLEMENSEK,SLO,36   26. | 20+  42. [33.76],,
36,KOKORO,TAKATA,JPN,34+  28. | 20   45. [36.21],,
37,NOLWEN,BERTHIER,FRA,25+  44. | 32+  29. [36.43],,
38,VERONIKA,MEKE,SLO,26   43. | 32   31. [36.80],,
39,LISA,DE MARTINI,ITA,28+  40. | 30+  33. [37.06],,
40,CELINE,CUYPERS,BEL,31+  30. | 20   45. [38.07],,
41,SILVIA,CASSOL,ITA,28+  40. | 23+  35. [38.15],,
42,IVA,ONDRA,CZE,29+  38. | 21+  39. [38.50],,
43,JARA,SPÄTE,SUI,28+  40. | 22+  37. [39.21],,
44,CLAUDIA,GHISOLFI,ITA,29   39. | 21   40. [39.74],,
45,ROMY,FUCHS,GER,24+  49. | 22+  37. [42.87],,
46,SOLVEIG,KORHERR,GER,25+  44. | 20+  42. [43.99],,
47,SOLÈNE,AMOROS,FRA,25   47. | 20+  42. [45.19],,
48,GABRIELA,VRABLIKOVA,CZE,25+  44. | 20   45. [45.50],,
49,AYANE,SAKAI,JPN,25   47. | 13   48. [48.00],,
