Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,1. [3.00],47+,top
2,ANAK,VERHOEVEN,BEL,1. [3.00],45,top
3,MINA,MARKOVIC,SLO,1. [2.45],46+,43+
4,JAIN,KIM,KOR,1. [2.45],46,43+
5,JESSICA,PILZ,AUT,1. [3.00],42+,43+
6,JULIA,CHANOURDIE,FRA,4. [3.46],44+,25+
7,CLAIRE,BUHRFEIND,USA,10. [10.17],37+,23+
7,MAGDALENA,RÖCK,AUT,1. [2.45],37+,23+
9,ALINA,RING,SUI,11. [11.78],37+,19
10,MATHILDE,BECERRA,FRA,7. [6.54],32+,
10,CHRISTINE,SCHRANZ,AUT,5. [5.20],32+,
12,SALOMÉ,ROMAIN,FRA,4. [4.50],32,
13,CHARLOTTE,DURIF,FRA,12. [11.83],31+,
13,YUKA,KOBAYASHI,JPN,8. [8.94],31+,
13,ANNE-SOPHIE,KOLLER,SUI,5. [4.24],31+,
13,KATHARINA,POSCH,AUT,7. [8.66],31+,
17,HELOÏSE,DOUMONT,BEL,13. [12.19],28+,
17,MARGO,HAYES,USA,10. [9.49],28+,
19,DELANEY,MILLER,USA,11. [11.14],27+,
19,HANNAH,SCHUBERT,AUT,6. [6.00],27+,
21,TINA JOHNSEN,HAFSAAS,NOR,13. [12.52],26+,
21,REBEKA,KAMIN,SLO,12. [12.23],26+,
23,NOLWENN,ARC,FRA,8. [6.71],26,
23,HÉLÈNE,JANICOT,FRA,9. [7.04],26,
25,MOLLY,THOMPSON-SMITH,GBR,6. [5.61],25+,
26,DINARA,FAKHRITDINOVA,RUS,9. [9.00],25,
27,NETTA,FREDMAN,ISR,14. [12.96],,
27,TJASA,KALAN,SLO,14. [13.25],,
29,ANDREA,EBNER,ITA,15. [14.97],,
29,ELENA,KRASOVSKAIA,RUS,15. [14.92],,
31,ASJA,GOLLO,ITA,16. [16.91],,
31,IEVGENIIA,KAZBEKOVA,UKR,16. [15.87],,
33,VIKTORIIA,MESHKOVA,RUS,17. [16.52],,
33,KAJSA,ROSEN,SWE,17. [17.32],,
35,HAIMI,CHO,KOR,18. [18.04],,
35,MINSEON,KIM,KOR,18. [18.21],,
37,KATHERINE,CHOONG,SUI,19. [19.71],,
37,KYRA,CONDIE,USA,19. [18.49],,
37,GRACE,MCKEEHAN,USA,19. [18.49],,
40,BIMINI,HORSTMANN,USA,20. [19.77],,
41,CELINE,CUYPERS,BEL,21. [19.97],,
41,CLAUDIA,GHISOLFI,ITA,21. [21.71],,
43,MARIIA,MUSIENKO,RUS,22. [21.74],,
43,ALANNAH,YIP,CAN,22. [22.98],,
45,IULIIA,PANTELEEVA,RUS,23. [23.45],,
45,ELNAZ,REKABI,IRI,23. [23.00],,
47,GAHEE,LEE,KOR,24. [23.96],,
47,STELLA,PLANTIN,SWE,24. [25.00],,
49,ROXY,PERRY,AUS,25. [25.22],,
49,LENKA,SLEZAKOVA,CZE,25. [25.50],,
51,GALINA,TERENTEVA,RUS,26. [26.98],,
51,NIKKI,VAN BERGEN,NED,26. [25.81],,
53,SEURAN,HAN,KOR,27. [27.15],,
53,MICHELLE,KIM THEISEN,DEN,27. [27.72],,
55,TAMARA,ULZHABAYEVA,KAZ,28. [28.66],,
55,GABRIELA,VRABLIKOVA,CZE,28. [27.16],,
57,VERONIKA,SIMKOVA,CZE,29. [28.16],,
57,ALISON,STEWART-PATTERSON,CAN,29. [28.74],,
57,LUCINDA ANN,TURNBULL,AUS,29. [28.16],,
60,CHRISTY,SPURRELL,CAN,30. [29.12],,
61,ANIEK,LITH,NED,31. [28.74],,
61,JIWON,YANG,KOR,31. [31.20],,
63,KATRIN,AMANN,SWE,32. [29.73],,
63,ANDREA,POKORNA,CZE,32. [31.30],,
65,SUZU,JEFFERY,USA,33. [31.94],,
65,MURIEL,RUÍZ DE LARRAMENDI ARANGOA,ESP,33. [31.75],,
67,ANNIE,CHOUINARD,CAN,34. [33.25],,
67,ANA-MARIA,ZAHARIA,ROU,34. [33.17],,
69,JANINE,CARDOSO,BRA,35. [35.00],,
69,AYŞE,NARMANLI,TUR,35. [34.23],,
71,FATMA,BASOGLU KABRAN,TUR,36. [36.25],,
71,OLGA,FEDYUK,POR,36. [34.47],,
73,SEVDA,GEYIK,TUR,37. [34.94],,
73,JAYLENE,PRATT,CAN,37. [36.75],,
75,IRODA,RAPIKOVA,UZB,38. [38.00],,
