Rank,Name,,Country,Qualification,Final
1,MARCIN,DZIENSKI,POL,6.350,5.83
2,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.960,7.37
3,ALEKSANDR,SHIKOV,RUS,6.230,5.95
4,BASSA,MAWEM,FRA,6.300,fall
5,LEONARDO,GONTERO,ITA,6.390,6.24
6,STANISLAV,KOKORIN,RUS,6.280,6.25
7,LIBOR,HROZA,CZE,6.140,8.21
8,DANYIL,BOLDYREV,UKR,6.000,fall
9,DMITRII,TIMOFEEV,RUS,6.530,6.31
10,KOSTIANTYN,PAVLENKO,UKR,6.700,6.34
11,QUENTIN,NAMBOT,FRA,6.530,6.59
12,JOHN,BROSLER,USA,6.610,7.21
13,LUDOVICO,FOSSALI,ITA,6.670,7.29
14,QIXIN,ZHONG,CHN,6.420,fall
15,GEORGY,ARTAMONOV,RUS,6.530,fall
16,JAN,KRIZ,CZE,6.550,fall
17,ZHIYONG,OU,CHN,6.740,
18,GIAN LUCA,ZODDA,ITA,6.790,
19,GUILLAUME,MORO,FRA,6.800,
20,ARSENII,BOGOMOLOV,RUS,6.810,
21,SEUNGBEOM,LEE,KOR,6.960,
21,STANISLAO,ZAMA,ITA,6.960,
23,MAX,HAMMER,USA,7.010,
24,PENGHUI,LIN,CHN,7.210,
25,GENTRY,COLE,USA,7.220,
26,PETR,ZEMLIAKOV,RUS,7.230,
27,ISAAC,ESTEVEZ,ECU,7.250,
28,SUNGJOON,CHAE,KOR,7.390,
29,MATEJ,BURIAN,CZE,7.650,
30,OLEKSANDR,SALIMOV,UKR,7.670,
31,OLEXIY,ZAYCHENKO,UKR,7.740,
32,MANUEL,CORNU,FRA,7.820,
33,ALESSANDRO,SANTONI,ITA,7.870,
34,ARTYOM,DEVYATERIKOV,KAZ,8.010,
35,ANGHELO,BERNAL,COL,8.040,
36,NICHOLAS,ROMERO,USA,8.160,
37,SEUNGWOON,CHO,KOR,8.170,
38,SEAN,MCCOLL,CAN,8.650,
39,PETR,BURIAN,CZE,8.710,
40,MICHAEL,FINN-HENRY,USA,8.760,
41,RAFAL,HALASA,POL,8.830,
42,YUFEI,PAN,CHN,8.900,
43,ALEKSANDR,SHILOV,RUS,9.510,
44,DAVID,FIRNENBURG,GER,9.770,
45,JONGSEOK,SON,KOR,10.030,
46,AHMED,TOURE,USA,10.050,
47,HANNES,PUMAN,SWE,11.390,
48,ROLANDS,RUGENS,LAT,11.710,
49,ERIC,LOPEZ MATEOS,ESP,12.060,
50,ELAN,JONASMCRAE,CAN,12.510,
51,STEPHANE,HANSSENS,BEL,12.600,
52,JAVIER,CANO BLAZQUEZ,ESP,12.640,
53,OR,WECHSLER,ISR,15.520,
54,DAVID,BARRANS,GBR,16.430,
55,JAMES,POPE,GBR,18.680,
