Rank,Name,,Country,Qualification,Final
1,ANNA,TSYGANOVA,RUS,7.880,7.52
2,ANOUCK,JAUBERT,FRA,8.030,7.79
3,IULIIA,KAPLINA,RUS,8.180,8.23
4,ALEKSANDRA,MIROSLAW,POL,8.270,8.40
5,KLAUDIA,BUCZEK,POL,8.350,8.11
6,ELMA,FLEURET,FRA,8.890,8.58
7,DARIA,KAN,RUS,9.060,8.71
8,PATRYCJA,CHUDZIAK,POL,9.090,9.17
9,ALLA,MARENYCH,UKR,9.380,9.08
10,ANNA,BROZEK,POL,8.410,9.14
11,NINA,LACH,AUT,9.110,9.35
12,TAMARA,ULZHABAYEVA,KAZ,9.580,9.43
13,VICTOIRE,ANDRIER,FRA,9.310,10.31
14,AURELIA,SARISSON,FRA,8.660,fall
15,ELIZAVETA,IVANOVA,RUS,8.910,fall
16,ELISABETTA,DALLA BRIDA,ITA,9.620,fall
17,CUILIAN,HE,CHN,9.650,
18,ANDREA,ROJAS,ECU,9.720,
19,ERICA,MEISTER,USA,9.800,
20,ELENA,KRASOVSKAIA,RUS,9.830,
21,ELENA,TIMOFEEVA,RUS,9.840,
22,FARNAZ,ESMAEILZADEH,IRI,9.910,
23,EDYTA,ROPEK,POL,9.990,
24,CLAIRE,BUHRFEIND,USA,10.220,
25,ALINA,GAIDAMAKINA,RUS,10.260,
26,CHARLOTTE,DURIF,FRA,10.480,
27,GIORGIA,RANDI,ITA,10.490,
28,TETIANA,KOLKOTINA,UKR,10.560,
29,KYRA,CONDIE,USA,10.770,
30,SILVIA,PORTA,ITA,10.820,
31,BIMINI,HORSTMANN,USA,11.210,
32,GRACE,MCKEEHAN,USA,11.470,
33,JEONGRAN,KO,KOR,11.480,
34,ANASTASIYA,ZAICHENKO,UKR,11.930,
35,ANDREA,EBNER,ITA,12.940,
36,RONG,JIANG,CHN,13.030,
37,JIWON,YANG,KOR,13.040,
38,ALANNAH,YIP,CAN,13.360,
39,ALISON,STEWART-PATTERSON,CAN,13.490,
40,ASJA,GOLLO,ITA,14.180,
41,ANDREA,POKORNA,CZE,14.320,
42,ANASTASIA,SHYMKOVA,UKR,14.330,
43,DELANEY,MILLER,USA,14.530,
44,IEVGENIIA,KAZBEKOVA,UKR,15.260,
45,SAEDASOM,JUNG,KOR,17.820,
46,TINA JOHNSEN,HAFSAAS,NOR,19.030,
