Rank,Name,,Country,Qualification,Semi-Final,Final
1,SEAN,MCCOLL,CAN,top  1. | 23   29. [12.35],34+,28+
2,KEIICHIRO,KORENAGA,JPN,41+  10. | 40   3. [5.74],39,25+
3,THOMAS,JOANNES,FRA,top  1. | 19+  45. [15.49],29+,25+
4,SEAN,BAILEY,USA,top  1. | 31   5. [5.00],28+,24+
5,URBAN,PRIMOZIC,SLO,37+  18. | 23+  16. [22.49],28,22
6,JAKOB,SCHUBERT,AUT,top  1. | 28+  6. [5.70],29+,19
7,MASAHIRO,HIGUCHI,JPN,39   14. | 23+  16. [17.55],29,19
8,KOKORO,FUJII,JPN,37+  18. | 27+  8. [15.17],28,17
9,STEFANO,GHISOLFI,ITA,top  1. | 35+  4. [4.47],27+,
10,NAOKI,SHIMATANI,JPN,top  1. | 23+  16. [10.49],27+,
11,CHARLI,BLEIN,FRA,33+  32. | 27+  8. [18.03],27+,
12,NATHAN,MICHEL,FRA,33+  32. | 24   13. [21.33],27+,
13,DOMEN,SKOFIC,SLO,top  1. | 40+  1. [2.74],25+,
13,GAUTIER,SUPPER,FRA,top  1. | 40+  1. [2.74],25+,
15,HANWOOL,KIM,KOR,top  1. | 23   29. [12.35],25+,
16,JIHWAN,PARK,KOR,38   15. | 27+  8. [12.65],25+,
17,MAËL,BONZOM,FRA,37+  18. | 24   13. [17.94],25+,
18,SASCHA,LEHMANN,SUI,38   15. | 23+  16. [18.76],25+,
19,STEFANO,CARNATI,ITA,27   40. | 27+  8. [20.12],25+,
20,LOÏC,TIMMERMANS,BEL,37+  18. | 23+  16. [22.49],25+,
21,NICOLAS,COLLIN,BEL,17   58. | 27+  8. [24.49],25+,
22,MINORU,NAKANO,JPN,37+  18. | 28+  6. [12.23],25,
23,YUKI,HADA,JPN,41   13. | 23+  16. [16.91],25,
24,MARTIN,TEKLES,GER,37+  18. | 23+  16. [22.49],23,
25,RAMÓN,JULIAN PUIGBLANQUE,ESP,37+  18. | 23+  16. [22.49],17+,
26,SEBASTIAN,HALENKE,GER,41+  10. | 23+  16. [15.56],17,
27,ROMAIN,DESGRANGES,FRA,41+  10. | 13+  56. [25.37],,
28,FRANCESCO,VETTORATA,ITA,33   34. | 23+  16. [27.55],,
29,STEPHANE,HANSSENS,BEL,18   54. | 24   13. [27.62],,
30,ALBERTO,GOTTA,ITA,38   15. | 19+  45. [27.71],,
31,ELAN,JONASMCRAE,CAN,32+  36. | 23+  16. [28.34],,
32,MARIO,LECHNER,AUT,37+  18. | 22   37. [29.56],,
33,MARTIN,BERGANT,SLO,37   29. | 23   29. [29.74],,
34,CHRISTOPH,HANKE,GER,34+  30. | 23   29. [30.50],,
35,MARCELLO,BOMBARDI,ITA,37+  18. | 21   43. [31.45],,
36,KAI,HARADA,JPN,24+  50. | 23+  16. [33.17],,
37,SEUNGWOON,CHO,KOR,37+  18. | 19+  45. [33.23],,
38,TOMAS,RAVANAL,CHI,34+  30. | 22   37. [34.04],,
39,OBED,HARDMEIER,SUI,33   34. | 22+  33. [34.50],,
40,REMO,LEHMANN,SUI,17   58. | 23+  16. [36.33],,
41,SÉBASTIEN,BERTHE,BEL,27+  39. | 22+  33. [36.68],,
42,MEICHI,NARASAKI,JPN,37+  18. | 8   66. [38.96],,
42,BENISAAC,TRESCO,USA,26+  42. | 22+  33. [38.96],,
44,JAVIER,CANO BLAZQUEZ,ESP,27   40. | 22   37. [39.23],,
45,FRANCESCO,BOSCO,ITA,20+  52. | 22+  33. [42.36],,
46,RUBEN,FIRNENBURG,GER,26+  42. | 21+  40. [42.47],,
47,NATHAN,SMITH,CAN,26+  42. | 19+  45. [45.96],,
47,DIMITRI,VOGT,SUI,26+  42. | 19+  45. [45.96],,
49,MATTHIAS,SCHIESTL,AUT,32+  36. | 13+  56. [46.21],,
50,ÀLEX,HERNÁNDEZ CASTILLA,ESP,30   38. | 13+  56. [47.15],,
51,KEVIN,HUSER,SUI,25+  47. | 19+  45. [47.75],,
52,BENJAMIN,BLASER,SUI,25   49. | 19+  45. [48.50],,
53,MARTIN,JECH,CZE,26+  42. | 14   53. [48.74],,
54,IÑAKI,ARANTZAMENDI IRUETA,ESP,17   58. | 21+  40. [49.60],,
55,MIKHAIL,CHERNIKOV,RUS,16+  63. | 21+  40. [51.22],,
56,ADRIEN,TRIBOUT,FRA,17   58. | 20   44. [51.38],,
57,MAX,RUDIGIER,AUT,21   51. | 16   52. [51.50],,
58,BERNHARD,RÖCK,AUT,25+  47. | 13+  56. [52.71],,
59,MARTIN,KUHNEL,USA,18+  53. | 14   53. [53.50],,
60,CAMPBELL,HARRISON,AUS,17   58. | 14   53. [56.92],,
61,ROLF -MARTIN,BJØRNGAARD,NOR,17+  56. | 13+  56. [57.49],,
62,JAKUB,DVORAK,CZE,18   54. | 8+  65. [59.52],,
63,MATTHEW,WELLINGTON,CAN,17+  56. | 9   64. [60.13],,
64,RAHUL,SAPRA,CAN,16+  63. | 13+  56. [61.19],,
65,OLIVER,MARX,RSA,16+  63. | 12+  62. [63.25],,
66,TOMAS,BINTER,CZE,0 | 12+  62. [64.23],,
