Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [1.22],43+,48+
2,ANAK,VERHOEVEN,BEL,33+  2. | top  1. [1.73],42+,41+
3,JAIN,KIM,KOR,31+  4. | 41+  3. [3.74],42+,41+
4,JESSICA,PILZ,AUT,28+  9. | 29+  9. [10.68],42+,41+
5,MAGDALENA,RÖCK,AUT,26+  12. | 36+  6. [9.80],40+,41+
6,CHRISTINE,SCHRANZ,AUT,28+  9. | 29+  9. [10.68],38,26+
7,YUKA,KOBAYASHI,JPN,30+  5. | 24   37. [14.27],37+,26+
8,SALOMÉ,ROMAIN,FRA,30+  5. | 29+  9. [8.12],42+,15
9,HÉLÈNE,JANICOT,FRA,30   7. | 29+  9. [9.17],36+,
10,HANNAH,SCHUBERT,AUT,26+  12. | 25   18. [17.66],35+,
11,RISA,OTA,JPN,29+  8. | 30   8. [8.00],35,
12,JULIA,CHANOURDIE,FRA,32   3. | 38   5. [3.87],33+,
13,MATHILDE,BECERRA,FRA,26+  12. | 29+  9. [13.86],27,
14,ANNE-SOPHIE,KOLLER,SUI,26+  12. | 24+  22. [21.54],27,
15,MINA,MARKOVIC,SLO,27+  11. | 41+  3. [6.20],26+,
16,NIKKI,VAN BERGEN,NED,26+  12. | 26+  17. [16.49],26,
17,REBEKA,KAMIN,SLO,26+  12. | 24+  22. [21.54],26,
18,MEI,KOTAKE,JPN,14+  39. | 29+  9. [22.72],25+,
19,ASJA,GOLLO,ITA,23+  24. | 24+  22. [27.19],25,
20,DINARA,FAKHRITDINOVA,RUS,26   21. | 29+  9. [16.06],23+,
21,KATHARINA,POSCH,AUT,26+  12. | 29   16. [16.00],23,
22,CLAUDIA,GHISOLFI,ITA,19+  30. | 25   18. [24.39],23,
23,ALINA,RING,SUI,26+  12. | 25   18. [17.66],21+,
24,NOLWEN,BERTHIER,FRA,26+  12. | 24+  22. [21.54],21+,
25,KATHERINE,CHOONG,SUI,23+  24. | 24+  22. [27.19],21+,
26,GABRIELA,VRABLIKOVA,CZE,22+  28. | 25   18. [23.57],16+,
27,EVELYNE,FUX,SUI,23+  24. | 24+  22. [27.19],15+,
28,CHARLOTTE,DURIF,FRA,26   21. | 33+  7. [12.27],,
29,ANDREA,KÜMIN,SUI,24+  23. | 22+  41. [31.26],,
30,LISA,DE MARTINI,ITA,18+  32. | 24+  22. [31.86],,
30,JENNY,LAVARDA,ITA,18+  32. | 24+  22. [31.86],,
30,LENKA,SLEZAKOVA,CZE,18+  32. | 24+  22. [31.86],,
33,MINSEON,KIM,KOR,23+  24. | 19+  45. [34.25],,
34,SOLÈNE,AMOROS,FRA,14+  39. | 24+  22. [35.31],,
34,NOLWENN,ARC,FRA,14+  39. | 24+  22. [35.31],,
34,SILVIA,CASSOL,ITA,14+  39. | 24+  22. [35.31],,
34,CHIARA MARIA,CLOSTERMANN,GER,14+  39. | 24+  22. [35.31],,
34,MICHELLE,HULLIGER,SUI,14+  39. | 24+  22. [35.31],,
34,LÉA,MARIGO,FRA,14+  39. | 24+  22. [35.31],,
40,KARINA,MIROSLAW,POL,19+  30. | 22+  41. [36.00],,
41,JULIA,FISER,AUT,18+  32. | 23+  38. [36.71],,
41,ILARIA,SCOLARIS,ITA,18+  32. | 23+  38. [36.71],,
43,CELINE,CUYPERS,BEL,18+  32. | 23   40. [37.42],,
44,SEURAN,HAN,KOR,22+  28. | 13   50. [37.75],,
45,DELANEY,MILLER,USA,18+  32. | 22+  41. [38.57],,
46,REBECCA,FRANGOS,CAN,14+  39. | 22+  41. [42.75],,
47,MURIEL,RUÍZ DE LARRAMENDI ARANGOA,ESP,14+  39. | 18+  48. [45.43],,
48,LUCINDA ANN,TURNBULL,AUS,14   48. | 19+  45. [46.99],,
49,HANNARAI,SONG,KOR,5   49. | 19+  45. [47.48],,
50,ANNIE,CHOUINARD,CAN,4   50. | 17+  49. [49.50],,
51,IEVGENIIA,KAZBEKOVA,UKR,0 | 0 [51.00],,
