Rank,Name,,Country,Qualification,Final
1,MARCIN,DZIENSKI,POL,6.020,5.99
2,DANYIL,BOLDYREV,UKR,6.170,8.51
3,STANISLAV,KOKORIN,RUS,6.200,wildcard
4,DMITRII,TIMOFEEV,RUS,6.250,false start
5,BASSA,MAWEM,FRA,6.120,6.12
6,GUILLAUME,MORO,FRA,6.420,6.24
7,ARSENII,SHEVCHENKO,RUS,6.480,6.42
8,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.940,fall
9,QUENTIN,NAMBOT,FRA,6.360,6.47
10,KOSTIANTYN,PAVLENKO,UKR,6.550,6.47
11,LIBOR,HROZA,CZE,6.150,6.50
12,VLADISLAV,DEULIN,RUS,6.580,6.64
13,LEONARDO,GONTERO,ITA,6.470,7.65
14,GEORGY,ARTAMONOV,RUS,6.470,9.03
15,ARSENII,BOGOMOLOV,RUS,6.480,9.81
16,ALEKSANDR,SHILOV,RUS,6.250,false start
17,LUDOVICO,FOSSALI,ITA,6.660,
18,JAN,KRIZ,CZE,6.680,
19,RAFAL,HALASA,POL,6.700,
20,GIAN LUCA,ZODDA,ITA,6.840,
21,ALESSANDRO,SANTONI,ITA,7.010,
22,STANISLAO,ZAMA,ITA,7.050,
23,MORTEZA,MOHAMMADI,IRI,7.080,
24,MICHAL,LEWICKI,POL,7.230,
25,EVGENII,VAITSEKHOVSKII,RUS,7.320,
26,CRISTIAN,DORIGATTI,ITA,7.400,
27,LUKAS,KNAPP,AUT,7.660,
28,SEUNGWOON,CHO,KOR,8.210,
29,SEAN,MCCOLL,CAN,8.850,
30,HANWOOL,KIM,KOR,9.230,
