Rank,Name,,Country,Qualification,Semi-Final,Final
1,STEFANO,GHISOLFI,ITA,top  1. | top  1. [3.46],top,39
2,DMITRII,FAKIRIANOV,RUS,top  1. | 26+  30. [9.57],43+,37+
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [3.46],40+,37+
4,GAUTIER,SUPPER,FRA,37+  6. | top  1. [5.10],33+,33+
5,ROMAIN,DESGRANGES,FRA,top  1. | 36+  10. [6.36],37+,32+
6,THOMAS,JOANNES,FRA,27+  16. | top  1. [8.49],30+,32
7,MASAHIRO,HIGUCHI,JPN,33   8. | 37+  8. [8.50],38+,25+
8,HANWOOL,KIM,KOR,37+  6. | top  1. [5.10],30+,11+
9,DOMEN,SKOFIC,SLO,top  1. | top  1. [3.46],30,
10,SEAN,MCCOLL,CAN,29+  12. | top  1. [6.93],28+,
11,LOÏC,TIMMERMANS,BEL,28+  13. | 37+  8. [10.91],28+,
12,TAITO,NAKAGAMI,JPN,33   8. | 35+  20. [13.98],24+,
13,HAIBIN,QU,CHN,28+  13. | 36+  10. [13.75],24,
14,ALBERTO,GOTTA,ITA,26+  21. | 36+  10. [17.43],24,
15,YIFTACH,KUSHNIR,ISR,25+  25. | 36   18. [21.72],24,
16,MARCELLO,BOMBARDI,ITA,30+  11. | 35+  20. [15.91],23+,
17,MAX,RUDIGIER,AUT,28+  13. | 35+  20. [17.94],23,
18,KAI,HARADA,JPN,27+  16. | 35+  20. [20.35],21+,
19,NAOKI,SHIMATANI,JPN,26+  21. | 36   18. [20.40],21,
20,KEIICHIRO,KORENAGA,JPN,32+  10. | 35+  20. [15.17],20+,
21,YUFEI,PAN,CHN,25+  25. | 36+  10. [18.55],20,
22,ELAN,JONASMCRAE,CAN,22   30. | 36+  10. [20.29],20,
23,JAVIER,CANO BLAZQUEZ,ESP,27+  16. | 36+  10. [15.59],12,
24,KOKORO,FUJII,JPN,26+  21. | 36+  10. [17.43],9,
25,HIROTO,SHIMIZU,JPN,22+  29. | 36+  10. [19.79],3+,
26,RAMÓN,JULIAN PUIGBLANQUE,ESP,27+  16. | 34   27. [22.05],3+,
27,KAYA,OTAKA,JPN,26+  21. | 35+  20. [22.75],,
28,ZIDA,MA,CHN,27+  16. | 27+  29. [22.85],,
29,OR,WECHSLER,ISR,24+  27. | 35+  20. [24.92],,
30,KAI,LIGHTNER,USA,23   28. | 31+  28. [28.00],,
31,CHI-FUNG,AU,HKG,22   30. | 20+  33. [31.73],,
32,SERGIO,PASTOR MARTÍNEZ,ESP,14+  33. | 26+  30. [31.96],,
33,HUANG,XIN,CHN,14+  33. | 21+  32. [32.74],,
34,ZHAXI,BIANBA,CHN,17+  32. | 17+  34. [32.98],,
35,HEI-YEUNG,LAM,HKG,12+  35. | 12+  36. [35.99],,
36,NATHAN,PRICE,USA,9+  38. | 15   35. [36.47],,
37,DANZENG,CHILIE,CHN,11   36. | 12+  36. [36.75],,
37,TSUN-TING,IP,HKG,11   36. | 12+  36. [36.75],,
39,ZAHEER,AHMAD,PAK,1+  39. [38.24],,
