Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [3.16],top,42+
2,ANAK,VERHOEVEN,BEL,top  1. | top  1. [3.16],top,40+
3,JAIN,KIM,KOR,top  1. | top  1. [3.16],44+,40+
4,AKIYO,NOGUCHI,JPN,top  1. | top  1. [3.16],38+,36+
5,MINA,MARKOVIC,SLO,34   5. | top  1. [4.47],44+,35+
6,JULIA,CHANOURDIE,FRA,28.5+  9. | 40+  8. [9.25],36+,33+
7,SALOMÉ,ROMAIN,FRA,27+  10. | top  1. [6.78],38+,29+
8,JESSICA,PILZ,AUT,32   6. | 39+  12. [8.83],38,21+
9,MAGDALENA,RÖCK,AUT,20+  14. | 40+  8. [12.33],36+,
10,MATHILDE,BECERRA,FRA,30+  7. | top  1. [5.29],34+,
11,YUKA,KOBAYASHI,JPN,20+  14. | 40+  8. [12.33],32+,
12,LAMU,RENQING,CHN,27+  10. | 40+  8. [10.45],31+,
13,HÉLÈNE,JANICOT,FRA,29+  8. | 37+  15. [11.14],31,
14,RISA,OTA,JPN,27+  10. | 39+  12. [12.23],31,
15,KATHARINA,POSCH,AUT,12+  21. | 33   18. [19.44],30,
16,YUKI,HIROSHIGE,JPN,27+  10. | 37+  15. [13.35],29+,
17,NETTA,FREDMAN,ISR,10   23. | 39+  12. [17.29],29+,
18,NATSUKO,SHIMIZU,JPN,20+  14. | 34+  17. [16.49],21+,
19,CLAUDIA,GHISOLFI,ITA,20+  14. | 23+  21. [18.55],21,
20,KOKORO,TAKATA,JPN,12   22. | 32+  19. [20.71],18+,
21,AYA,KIKUZAWA,JPN,20+  14. | 32+  19. [17.66],17+,
22,ANNA,TSYGANOVA,RUS,9+  24. | 23+  21. [23.18],16+,
23,DI,NIU,CHN,19+  19. | 23   23. [21.18],14+,
24,YUZHEN,BAIMA,CHN,19+  19. | 14+  25. [22.08],14+,
25,ZHUOMA,PUBU,CHN,9+  24. | 17+  24. [24.49],12+,
26,RENZENG,ZHUOMA,CHN,9+  24. | 10+  26. [25.50],7,
