Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [4.47],top,39+
2,ANAK,VERHOEVEN,BEL,top  1. | top  1. [4.47],top,38+
3,JAIN,KIM,KOR,top  1. | top  1. [4.47],top,36+
4,JULIA,CHANOURDIE,FRA,42   5. | top  1. [6.32],37+,30+
5,JESSICA,PILZ,AUT,40+  6. | top  1. [7.21],42+,26+
6,MARGO,HAYES,USA,40+  6. | 40   20. [11.40],37,26+
7,SALOMÉ,ROMAIN,FRA,37+  14. | top  1. [10.77],31+,26+
8,MINA,MARKOVIC,SLO,top  1. | top  1. [4.47],37+,20+
9,HÉLÈNE,JANICOT,FRA,33+  20. | 33+  26. [23.53],29.5+,
10,KATHERINE,CHOONG,SUI,39+  10. | top  1. [9.38],29+,
11,MOLLY,THOMPSON-SMITH,GBR,36   16. | top  1. [11.31],29+,
12,RISA,OTA,JPN,33+  20. | top  1. [12.81],29+,
13,BROOKE,RABOUTOU,USA,40   8. | top  1. [8.25],29,
14,VIKTORIIA,MESHKOVA,RUS,37+  14. | 37+  23. [18.46],28,
15,JULIA,FISER,AUT,17+  28. | 40+  16. [22.33],27+,
16,VITA,LUKAN,SLO,35   18. | top  1. [12.00],27,
17,NOLWEN,BERTHIER,FRA,16+  33. | top  1. [16.49],27,
18,KATHARINA,POSCH,AUT,39+  10. | top  1. [9.38],26+,
19,HANNAH,SCHUBERT,AUT,38+  13. | 38+  22. [16.91],26+,
20,MOE,YOSHIMURA,JPN,18+  24. | 40+  16. [21.12],26+,
21,LAURA,STÖCKLER,AUT,35+  17. | 29+  31. [23.51],26+,
22,ANNE-SOPHIE,KOLLER,SUI,17   30. | 40+  16. [23.29],26,
23,HELOÏSE,DOUMONT,BEL,40   8. | 36+  25. [14.58],25+,
24,TINA JOHNSEN,HAFSAAS,NOR,17   30. | top  1. [15.75],19,
25,ALINA,RING,SUI,39+  10. | 29+  31. [18.91],15+,
26,MINSEON,KIM,KOR,19+  23. | 31+  29. [26.05],15+,
27,NOLWENN,ARC,FRA,18+  24. | 33+  26. [26.24],,
28,CLAUDIA,GHISOLFI,ITA,17   30. | 37+  23. [26.99],,
29,KENZA,SLAMTI,FRA,34+  19. | 28+  37. [27.05],,
30,IEVGENIIA,KAZBEKOVA,UKR,15+  38. | 40+  16. [27.59],,
31,MIA,KRAMPL,SLO,16   36. | 39+  21. [27.69],,
32,MAGDALENA,RÖCK,AUT,17+  28. | 31+  29. [29.00],,
33,LISA,DE MARTINI,ITA,33   22. | 28+  37. [29.10],,
34,GIORGIA,TESIO,ITA,16+  33. | 29+  31. [33.24],,
35,MEAGAN,MARTIN,USA,18+  24. | 25+  44. [33.50],,
36,KAJSA,ROSEN,SWE,15+  38. | 33+  26. [34.27],,
37,LÉA,MARIGO,FRA,15+  38. | 29+  31. [37.60],,
38,MURIEL,RUÍZ DE LARRAMENDI ARANGOA,ESP,18+  24. | 5+  56. [38.12],,
39,ROXY,PERRY,AUS,16   36. | 26+  42. [39.15],,
40,REBECCA,FRANGOS,CAN,15+  38. | 29   35. [39.30],,
41,LISA-MARIE,KVANDAHL,NOR,16+  33. | 20+  45. [39.55],,
42,CELINE,CUYPERS,BEL,15+  38. | 28+  37. [40.92],,
42,BRÉANNE,ROBERT,FRA,15+  38. | 28+  37. [40.92],,
44,AUDREY,SNIEZEK,USA,15+  38. | 28   41. [42.23],,
45,ELENA,KRASOVSKAIA,RUS,15+  38. | 26   43. [43.25],,
46,IULIIA,PANTELEEVA,RUS,15   50. | 29   35. [43.38],,
47,SILVIA,BARRETT,SWE,15+  38. | 20   48. [45.93],,
48,MATHILDE,BECERRA,FRA,15+  38. | 19+  50. [46.87],,
49,BERGLJOT,HANSEN,NOR,15+  38. | 13+  54. [48.69],,
50,MARION,TRABER,FRA,15   50. | 20+  45. [49.38],,
50,LUCINDA ANN,TURNBULL,AUS,15   50. | 20+  45. [49.38],,
52,MORIWAKI,HONOKA,JPN,15+  38. | 5+  56. [49.79],,
53,YILING,SONG,CHN,15   50. | 20   48. [50.70],,
54,LESLEY,LADLAD,USA,15   50. | 19+  50. [51.73],,
55,INGRID HELENE,AMUNDRUD,NOR,15   50. | 18+  52. [52.75],,
55,ZOE,STEINBERG,USA,15   50. | 18+  52. [52.75],,
57,ELINA,AVRAMOVA,CAN,14+  58. | 13+  54. [56.22],,
58,SARAH,MCKENZIE,AUS,14.5+  57. | 5+  56. [57.00],,
