Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [3.50],top,top
2,JAIN,KIM,KOR,top  1. | top  1. [3.50],33+,top
3,ANAK,VERHOEVEN,BEL,top  1. | top  1. [3.50],32,top
4,TINA JOHNSEN,HAFSAAS,NOR,40+  9. | 37+  18. [15.56],32+,37+
5,JESSICA,PILZ,AUT,top  1. | top  1. [3.50],37,37
6,JULIA,CHANOURDIE,FRA,top  1. | 44+  7. [5.29],31,33+
7,MIA,KRAMPL,SLO,40   14. | 33+  28. [19.80],33+,32.5
8,IEVGENIIA,KAZBEKOVA,UKR,40+  9. | 43+  10. [10.49],36+,30
9,ANNE-SOPHIE,KOLLER,SUI,40+  9. | 37+  18. [15.56],31,
10,BROOKE,RABOUTOU,USA,39+  15. | 37+  18. [18.47],31,
11,NOLWENN,ARC,FRA,33+  33. | 40+  12. [20.31],31,
12,HANNAH,SCHUBERT,AUT,40+  9. | 37+  18. [15.56],29,
13,MINA,MARKOVIC,SLO,42+  7. | top  1. [4.95],28+,
14,VITA,LUKAN,SLO,40+  9. | 38   16. [13.47],28+,
15,SALOMÉ,ROMAIN,FRA,39   17. | 41+  11. [14.07],28+,
16,MATHILDE,BECERRA,FRA,34+  26. | 44+  7. [14.97],28+,
17,RISA,OTA,JPN,39   17. | 40+  12. [15.00],28+,
18,MICHELLE,HULLIGER,SUI,41+  8. | 37+  18. [13.27],27+,
19,JULIA,FISER,AUT,39+  15. | 38   16. [15.99],27+,
20,NOLWEN,BERTHIER,FRA,36+  20. | 37+  18. [21.24],27+,
21,KATHARINA,POSCH,AUT,36   22. | 37+  18. [22.25],27+,
22,HÉLÈNE,JANICOT,FRA,35+  24. | 37+  18. [23.22],27+,
23,LAURA,ROGORA,ITA,28+  36. | top  1. [12.27],26+,
24,JENNY,LAVARDA,ITA,35+  24. | 37+  18. [23.22],25+,
25,MARGO,HAYES,USA,top  1. | 44+  7. [5.29],24+,
26,LUIZA,EMELEVA,RUS,34   31. | 39+  14. [21.00],23+,
27,JOANNE,BRINKMANN,SUI,36+  20. | 31+  30. [24.80],,
28,KENZA,SLAMTI,FRA,28+  36. | 39   15. [25.40],,
29,KAJSA,ROSEN,SWE,39   17. | 25+  37. [25.98],,
30,KATHERINE,CHOONG,SUI,34+  26. | 37   27. [27.50],,
31,CLAUDIA,GHISOLFI,ITA,36   22. | 25   39. [29.81],,
32,NETTA,FREDMAN,ISR,34   31. | 29   31. [31.25],,
33,CHLOE,CAULIER,BEL,32   34. | 33   29. [31.40],,
34,VALENTINE,MANGIN,FRA,34+  26. | 25+  37. [32.40],,
35,CELINE,CUYPERS,BEL,34+  26. | 24+  41. [34.29],,
36,EMILIE,PELLERIN,CAN,28+  36. | 28+  32. [37.67],,
36,HOMARE,TODA,JPN,28+  36. | 28+  32. [37.67],,
36,ALANNAH,YIP,CAN,28+  36. | 28+  32. [37.67],,
39,ROMY,FUCHS,GER,34+  26. | 19+  51. [37.97],,
40,REBECCA,FRANGOS,CAN,28+  36. | 26+  35. [39.07],,
40,LUCINDA ANN,TURNBULL,AUS,28+  36. | 26+  35. [39.07],,
42,LÉA,MARIGO,FRA,31+  35. | 23+  44. [39.24],,
43,ROXY,PERRY,AUS,28+  36. | 25   39. [41.21],,
44,JIWON,BAE,KOR,28+  36. | 24+  41. [42.50],,
44,LENKA,SLEZAKOVA,CZE,28+  36. | 24+  41. [42.50],,
46,JARA,SPÄTE,SUI,28+  36. | 21   46. [44.96],,
47,KATRIN,AMANN,SWE,28+  36. | 20+  49. [46.14],,
48,EVGENIYA,LAPSHINA,RUS,28+  36. | 19+  51. [47.06],,
49,LÉA,DELACQUIS,FRA,28+  36. | 16+  56. [49.07],,
50,AUDREY,SNIEZEK,USA,28+  36. | 12+  57. [49.51],,
51,ABDUL ROCHMAN,SYARIFAH,INA,25+  53. | 22+  45. [49.52],,
52,GABRIELA,VRABLIKOVA,CZE,25+  53. | 21   46. [50.61],,
53,DENISE,BERTRAM,GER,25+  53. | 20+  49. [51.94],,
54,MEAGAN,MARTIN,USA,23   58. | 21   46. [52.44],,
55,YILING,SONG,CHN,26   52. | 18+  55. [53.48],,
56,MARION,TRABER,FRA,25+  53. | 19   53. [54.00],,
57,NANNA,SÖDERIN,SWE,27   51. | 9+  59. [55.09],,
58,VIRGITA,NADYA PUTRI,INA,25   57. | 19   53. [55.22],,
59,CHIARA MARIA,CLOSTERMANN,GER,15+  60. | 10   58. [59.24],,
60,TEREZA,KUBATOVA,CZE,23   58. | 2+  62. [60.47],,
61,PANCHAMAYA,TAMANG,NEP,15   62. | 9+  59. [60.74],,
62,SARAH,MCKENZIE,AUS,15+  60. | 2+  62. [61.49],,
63,JENNIFER,DE LA TORRE,USA,14+  63. | 4+  61. [61.99],,
