Rank,Name,,Country,Qualification,Semi-Final,Final
1,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [3.87],39,47+
2,STEFANO,GHISOLFI,ITA,top  1. | top  1. [3.87],top,42+
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [3.87],top,42+
4,DOMEN,SKOFIC,SLO,top  1. | 34+  11. [8.31],42+,42+
5,THOMAS,JOANNES,FRA,top  1. | 32+  27. [13.08],41,42
6,SEAN,BAILEY,USA,top  1. | 38+  5. [6.24],38+,39+
7,MAX,RUDIGIER,AUT,41+  12. | 38   9. [10.39],38,38
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,35+  19. | 33+  13. [19.47],37+,24+
9,FEDIR,SAMOILOV,UKR,35   23. | 34+  11. [16.26],37,
10,KEIICHIRO,KORENAGA,JPN,top  1. | top  1. [3.87],36+,
11,KAI,LIGHTNER,USA,35+  19. | 36   10. [14.32],36,
12,MARCELLO,BOMBARDI,ITA,top  1. | 38+  5. [6.24],35+,
13,HANWOOL,KIM,KOR,34+  24. | 38+  5. [12.75],35+,
14,HANNES,PUMAN,SWE,38   16. | 33+  13. [17.20],35+,
15,SHINICHIRO,NOMURA,JPN,34+  24. | 33+  13. [21.51],35+,
16,ALBERTO,GOTTA,ITA,35+  19. | 33+  13. [19.47],34+,
17,WILLIAM,BOSI,GBR,top  1. | 33   25. [12.37],34,
18,CHRISTOPH,HANKE,GER,36+  17. | 33+  13. [17.99],33+,
19,SIMON,LORENZI,BEL,34+  24. | 33+  13. [21.51],33+,
20,SASCHA,LEHMANN,SUI,top  1. | 38+  5. [6.24],33,
21,MASAHIRO,HIGUCHI,JPN,top  1. | 33+  13. [10.54],32+,
22,GEORG,PARMA,AUT,33+  28. | 33+  13. [22.96],31+,
23,JAVIER,CANO BLAZQUEZ,ESP,38+  13. | 33+  13. [16.09],26+,
24,ELAN,JONASMCRAE,CAN,38+  13. | 32+  27. [19.97],26+,
25,LOÏC,TIMMERMANS,BEL,38+  13. | 29+  31. [21.33],26+,
26,MARTIN,TEKLES,GER,36+  17. | 32+  27. [22.33],26+,
27,DAVID,FIRNENBURG,GER,32+  30. | 33+  13. [23.56],,
28,SÉBASTIEN,BERTHE,BEL,35+  19. | 29+  31. [25.81],,
29,TAKUMA,NUMAJIRI,JPN,33+  28. | 33   25. [26.96],,
30,JAN,HOJER,GER,34   27. | 32+  27. [27.74],,
31,JAMES,POPE,GBR,21+  44. | 33+  13. [28.85],,
32,NAOKI,SHIMATANI,JPN,20   47. | 33+  13. [29.49],,
33,DAVID,BARRANS,GBR,31+  32. | 29+  31. [32.75],,
33,TOMOKI,MUSHA,JPN,31+  32. | 29+  31. [32.75],,
35,MYKHAYIL,TKACHUK,UKR,31+  32. | 26+  38. [36.33],,
36,CAMPBELL,HARRISON,AUS,23+  38. | 28   35. [37.42],,
37,JOSH,LEVIN,USA,30+  35. | 26+  38. [37.68],,
37,SHANE,MESSER,USA,30+  35. | 26+  38. [37.68],,
39,MAXIMILLIAN,MILNE,GBR,23+  38. | 27+  36. [37.95],,
40,AIDAN,ROBERTS,GBR,32   31. | 21+  46. [38.37],,
41,WILLIAM,RIDAL,GBR,23+  38. | 26+  38. [40.00],,
42,ALEXANDER,AVERDUNK,GER,24   37. | 21+  46. [41.92],,
43,JOSEPH,CZUBKOWSKI,GBR,23+  38. | 23+  43. [41.95],,
43,SAMUEL,OAKES,GBR,23+  38. | 23+  43. [41.95],,
45,MACIEJ,DOBRZANSKI,POL,21+  44. | 26+  38. [42.43],,
46,PETER,DAWSON,GBR,19+  48. | 27   37. [42.80],,
47,SIMON,UNGER,GER,23   43. | 23+  43. [43.50],,
48,KATLEHO,POBE,RSA,21+  44. | 19+  50. [48.14],,
49,TOMAS,BINTER,CZE,19+  48. | 21+  46. [48.49],,
50,ORRIN,COLEY,GBR,19+  48. | 19+  50. [50.49],,
50,JAKUB,DVORAK,CZE,19+  48. | 19+  50. [50.49],,
52,JOSEPH,WALMSLEY,GBR,17   55. | 21+  46. [51.11],,
53,THOMAS,MATTHEWS,GBR,17+  52. | 19+  50. [52.24],,
54,AIDEN,DUNNE,GBR,17+  52. | 19   54. [53.50],,
55,JORDAN,ROMIG,USA,17+  52. | 17   55. [53.99],,
