Rank,Name,,Country,Qualification,Final
1,LUDOVICO,FOSSALI,ITA,6.530,wildcard
2,STANISLAV,KOKORIN,RUS,6.060,false start
3,LEONARDO,GONTERO,ITA,6.400,6.25
4,ALEKSANDR,SHIKOV,RUS,6.330,6.28
5,GUILLAUME,MORO,FRA,6.360,6.19
6,ALESSANDRO,SANTONI,ITA,7.610,6.45
7,RAFAL,HALASA,POL,7.040,6.51
8,VLADISLAV,DEULIN,RUS,5.910,fall
9,JAN,KRIZ,CZE,6.770,6.83
10,JAN,HOJER,GER,7.380,7.44
11,LUKAS,KNAPP,AUT,7.450,7.58
12,JOSH,LEVIN,USA,8.200,8.09
13,STANISLAO,ZAMA,ITA,7.260,9.02
14,DAVID,FIRNENBURG,GER,8.680,10.01
15,MARCIN,DZIENSKI,POL,6.070,false start
16,GIAN LUCA,ZODDA,ITA,6.410,fall
17,JAVIER,CANO BLAZQUEZ,ESP,9.030,
18,JORDAN,ROMIG,USA,9.080,
19,MAXIMILLIAN,MILNE,GBR,9.140,
20,JOSEPH,CZUBKOWSKI,GBR,9.300,
21,ALEXANDER,AVERDUNK,GER,9.580,
21,ORRIN,COLEY,GBR,9.580,
23,WILLIAM,RIDAL,GBR,9.900,
24,THOMAS,MATTHEWS,GBR,11.000,
25,AIDAN,ROBERTS,GBR,12.160,
26,AIDEN,DUNNE,GBR,12.190,
27,SAMUEL,OAKES,GBR,12.240,
28,DAVID,BARRANS,GBR,13.110,
29,PETER,DAWSON,GBR,16.590,
