Rank,Name,,Country,Qualification,Final
1,ANOUCK,JAUBERT,FRA,7.860,7.93
2,MARIIA,KRASAVINA,RUS,8.190,10.35
3,IULIIA,KAPLINA,RUS,7.920,7.68
4,ANNA,BROZEK,POL,8.310,8.11
5,VICTOIRE,ANDRIER,FRA,8.770,8.54
6,ELISABETTA,DALLA BRIDA,ITA,8.760,8.68
7,ALLA,MARENYCH,UKR,9.120,9.12
8,AURELIA,SARISSON,FRA,9.730,fall
9,KLAUDIA,BUCZEK,POL,8.670,8.58
10,EDYTA,ROPEK,POL,8.900,8.93
11,ELMA,FLEURET,FRA,9.330,9.24
12,NINA,LACH,AUT,9.420,9.86
13,SILVIA,PORTA,ITA,9.990,10.04
14,MONIKA,PROKOPIUK-KAWECKA,POL,10.380,10.10
15,ALEXANDRA,ELMER,AUT,10.010,10.11
16,FRANCESCA,VASI,ITA,10.380,10.39
17,GIORGIA,RANDI,ITA,10.710,
18,CHRISTY,SPURRELL,CAN,12.380,
19,ASHIMA,SHIRAISHI,USA,12.590,
20,PHILIPPA,WATKIN,GBR,14.010,
21,JENNIFER,DE LA TORRE,USA,14.810,
22,JENNIFER,WOOD,GBR,15.290,
23,KITTY,MORRISON,GBR,17.200,
24,JOANNA,NEAME,GBR,22.400,
