Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,35+  1. | 35+  1. [1.22],40,top
2,ALEXANDER,MEGOS,GER,33   2. | 33   4. [2.83],34+,38+
3,DMITRII,FAKIRIANOV,RUS,32   4. | 21+  21. [10.95],37+,36
4,DOMEN,SKOFIC,SLO,30+  5. | 35+  1. [2.74],34+,33+
5,STEFANO,GHISOLFI,ITA,32+  3. | 28+  5. [3.87],39+,32+
6,FRANCESCO,VETTORATA,ITA,21   38. | 24+  7. [22.25],38+,31+
7,MARCELLO,BOMBARDI,ITA,27+  15. | 21+  21. [23.56],38+,31
8,JAN,HOJER,GER,21   38. | 24+  7. [22.25],38,31
9,ROMAIN,DESGRANGES,FRA,27+  15. | 34+  3. [7.45],34+,
10,KEIICHIRO,KORENAGA,JPN,27+  15. | 24+  7. [14.27],34+,
10,SIMON,LORENZI,BEL,27+  15. | 24+  7. [14.27],34+,
12,THOMAS,JOANNES,FRA,29+  7. | 21+  21. [15.97],34+,
13,YUKI,HADA,JPN,29   11. | 21+  21. [18.17],34+,
14,HANWOOL,KIM,KOR,21   38. | 26+  6. [16.43],34,
15,FEDIR,SAMOILOV,UKR,28+  12. | 21+  21. [19.36],34,
16,YOSHIYUKI,OGATA,JPN,27+  15. | 24+  7. [14.27],31,
17,KOKORO,FUJII,JPN,29+  7. | 24+  7. [9.67],29+,
18,CHRISTOPH,HANKE,GER,27+  15. | 21+  21. [23.56],29+,
19,MARTIN,BERGANT,SLO,22   26. | 24+  7. [18.32],28,
20,JEREMY,BONDER,FRA,28   14. | 21+  21. [20.49],28,
21,JERNEJ,KRUDER,SLO,28+  12. | 22   19. [15.61],27+,
22,JONGWON,CHON,KOR,30   6. | 23+  16. [9.80],25,
23,MEICHI,NARASAKI,JPN,23   23. | 24+  7. [16.08],23+,
24,SASCHA,LEHMANN,SUI,29+  7. | 17+  42. [19.99],23+,
25,TOMOA,NARASAKI,JPN,21   38. | 24+  7. [22.25],23+,
26,SHINICHIRO,NOMURA,JPN,27+  15. | 22+  17. [17.99],22+,
27,SERGEI,LUZHETSKII,RUS,29+  7. | 21+  21. [15.97],11,
28,HANNES,PUMAN,SWE,22   26. | 22   19. [24.39],,
29,SERGEI,BYDTAEV,RUS,23   23. | 21+  21. [26.55],,
30,MASAHIRO,HIGUCHI,JPN,22+  25. | 21+  21. [27.39],,
31,MINYOUNG,LEE,KOR,21   38. | 22+  17. [28.06],,
32,MILAN,PRESKAR,SLO,27+  15. | 17+  42. [29.49],,
33,WILLIAM,BOSI,GBR,22   26. | 21+  21. [30.25],,
33,LARS,HOFFMANN,GER,22   26. | 21+  21. [30.25],,
33,MARIO,LECHNER,AUT,22   26. | 21+  21. [30.25],,
33,GEORG,PARMA,AUT,22   26. | 21+  21. [30.25],,
33,MAX,RUDIGIER,AUT,22   26. | 21+  21. [30.25],,
33,DIMITRI,VOGT,SUI,22   26. | 21+  21. [30.25],,
39,JAMES,POPE,GBR,21+  36. | 21+  21. [33.09],,
40,NICOLAS,COLLIN,BEL,21   38. | 21+  21. [36.74],,
41,ALBERTO,GOTTA,ITA,22   26. | 17+  42. [37.86],,
42,MIKHAIL,KOCHETKOV,RUS,20+  53. | 21+  21. [39.87],,
43,TOMAS,BINTER,CZE,21+  36. | 17+  42. [41.42],,
44,YANNICK,FLOHÉ,GER,21   38. | 21   40. [42.43],,
45,VLADISLAV,SHEVCHENKO,RUS,22   26. | 15+  59. [42.78],,
46,RUBEN,FIRNENBURG,GER,21   38. | 17+  42. [45.99],,
46,JAKUB,KONECNY,CZE,21   38. | 17+  42. [45.99],,
46,ZAN,LOVENJAK SUDAR,SLO,21   38. | 17+  42. [45.99],,
46,ANZE,PEHARC,SLO,21   38. | 17+  42. [45.99],,
46,NICOLAI,UZNIK,AUT,21   38. | 17+  42. [45.99],,
51,LUKA,POTOCAR,SLO,21   38. | 17   53. [49.52],,
52,KLEMEN,NOVAK,SLO,16+  61. | 19   41. [50.01],,
53,NIKOLA,KRAMARIC,CRO,20   54. | 17+  42. [50.38],,
54,VADIM,MALSHCHUKOV,RUS,21   38. | 16+  57. [50.65],,
55,MACIEJ,DOBRZANSKI,POL,21   38. | 16   58. [51.09],,
56,DENIS,PAIL,CZE,19+  55. | 17+  42. [51.53],,
57,THILO JELDRIK,SCHRÖTER,NOR,19+  55. | 17   53. [55.49],,
58,OR,MINIELY,ISR,18+  59. | 17   53. [56.71],,
59,OLEKSII,KRYNETSKYI,UKR,17   60. | 17   53. [57.18],,
60,MYKHAYIL,TKACHUK,UKR,19+  55. | 15+  59. [58.22],,
60,STEPAN,VOLF,CZE,19+  55. | 15+  59. [58.22],,
