Rank,Name,,Country,Qualification,Semi-Final,Final
1,STEFANO,GHISOLFI,ITA,top  1. | top  1. [4.47],32+,top
2,TOMOA,NARASAKI,JPN,top  1. | 30   7. [7.48],28,34
3,HANWOOL,KIM,KOR,top  1. | 28   11. [9.38],31+,30+
4,DOMEN,SKOFIC,SLO,top  1. | 22+  23. [14.56],29+,30+
5,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [4.47],29,30+
6,JONGWON,CHON,KOR,top  1. | 34+  5. [6.32],27+,30+
7,YOSHIYUKI,OGATA,JPN,20   35. | 27+  12. [21.33],25+,27+
8,KEIICHIRO,KORENAGA,JPN,37+  16. | 31+  6. [10.39],27+,24+
9,MARTIN,TEKLES,GER,top  1. | 24+  16. [12.00],20+,
10,KOKORO,FUJII,JPN,37+  16. | 29   9. [12.73],20+,
11,HAIBIN,QU,CHN,top  1. | 29+  8. [8.00],15+,
12,ELAN,JONASMCRAE,CAN,top  1. | 26   15. [10.95],15+,
13,CHRISTOPH,HANKE,GER,top  1. | 23   21. [13.11],15,
14,FRANCESCO,VETTORATA,ITA,37+  16. | 27+  12. [15.30],15,
15,JAN,HOJER,GER,37+  16. | 24+  16. [18.00],13,
16,THOMAS,JOANNES,FRA,top  1. | top  1. [4.47],11,
17,MARCELLO,BOMBARDI,ITA,top  1. | 27+  12. [10.20],10+,
18,MAX,RUDIGIER,AUT,top  1. | 24+  16. [12.00],10+,
19,ALBERTO,GOTTA,ITA,top  1. | 22+  23. [14.56],10+,
19,HANNES,PUMAN,SWE,top  1. | 22+  23. [14.56],10+,
21,MASAHIRO,HIGUCHI,JPN,34+  23. | 28+  10. [15.33],10+,
22,JAVIER,CANO BLAZQUEZ,ESP,33   26. | 24+  16. [21.63],10+,
23,CAMPBELL,HARRISON,AUS,29+  28. | 24+  16. [22.85],10+,
24,YUFEI,PAN,CHN,36+  21. | 22+  23. [23.87],10+,
25,FEDIR,SAMOILOV,UKR,32+  27. | 23   21. [24.09],10+,
26,SHINICHIRO,NOMURA,JPN,37+  16. | top  1. [6.71],4+,
27,MYKHAYIL,TKACHUK,UKR,34+  23. | 22+  23. [24.95],,
28,JOSH,LEVIN,USA,36+  21. | 18   34. [27.24],,
29,LUKE,MUEHRING,USA,29+  28. | 22+  23. [27.72],,
30,LOÏC,TIMMERMANS,BEL,33+  25. | 18+  33. [28.72],,
31,JOONHA,SHIN,KOR,29   31. | 22+  23. [28.89],,
32,KEITA,WATABE,JPN,27+  33. | 22+  23. [29.80],,
33,SERGIO,PASTOR MARTÍNEZ,ESP,29+  28. | 18   34. [31.63],,
34,MACIEJ,DOBRZANSKI,POL,29   31. | 20   32. [31.75],,
35,HONGIL,KIM,KOR,27+  33. | 20+  31. [32.23],,
36,VSEVOLOD,ILINYKH,RUS,17   36. | 9+  36. [36.00],,
