Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [4.95],top,top
2,JAIN,KIM,KOR,top  1. | top  1. [4.95],41+,45+
3,JULIA,CHANOURDIE,FRA,37+  9. | top  1. [8.57],35+,36+
4,AKIYO,NOGUCHI,JPN,top  1. | top  1. [4.95],40+,33.5+
5,MOLLY,THOMPSON-SMITH,GBR,top  1. | 38+  14. [7.60],39+,33.5+
6,ASHIMA,SHIRAISHI,USA,top  1. | top  1. [4.95],40+,33+
7,JESSICA,PILZ,AUT,37+  9. | top  1. [8.57],37,31+
8,ANAK,VERHOEVEN,BEL,top  1. | top  1. [4.95],43+,28+
9,DINARA,FAKHRITDINOVA,RUS,37+  9. | top  1. [8.57],34+,
10,MINA,MARKOVIC,SLO,39+  7. | top  1. [7.00],30,
11,MATHILDE,BECERRA,FRA,35+  14. | top  1. [10.42],29+,
12,SALOMÉ,ROMAIN,FRA,37+  9. | 38+  14. [13.16],29+,
13,HANNAH,SCHUBERT,AUT,36+  13. | top  1. [9.54],28+,
14,IEVGENIIA,KAZBEKOVA,UKR,35+  14. | top  1. [10.42],28+,
14,RISA,OTA,JPN,35+  14. | top  1. [10.42],28+,
16,MOE,YOSHIMURA,JPN,35+  14. | 38+  14. [15.99],28+,
17,CLAUDIA,GHISOLFI,ITA,31   20. | 32+  21. [20.49],28+,
18,LAMU,RENQING,CHN,34+  18. | 30   26. [21.63],27+,
19,NETTA,FREDMAN,ISR,24+  23. | 32   22. [22.74],25,
20,MORIWAKI,HONOKA,JPN,24+  23. | 30+  24. [23.99],23,
21,MEI,KOTAKE,JPN,38+  8. | 38+  14. [11.49],22,
22,TINA JOHNSEN,HAFSAAS,NOR,30+  21. | 38+  14. [18.61],22,
23,JIWON,BAE,KOR,31+  19. | 34.5   20. [19.49],21+,
24,HUNG YING,LEE,TPE,29+  22. | 31+  23. [22.49],21+,
25,MAGDALENA,RÖCK,AUT,16+  30. | 38+  14. [22.25],18+,
26,SUNGA,SON,KOR,23+  25. | 30+  24. [25.24],13+,
27,YUZHEN,BAIMA,CHN,23+  25. | 28+  27. [26.50],,
28,ANNA,TSYGANOVA,RUS,23+  25. | 25+  29. [27.46],,
29,HSIU-JU,LIN,TPE,22+  28. | 27+  28. [28.00],,
30,YILING,SONG,CHN,22   29. | 24   30. [29.50],,
