Rank,Name,,Country,Qualification,Final
1,IULIIA,KAPLINA,RUS,7.950,7.66
2,ANOUCK,JAUBERT,FRA,8.100,7.73
3,ELIZAVETA,IVANOVA,RUS,8.750,wildcard
4,ARIES,SUSANTI RAHAYU,INA,7.940,false start
5,AURELIA,SARISSON,FRA,8.640,8.28
6,MARIIA,KRASAVINA,RUS,8.570,8.35
7,SANTI,WELLYANTI,INA,8.090,8.51
8,ANNA,TSYGANOVA,RUS,8.090,9.12
9,ALLA,MARENYCH,UKR,8.530,8.68
10,ANNA,BROZEK,POL,8.580,8.76
11,VICTOIRE,ANDRIER,FRA,8.800,8.96
12,KLAUDIA,BUCZEK,POL,8.870,9.28
13,PUJI,LESTARI,INA,8.670,9.79
14,YILING,SONG,CHN,8.801,10.39
15,CUILIAN,HE,CHN,8.880,10.93
16,ELENA,TIMOFEEVA,RUS,8.880,false start
17,MINGWEI,NI,CHN,8.900,
18,ELISABETTA,DALLA BRIDA,ITA,9.090,
19,XUHUA,PAN,CHN,9.220,
20,SYAFIIYAH,DHORIFATUS,INA,9.330,
21,EDYTA,ROPEK,POL,9.460,
22,DINARA,FAKHRITDINOVA,RUS,11.980,
23,JESSICA,PILZ,AUT,12.230,
24,SUNGA,SON,KOR,12.610,
25,ASHIMA,SHIRAISHI,USA,12.740,
26,FITRIYANI,FITRIYANI,INA,false start,
26,RAJIAH,SALLSABILLAH,INA,false start,
