Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,JERNEJ,KRUDER,SLO,2t4z 2 7,2t3z 2 3,3t4z 7 8,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
2,TOMOA,NARASAKI,JPN,3t4z 5 4,3t3z 7 7,2t4z 3 7,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
3,ALEKSEY,RUBTSOV,RUS,4t4z 10 9,2t3z 2 3,2t4z 5 13,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
4,JAKOB,SCHUBERT,AUT,5t5z 9 6,3t4z 7 8,2t3z 6 9,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
5,TOMOAKI,TAKATA,JPN,5t5z 8 5,2t4z 8 12,1t3z 3 5,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
6,JONGWON,CHON,KOR,5t5z 7 6,2t3z 2 3,1t2z 1 2,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
7,MANUEL,CORNU,FRA,2t4z 2 13,2t4z 7 12,0t3z 0 9,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
8,REI,SUGIMOTO,JPN,3t4z 6 7,2t3z 4 5,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
9,YUJI,INOUE,JPN,5t5z 12 11,2t3z 7 6,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
10,YOSHIYUKI,OGATA,JPN,5t5z 8 5,2t2z 4 3,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
11,ROLANDS,RUGENS,LAT,5t5z 6 6,2t2z 5 5,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
12,KOKORO,FUJII,JPN,5t5z 8 7,1t4z 3 10,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
13,SERGII,TOPISHKO,UKR,4t4z 12 10,1t3z 1 6,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
14,MICKAEL,MAWEM,FRA,5t5z 6 6,1t3z 3 3,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
15,ALBAN,LEVIER,FRA,5t5z 9 7,1t2z 1 4,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
16,KAI,HARADA,JPN,2t4z 2 8,1t2z 2 4,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
17,NATHANIEL,COLEMAN,USA,5t5z 6 6,1t2z 3 2,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
18,JAN,HOJER,GER,3t3z 3 3,1t1z 2 1,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
19,BAPTISTE,OMETZ,SUI,2t4z 2 8,0t2z 0 5,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
20,MICHAEL,PICCOLRUAZ,ITA,5t5z 8 6,0t2z 0 6,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
21,TAISEI,ISHIMATSU,JPN,5t5z 9 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
21,NATHAN,PHILLIPS,GBR,2t4z 3 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
23,THILO JELDRIK,SCHRÖTER,NOR,2t3z 2 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
23,KEITA,WATABE,JPN,5t5z 10 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
23,KAITO,WATANABE,JPN,2t3z 2 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
26,SEAN,BAILEY,USA,5t5z 10 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
27,GABRIELE,MORONI,ITA,5t5z 11 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
27,DMITRII,SHARAFUTDINOV,RUS,2t3z 2 4,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
29,KEVIN,HEINIGER,SUI,2t3z 2 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
29,ANZE,PEHARC,SLO,2t3z 2 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
29,SIMON,UNGER,GER,5t5z 13 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
32,KAI,LIGHTNER,USA,5t5z 14 14,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
33,NIMROD,MARCUS,ISR,2t3z 3 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
