Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [3.00],44+,44+
2,STEFANO,GHISOLFI,ITA,34+  21. | 47+  4. [11.12],43+,41+
3,DOMEN,SKOFIC,SLO,42+  9. | top  1. [4.24],44+,41
4,ADAM,ONDRA,CZE,top  1. | top  1. [3.00],44,41
5,SHUTA,TANAKA,JPN,41+  10. | 46   9. [10.22],44+,40+
6,SASCHA,LEHMANN,SUI,41+  10. | 47+  4. [7.78],47,38+
7,ALBERTO,GINÉS LÓPEZ,ESP,top  1. | 44+  23. [10.61],41,32+
8,HYUNBIN,MIN,KOR,35+  18. | 47+  4. [10.22],39+,23+
9,ROMAIN,DESGRANGES,FRA,top  1. | 47+  4. [4.97],39,
10,SEAN,BAILEY,USA,top  1. | 47   8. [6.00],37+,
11,HIDEMASA,NISHIDA,JPN,top  1. | 45+  11. [8.08],37+,
12,ALEXANDER,MEGOS,GER,top  1. | 45   19. [9.60],37+,
13,THOMAS,JOANNES,FRA,41+  10. | 45+  11. [12.63],37+,
14,YUKI,HADA,JPN,40   15. | 45   19. [17.54],37+,
15,TAITO,NAKAGAMI,JPN,40+  14. | 44+  23. [18.71],37+,
16,HIROTO,SHIMIZU,JPN,35+  18. | 44+  23. [21.79],37+,
17,LOÏC,TIMMERMANS,BEL,39   17. | 34+  41. [26.56],37,
18,MASAHIRO,HIGUCHI,JPN,41   13. | 45+  11. [13.73],36+,
19,MAX,RUDIGIER,AUT,top  1. | 1   95. [20.68],36+,
20,MARCELLO,BOMBARDI,ITA,33+  27. | 45+  11. [20.68],36+,
21,YANNICK,FLOHÉ,GER,34+  21. | 46   9. [14.62],34+,
22,FRANCESCO,VETTORATA,ITA,39+  16. | 45+  11. [15.23],34+,
23,HANNES,PUMAN,SWE,31   38. | 45+  11. [23.63],34+,
24,JAN,HOJER,GER,34+  21. | 44   28. [25.10],33+,
25,JORG,VERHOEVEN,NED,31   38. | 45+  11. [23.63],30+,
26,FEDIR,SAMOILOV,UKR,33+  27. | 45   19. [24.59],29,
27,RUDOLPH,RUANA,USA,31+  34. | 45   19. [26.98],,
28,JAMES,POPE,GBR,34   25. | 42+  29. [27.66],,
29,MILAN,PRESKAR,SLO,31+  34. | 44+  23. [29.79],,
30,DIMITRI,VOGT,SUI,35+  18. | 33   50. [31.28],,
