Rank,Name,,Country,Qualification,Semi-Final,Final
1,ALEXANDER,MEGOS,GER,top  1. | top  1. [1.94],39+,45+
2,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [1.94],37+,43
3,DOMEN,SKOFIC,SLO,38+  7. | 37+  4. [8.15],41+,42+
4,JAKOB,SCHUBERT,AUT,top  1. | 37+  4. [4.18],38+,42+
5,STEFANO,GHISOLFI,ITA,top  1. | 38+  3. [2.74],37+,41+
6,THOMAS,JOANNES,FRA,31+  22. | 37+  4. [14.12],39,34+
7,SASCHA,LEHMANN,SUI,38+  7. | 36   16. [12.71],36+,32
8,HIROTO,SHIMIZU,JPN,38+  7. | 37+  4. [8.15],37,28+
9,TAISEI,HOMMA,JPN,32+  20. | 36+  12. [16.64],36+,
10,SEAN,BAILEY,USA,38+  7. | 33   35. [18.49],36+,
11,RAMÓN,JULIAN PUIGBLANQUE,ESP,41+  5. | 34+  24. [11.07],35+,
12,YUKI,HADA,JPN,38   13. | 36+  12. [13.25],35+,
13,SEAN,MCCOLL,CAN,34+  17. | 36+  12. [15.15],33+,
14,HANNES,PUMAN,SWE,32+  20. | 36   16. [18.67],32+,
15,MAX,RUDIGIER,AUT,38+  7. | 33+  31. [17.57],32,
16,MINORU,NAKANO,JPN,31+  22. | 36+  12. [19.62],32,
17,HYUNBIN,MIN,KOR,38+  7. | 34   26. [16.31],30+,
18,NAO,MONCHOIS,FRA,31+  22. | 35+  19. [23.87],30+,
19,TAITO,NAKAGAMI,JPN,37   14. | 35+  19. [17.32],30,
20,FRANCESCO,VETTORATA,ITA,39+  6. | 37+  4. [6.48],29,
21,MASAHIRO,HIGUCHI,JPN,31+  22. | 37   11. [17.71],26+,
22,JAKUB,KONECNY,CZE,37   14. | 32   40. [24.49],21+,
23,MARCELLO,BOMBARDI,ITA,33+  18. | 37+  4. [11.22],21,
24,SAM,AVEZOU,FRA,33   19. | 34   26. [23.07],21,
25,JAMES,POPE,GBR,31+  22. | 35+  19. [23.87],20,
26,ROMARIC,GEFFROY,FRA,19+  59. | 37+  4. [20.32],14+,
27,WILLIAM,BOSI,GBR,30+  36. | 36   16. [24.91],,
28,LUKA,POTOCAR,SLO,37   14. | 30   43. [25.84],,
29,GEORG,PARMA,AUT,31+  22. | 33+  31. [30.43],,
29,SHUTA,TANAKA,JPN,31+  22. | 33+  31. [30.43],,
31,FILIP,SCHENK,ITA,28+  43. | 35   22. [31.46],,
32,JAVIER,CANO BLAZQUEZ,ESP,28   46. | 35   22. [32.52],,
33,SIMON,LORENZI,BEL,31+  22. | 32+  38. [33.12],,
33,VLADISLAV,SHEVCHENKO,RUS,31+  22. | 32+  38. [33.12],,
35,CHRISTOPH,HANKE,GER,23   51. | 34+  24. [35.69],,
36,MARTIN,TEKLES,GER,28+  43. | 33+  31. [37.82],,
37,ARSÈNE,DUVAL,FRA,31+  22. | 29+  47. [38.50],,
37,FEDIR,SAMOILOV,UKR,31+  22. | 29+  47. [38.50],,
37,DIMITRI,VOGT,SUI,31+  22. | 29+  47. [38.50],,
40,LOÏC,TIMMERMANS,BEL,29   42. | 33   35. [38.88],,
41,KAI,LIGHTNER,USA,30+  36. | 31+  41. [38.92],,
42,NICOLAS,COLLIN,BEL,22+  54. | 34   26. [39.24],,
43,YUVAL,SHEMLA,ISR,28+  43. | 33   35. [39.80],,
44,PHILIPP,MARTIN,GER,29+  38. | 30   43. [41.93],,
45,HIDEMASA,NISHIDA,JPN,31+  22. | 27+  63. [42.54],,
46,SEBASTIAN,HALENKE,GER,16+  65. | 34   26. [42.99],,
47,RUSTAM,GELMANOV,RUS,31+  22. | 27   65. [43.86],,
48,ERIC,LOPEZ MATEOS,ESP,28   46. | 31+  41. [44.16],,
49,MATTHIAS,SCHIESTL,AUT,15+  70. | 34   26. [45.06],,
50,RUDOLPH,RUANA,USA,29+  38. | 29+  47. [45.32],,
51,ELAN,JONASMCRAE,CAN,29+  38. | 29   58. [48.48],,
52,MARTIN,BERGANT,SLO,20+  57. | 30   43. [50.58],,
53,TIMOTHY,KANG,USA,23+  50. | 29+  47. [50.99],,
54,STEPHANE,HANSSENS,BEL,29+  38. | 27   65. [51.64],,
55,JONATAN,FLOR VAZQUEZ,ESP,22+  54. | 29+  47. [53.48],,
55,ARTHUR,GUINET,FRA,22+  54. | 29+  47. [53.48],,
57,TOMAS,BINTER,CZE,20+  57. | 29+  47. [54.68],,
58,JEREMY,BONDER,FRA,23   51. | 29   58. [55.62],,
58,EVGENII,ZAZULIN,RUS,23   51. | 29   58. [55.62],,
60,MATHIAS,POSCH,AUT,28   46. | 27   65. [56.32],,
61,DAVID,BARRANS,GBR,27   49. | 27   65. [57.51],,
62,BITTOR,ESPARTA FRADE,ESP,15   76. | 30   43. [58.92],,
63,JOSH,LEVIN,USA,15+  70. | 29+  47. [61.40],,
63,ALEKSEI,SHCHERVIANIN,RUS,15+  70. | 29+  47. [61.40],,
65,CESAR,GROSSO,BRA,19   60. | 27+  63. [62.24],,
